Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	Expense Type	Funds Center	Cost Desc	Merchant Type	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	5451-205	2020-02-03	2020-02-05	THE HOME DEPOT #7027	10.80	CAD	10.80	CAD	2730	2730	P00264	E-CENTRAL2-TURF&HORT	5200	Home Supply Warehouse	95 KEY
"PARKS, FORESTRY & RECREATION"	5453-247	2020-02-05	2020-02-06	HARDWARE AGENCIES	246.57	CAD	246.57	CAD	2730	2730	P00264	E-CENTRAL2-TURF&HORT	5039	Construction Materials Not Elsewhere Cla	KEY CYLINDER LOCK AND KEYS
"PARKS, FORESTRY & RECREATION"	5457-253	2020-02-10	2020-02-12	WAL-MART # 3111	9.01	CAD	9.01	CAD	2010	2010	P00264	E-CENTRAL2-TURF&HORT	5411	"Grocery Stores, Supermarkets"	CONTRUCTION PAPAER FOR JHSC BULLETIN BOARD
"PARKS, FORESTRY & RECREATION"	5460-377	2020-02-14	2020-02-17	HARDWARE AGENCIES	"1,949.48"	CAD	"1,949.48"	CAD	2730	2730	P00264	E-CENTRAL2-TURF&HORT	5039	Construction Materials Not Elsewhere Cla	KEYS AND DOOR HANDLES
					"2,215.86"	CAD	"2,215.86"	CAD							
"SOCIAL DEVELOPMENT, FINANICE & ADMINISTRATION"	5449-375	2020-01-30	2020-02-03	BBYMARKETPLA ROASTEDCA	107.75	CAD	107.75	CAD	3410	3410	G27200	COMMUNITY DEVELOPMENT UNIT-ADMINISTRATIO	5732	Electronic Sales	VGA MONITOR CABLE
"SOCIAL DEVELOPMENT, FINANICE & ADMINISTRATION"	5462-162	2020-02-17	2020-02-19	WAL MART CANADA INC	304.96	CAD	304.96	CAD	2610	2610	G27200	COMMUNITY DEVELOPMENT UNIT-ADMINISTRATIO	5310	Discount Stores	UTENSILS AND DISHWARE -CITY HALL KITCHEN
					412.71	CAD	412.71	CAD							
FACILITIES MANAGEMENT	5460-378	2020-02-14	2020-02-17	ELITE VERTICAL BLINDS	50.85	CAD	50.85	CAD	2530	2530	FA0295	111 WELLESLEY E-OPS-S	5712	"Equipment, Furniture, and Home Furnishin"	CHARGERS
					50.85	CAD	50.85	CAD							
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5449-376	2020-01-31	2020-02-03	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27073661
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5449-377	2020-01-31	2020-02-03	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27117708
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5449-378	2020-02-02	2020-02-03	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27123424
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5450-151	2020-02-03	2020-02-04	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27163644
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5451-206	2020-02-04	2020-02-05	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27207107
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5454-235	2020-02-06	2020-02-07	THE BARGAINS GROUP	207.92	CAD	207.92	CAD	2690	2690	FH5521	STREET TO HOMES	5999	Miscellaneous and Specialty Retail Store	SLEEPING BAGS FOR THE OUTREACH TEAM TO HAND OUT TO CLIENTS DURING ECWA
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5454-236	2020-02-06	2020-02-07	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27227403
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5455-364	2020-02-07	2020-02-10	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27263023
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5455-365	2020-02-08	2020-02-10	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27302136
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5456-183	2020-02-10	2020-02-11	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27307204
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5456-184	2020-02-10	2020-02-11	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27325240
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5457-254	2020-02-11	2020-02-12	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27355111
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5457-255	2020-02-11	2020-02-12	TIM HORTONS #3482	500.00	CAD	500.00	CAD	5055	5055	FH5521	STREET TO HOMES	5814	Quick Payment Service - Fast-Food Restau	50 GIFT CARD VOUCHERES FOR DISTRIBUTION TO CLIENTS
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5458-282	2020-02-12	2020-02-13	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27390023
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5459-293	2020-02-13	2020-02-14	TORONTO PARKING AUTHOR	60.00	CAD	60.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27384098
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5459-294	2020-02-13	2020-02-14	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27390023
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5459-295	2020-02-13	2020-02-14	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27409576
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5460-379	2020-02-14	2020-02-17	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27414741
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5460-380	2020-02-15	2020-02-17	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27446242
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5462-163	2020-02-18	2020-02-19	IMPERIAL HME HDWE 1401	37.28	CAD	37.28	CAD	2099	2099	F03072	CENTRAL ASSESSMENT&REFERRAL CTR	5251	Hardware Stores	SHELVING UNIT FOR SAB OFFICE AT SHARC - 129 PETER ST
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5462-164	2020-02-18	2020-02-19	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27512636
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5462-165	2020-02-18	2020-02-19	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27528291
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5463-224	2020-02-19	2020-02-20	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27545136
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5464-277	2020-02-20	2020-02-21	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27568251
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5465-345	2020-02-22	2020-02-24	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27628586
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5465-346	2020-02-23	2020-02-24	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27668734
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5466-167	2020-02-24	2020-02-25	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27688976
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5467-208	2020-02-25	2020-02-26	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27715361
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5468-184	2020-02-26	2020-02-27	THE BARGAINS GROUP	"1,636.06"	CAD	"1,636.06"	CAD	2690	2690	FH5521	STREET TO HOMES	5999	Miscellaneous and Specialty Retail Store	SLEEPING BAGS & BLANKETS FOR OUTREACH TEAM TO HAND OUT TO CLIENTS DURING ECWA
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5468-185	2020-02-26	2020-02-27	TORONTO PARKING AUTHOR	20.00	CAD	20.00	CAD	4770	4770	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES TRANS #27748433
					"2,941.26"	CAD	"2,941.26"	CAD							
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5450-152	2020-02-03	2020-02-04	MICHAELS #4936	22.33	CAD	22.33	CAD	2099	2099	F03072	CENTRAL ASSESSMENT&REFERRAL CTR	5945	"Game, Toy, and Hobby Shops"	BLACK HISTORY MONTH SUPPLIES
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5457-256	2020-02-12	2020-02-12	AMZN MKTP CA VY4OD2T23	154.23	CAD	154.23	CAD	2855	2855	F03072	CENTRAL ASSESSMENT&REFERRAL CTR	4816	Computer Network/Information Services	HAIR CARE PRODUCTS FOR CLIENTS IN BEDDED PROGRAM
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5459-296	2020-02-13	2020-02-14	AMZN MKTP CA 0X0J425P3	29.87	CAD	29.87	CAD	2855	2855	F03072	CENTRAL ASSESSMENT&REFERRAL CTR	4816	Computer Network/Information Services	HAIR CARE PRODUCTS FOR CLIENTS IN BEDDED PROGRAM
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5465-347	2020-02-21	2020-02-24	DOLLARAMA # 666	63.34	CAD	63.34	CAD	2695	2695	F03072	CENTRAL ASSESSMENT&REFERRAL CTR	5310	Discount Stores	BATH TOWELS FOR CLIENT USE
					269.77	CAD	269.77	CAD							
FACILITIES MANAGEMENT	5449-379	2020-01-31	2020-02-03	LENNOX CANADA INC	178.11	CAD	178.11	CAD	2530	2530	FA0123	4325 MCCOWAN RD-OP-E(MILLIKEN CONCESSION	5965	Direct Marketing - Combination Catalog a	PARTS
FACILITIES MANAGEMENT	5463-225	2020-02-19	2020-02-20	WWG / TOTALINE	481.64	CAD	481.64	CAD	2530	2530	FA2514	355 LESMILL(ONT NATURAL'TS HOUSE)-OPS-N	5085	Industrial Supplies Not Elsewhere Classi	PARTS
FACILITIES MANAGEMENT	5463-226	2020-02-19	2020-02-20	LENNOX CANADA INC	694.75	CAD	694.75	CAD	2530	2530	FA2513	195 BERMONDSEY(BERMONDSEY YARD)-OPS-N	5965	Direct Marketing - Combination Catalog a	PARTS
FACILITIES MANAGEMENT	5466-168	2020-02-24	2020-02-25	DEBNEY INDUSTRIES	536.30	CAD	536.30	CAD	2530	2530	FA2218	1081 PROGRESS-OP-E-LIBRARY	5074	Plumbing and Heating Equipment	PARTS
FACILITIES MANAGEMENT	5468-186	2020-02-26	2020-02-27	WWG / TOTALINE	457.65	CAD	457.65	CAD	2530	2530	FA2514	355 LESMILL(ONT NATURAL'TS HOUSE)-OPS-N	5085	Industrial Supplies Not Elsewhere Classi	PARTS
FACILITIES MANAGEMENT	5468-187	2020-02-26	2020-02-27	CARSON ELECTRIC LTD	288.15	CAD	288.15	CAD	2530	2530	FA0127	63 PHARMACY AVE-OP-E(OAKRIDGE C.C.)	7399	Business Services - Not Elsewhere Classi	PARTS
					"2,636.60"	CAD	"2,636.60"	CAD							
EMPLOYMENT & SOCIAL SERVICES	5460-381	2020-02-14	2020-02-17	SP   TFD SUPPLIES	224.41	CAD	165.00	USD	2999	2999	C01219	METRO HALL-ADMIN	5734	Computer Software Stores	EAR BUDS FOR CLIENTS TO ACCESS ONTARIO WORKS INFORMATION ON THE COMPUTER.
					224.41	CAD	165.00	USD							
FIRE SERVICES	5451-207	2020-02-05	2020-02-05	AMZN MKTP CA GT4XI7KC3	254.22	CAD	254.22	CAD	2080	2080	FR0084	FIRE PREVENTION - INVESTIGATIONS	4816	Computer Network/Information Services	UHS-I CARDS FOR FIELD CAMERAS
FIRE SERVICES	5451-208	2020-02-05	2020-02-05	AMZN MKTP CA 6T4O90VH3	84.95	CAD	84.95	CAD	2010	2010	FR0084	FIRE PREVENTION - INVESTIGATIONS	4816	Computer Network/Information Services	64GB USB 3.0 STICK FLASH DRIVE MEMORY KEYS
FIRE SERVICES	5455-366	2020-02-07	2020-02-10	AMZN MKTP CA 5U3JE0JE3	38.98	CAD	38.98	CAD	3040	3040	FR0084	FIRE PREVENTION - INVESTIGATIONS	4816	Computer Network/Information Services	EXTERNAL DVD DRIVE
FIRE SERVICES	5457-257	2020-02-10	2020-02-12	CONCEPT CONTROLS INC	515.62	CAD	515.62	CAD	3045	3045	FR0084	FIRE PREVENTION - INVESTIGATIONS	5047	Laboratory/Medical/Dental/Ophthalmic Hos	SERVICE AND CALIBRATION TO MULTIRAE AIR MONITOR
					893.77	CAD	893.77	CAD							
SENIOR SERVICES AND LONG-TERM CARE 	5449-380	2020-02-02	2020-02-03	FRESHCO 3850	7.50	CAD	7.50	CAD	2999	2999	D3Z011	REGIONAL SERVICES-PROGRAM ADMIN	5411	"Grocery Stores, Supermarkets"	CHIPS FOR HAPPY HOUR
SENIOR SERVICES AND LONG-TERM CARE 	5451-209	2020-02-04	2020-02-05	TUFTS' VALU-MART #2728	19.33	CAD	19.33	CAD	2999	2999	D3Z011	REGIONAL SERVICES-PROGRAM ADMIN	5411	"Grocery Stores, Supermarkets"	CHIPS FOR HAPPY HOUR
SENIOR SERVICES AND LONG-TERM CARE 	5455-367	2020-02-06	2020-02-10	TORONTO STAMP INC - EC	169.43	CAD	169.43	CAD	2010	2010	D3J011	CAREFREE LODGE-PA-OA	5111	"Stationery, Office Supplies, Printing an"	STAMPS (OFFICE SUPPLIES)
SENIOR SERVICES AND LONG-TERM CARE 	5466-169	2020-02-24	2020-02-25	TUFTS' VALU-MART #2728	58.87	CAD	58.87	CAD	2999	2999	D3Z011	REGIONAL SERVICES-PROGRAM ADMIN	5411	"Grocery Stores, Supermarkets"	HAPPY HOUR SUPPLIES
SENIOR SERVICES AND LONG-TERM CARE 	5467-209	2020-02-25	2020-02-26	DOLLARAMA #0945	63.05	CAD	63.05	CAD	2600	2600	D3J083	CAREFREE LODGE-RESIDENT SERVICES	5310	Discount Stores	RECREATION PROGRAM SUPPLIES
					318.18	CAD	318.18	CAD							
SENIOR SERVICES AND LONG-TERM CARE 	5449-381	2020-02-01	2020-02-03	PERFORMANCE HEALTH CAN	170.78	CAD	170.78	CAD	2860	2860	D3C083	CUMMER LODGE- RESIDENT SERVICES	5047	Laboratory/Medical/Dental/Ophthalmic Hos	SUPPLIES BRACES
SENIOR SERVICES AND LONG-TERM CARE 	5458-283	2020-02-11	2020-02-13	CDS BOUTIQUE	131.65	CAD	131.65	CAD	2600	2600	D6B500	CSS-CUMMER LODGE-DC	8099	"Health Practitioners, Medical Services -"	BEAN BAG TARGER LOTTO
SENIOR SERVICES AND LONG-TERM CARE 	5465-348	2020-02-21	2020-02-24	FINCH GIFT SHOP	135.60	CAD	135.60	CAD	2600	2600	D3C083	CUMMER LODGE- RESIDENT SERVICES	5947	"Card, Gift, Novelty, and Souvenir Shops"	FLOWERS
SENIOR SERVICES AND LONG-TERM CARE 	5466-170	2020-02-24	2020-02-25	EVENTBRITE/PRACTICALSK	25.00	CAD	25.00	CAD	4310	4310	D3Z011	REGIONAL SERVICES-PROGRAM ADMIN	7922	Theatrical Producers (except Motion Pict	CONFERENCE - DIFFICULT CONVERSATIONS
					463.03	CAD	463.03	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5458-284	2020-02-12	2020-02-13	UBER TRIP HELP.UBER.CO	9.22	CAD	9.22	CAD	4452	4452	ED0131	BGS DO DIRECTOR'S OFFICE	4121	Limousines and Taxicabs	TRANSPORTATION RE CBC INTERVIEW MEETING
ECONOMIC DEVELOPMENT & CULTURE	5459-297	2020-02-13	2020-02-14	UBER TRIP HELP.UBER.CO	9.42	CAD	9.42	CAD	4452	4452	ED0131	BGS DO DIRECTOR'S OFFICE	4121	Limousines and Taxicabs	TRANSPORTATION RE LD MEETING W/ TRBOT
					18.64	CAD	18.64	CAD							
"PARKS, FORESTRY & RECREATION"	5449-382	2020-01-31	2020-02-03	THE HOME DEPOT #7011	344.94	CAD	344.94	CAD	3320	3320	*****	UNASSIGNED	5200	Home Supply Warehouse	"**MORE**  6"" SECUR BOL"
"PARKS, FORESTRY & RECREATION"	5455-368	2020-02-07	2020-02-10	COSTCO WHOLESALE W524	451.98	CAD	451.98	CAD	3320	3320	P07666	MEMORIAL POOL-OPERATIONS	5300	Wholesale Clubs	INDUSTRIAL SHELVING
"PARKS, FORESTRY & RECREATION"	5455-369	2020-02-08	2020-02-10	THE HOME DEPOT #7011	146.45	CAD	146.45	CAD	2530	2530	P07666	MEMORIAL POOL-OPERATIONS	5200	Home Supply Warehouse	**MORE**  MONOMAXKBWHT
"PARKS, FORESTRY & RECREATION"	5459-298	2020-02-13	2020-02-14	WATER AND ICE NORTH AM	208.16	CAD	208.16	CAD	2999	2999	P07666	MEMORIAL POOL-OPERATIONS	5996	Swimming Pools - Sales and Supplies	SKIMMER COVERS
"PARKS, FORESTRY & RECREATION"	5459-299	2020-02-12	2020-02-14	THE HOME DEPOT #7114	225.91	CAD	225.91	CAD	2530	2530	P07666	MEMORIAL POOL-OPERATIONS	5200	Home Supply Warehouse	SJ REC CONT
"PARKS, FORESTRY & RECREATION"	5465-349	2020-02-21	2020-02-24	THE HOME DEPOT #7114	409.24	CAD	409.24	CAD	2730	2730	P07666	MEMORIAL POOL-OPERATIONS	5200	Home Supply Warehouse	**MORE**  LU LOCK BOX
					"1,786.68"	CAD	"1,786.68"	CAD							
SOLID WASTE MANAGEMENT	5460-382	2020-02-14	2020-02-17	IMPERIAL HME HDWE 1401	31.62	CAD	31.62	CAD	2530	2530	SW0852	DISCO TS SITE MAINTENANCE	5251	Hardware Stores	HYDRATED LIME (WO 331170)
SOLID WASTE MANAGEMENT	5463-227	2020-02-18	2020-02-20	BRADY	85.87	CAD	85.87	CAD	2530	2530	SW0850	BERMONDSEY TS SITE MAINTENANCE	5099	Durable Goods Not Elsewhere Classified	PRINTER RIBBON (WO 332921)
SOLID WASTE MANAGEMENT	5464-278	2020-02-14	2020-02-21	PIPE TOOLS SUPPLY LIMI	"1,820.95"	CAD	"1,820.95"	CAD	2530	2530	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5251	Hardware Stores	PIPE TOOLS SUPPLIES (WO 333243)
SOLID WASTE MANAGEMENT	5465-350	2020-02-22	2020-02-24	HILTI (CANADA) CORP	111.88	CAD	111.88	CAD	2530	2530	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5251	Hardware Stores	SCREW ANCHORS (WO 333303)
SOLID WASTE MANAGEMENT	5468-188	2020-02-26	2020-02-27	MONARCH PAINTS	135.53	CAD	135.53	CAD	2715	2715	SW0854	INGRAM TS SITE MAINTENANCE	5231	"Glass, Paint, Wallpaper Stores"	PAINT (WO 331687)
					"2,185.85"	CAD	"2,185.85"	CAD							
"PARKS, FORESTRY & RECREATION"	5451-210	2020-02-04	2020-02-05	BELL CANADA (CR)	147.91	CAD	147.91	CAD	4441	4441	P10442	HOLY FAMILY CC-PRGM SUPPORT	4812	Telecommunication Equipment Including Te	"CABLE TV, INTERNET SERVICE"
"PARKS, FORESTRY & RECREATION"	5451-211	2020-02-03	2020-02-05	WAL-MART # 3740	15.79	CAD	15.79	CAD	2600	2600	P10446	MASARYK COWAN-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	KITCHEN SUPPLIES - CUTLERY TRAY
"PARKS, FORESTRY & RECREATION"	5453-248	2020-02-04	2020-02-06	PIZZA PIZZA # 11	88.09	CAD	88.09	CAD	2750	2750	P13579	YOUTH LOUNGE - MASARYK	5814	Quick Payment Service - Fast-Food Restau	EYS: PING PONG CAM PIZZA
"PARKS, FORESTRY & RECREATION"	5453-249	2020-02-05	2020-02-06	PARKDALE HOME HARDWARE	96.00	CAD	96.00	CAD	2600	2600	P10446	MASARYK COWAN-PRGM SUPPORT	5251	Hardware Stores	JOB FAIR SUPPLIES - POWER CORDS
"PARKS, FORESTRY & RECREATION"	5457-258	2020-02-11	2020-02-12	DOLLARAMA # 261	14.75	CAD	14.75	CAD	2600	2600	P10446	MASARYK COWAN-PRGM SUPPORT	5310	Discount Stores	BLACK HISTORY MONTH -TABLE CLOTH
"PARKS, FORESTRY & RECREATION"	5460-383	2020-02-15	2020-02-17	DOLLARAMA # 261	21.24	CAD	21.24	CAD	2600	2600	P10446	MASARYK COWAN-PRGM SUPPORT	5310	Discount Stores	BLACK HISTORY MONTH - TABLE CLOTH
"PARKS, FORESTRY & RECREATION"	5460-384	2020-02-16	2020-02-17	DOLLARAMA # 261	18.42	CAD	18.42	CAD	2600	2600	P10446	MASARYK COWAN-PRGM SUPPORT	5310	Discount Stores	BLACK HISTORY MONTH - TABLE CLOTH
"PARKS, FORESTRY & RECREATION"	5460-385	2020-02-16	2020-02-17	DOLLARAMA # 261	10.48	CAD	10.48	CAD	2600	2600	P10446	MASARYK COWAN-PRGM SUPPORT	5310	Discount Stores	"BLACK HISTORY MONTH - OVAL ROASTER, SEA SALT"
"PARKS, FORESTRY & RECREATION"	5460-386	2020-02-16	2020-02-17	DOLLARAMA # 261	2.26	CAD	2.26	CAD	2600	2600	P10446	MASARYK COWAN-PRGM SUPPORT	5310	Discount Stores	BLACK HISTORY MONTH - BAMBOO SKEWERS
"PARKS, FORESTRY & RECREATION"	5460-387	2020-02-16	2020-02-17	FRESHCO #9780	17.94	CAD	17.94	CAD	2750	2750	P10446	MASARYK COWAN-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	BLACK HISTORY MONTH - AQUA ICE
"PARKS, FORESTRY & RECREATION"	5463-228	2020-02-19	2020-02-20	BELL CANADA (CR)	153.56	CAD	153.56	CAD	4441	4441	P10442	HOLY FAMILY CC-PRGM SUPPORT	4812	Telecommunication Equipment Including Te	CABLE TV AND INTERNET
"PARKS, FORESTRY & RECREATION"	5463-229	2020-02-19	2020-02-20	ROGERS 5407	387.12	CAD	387.12	CAD	4441	4441	P10446	MASARYK COWAN-PRGM SUPPORT	4814	Telecommunication Service Including Loca	CABLE TV AND INTERNET  MASARYK
"PARKS, FORESTRY & RECREATION"	5468-189	2020-02-26	2020-02-27	DOLLARAMA # 261	1.70	CAD	1.70	CAD	2600	2600	P10446	MASARYK COWAN-PRGM SUPPORT	5310	Discount Stores	CRAFT SUPPLY - LARGE PRINTED SP
"PARKS, FORESTRY & RECREATION"	5469-234	2020-02-27	2020-02-28	NOFRILLS PETER'S 3926	103.09	CAD	103.09	CAD	2750	2750	P13579	YOUTH LOUNGE - MASARYK	7999	Recreation Services (Not Elsewhere Class	"EYS PROGRAM SUPPLIES - FRUITS, PASTA, CHICKEN, ONION, MEAT"
"PARKS, FORESTRY & RECREATION"	5469-235	2020-02-27	2020-02-28	COSTCO WHOLESALE W524	155.66	CAD	155.66	CAD	2750	2750	P13579	YOUTH LOUNGE - MASARYK	5300	Wholesale Clubs	"EYS: PROGRAM SUPPLIES - FRUIT, PAPER FOIL, CHEDDAR CHEESE, BUTTER, CAKE, DRINKS"
					"1,234.01"	CAD	"1,234.01"	CAD							
"PARKS, FORESTRY & RECREATION"	5449-383	2020-02-02	2020-02-03	AMZN MKTP CA MO3UQ0RP3	15.56	CAD	15.56	CAD	2600	2600	P12024	METRO TRACK/FIELD-SPEC FAC-OPERATIONS	4816	Computer Network/Information Services	CLOTH BORDER
"PARKS, FORESTRY & RECREATION"	5449-384	2020-02-02	2020-02-03	AMZN MKTP CA XG0MN95X3	22.81	CAD	22.81	CAD	2600	2600	P12024	METRO TRACK/FIELD-SPEC FAC-OPERATIONS	4816	Computer Network/Information Services	AFRICAN AMERICAN INVENTORS POSTER FOR BLACK HISTORY MONTH
"PARKS, FORESTRY & RECREATION"	5449-385	2020-02-01	2020-02-03	PAYPAL  LEGACYENTER	84.74	CAD	84.74	CAD	2600	2600	P12024	METRO TRACK/FIELD-SPEC FAC-OPERATIONS	5970	"Artist Supply Stores, Craft Shops"	BLACK HISTORY LEGACY POSTERS
"PARKS, FORESTRY & RECREATION"	5449-386	2020-02-02	2020-02-03	AMZN MKTP CA L35OH8ZC3	27.01	CAD	27.01	CAD	2600	2600	P12024	METRO TRACK/FIELD-SPEC FAC-OPERATIONS	4816	Computer Network/Information Services	BLACK HISTORY POSTERS
"PARKS, FORESTRY & RECREATION"	5449-387	2020-02-02	2020-02-03	AMZN MKTP CA 1O3YT4TW3	15.73	CAD	15.73	CAD	2600	2600	P12024	METRO TRACK/FIELD-SPEC FAC-OPERATIONS	4816	Computer Network/Information Services	KIDS BOOKS OF BLACK CANADIAN HISTORY
