Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose
PUBLIC HEALTH	2791-114	2013-12-11	2013-12-12	INDIGO ONLINE	24.50	CAD	24.50	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROGRAM RESOURCES
PUBLIC HEALTH	2795-223	2013-12-14	2013-12-16	INDIGO ONLINE	72.52	CAD	72.52	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROGRAM RESOURCES
PUBLIC HEALTH	2795-224	2013-12-14	2013-12-16	INDIGO ONLINE	28.92	CAD	28.92	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROGRAM RESOURCES
PUBLIC HEALTH	2796-87	2013-12-16	2013-12-17	INDIGO ONLINE	24.50	CAD	24.50	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROGRAM RESOURCES
PUBLIC HEALTH	2798-129	2013-12-16	2013-12-18	INFOTRIEVE	29.57	CAD	29.57	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	7375	Information Retrieval Services	BOOK - PROGRAM RESOURCES
PUBLIC HEALTH	2798-130	2013-12-17	2013-12-18	INDIGO ONLINE	482.74	CAD	482.74	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH4110	COMMUNICABLE DISEASE LIAISON UNIT - 100%	5399	Miscellaneous General Merchandise	BOOK - PROGRAM RESOURCES
PUBLIC HEALTH	2798-131	2013-12-17	2013-12-18	INDIGO ONLINE	-45.83	CAD	-45.83	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROGRAM RESOURCES
PUBLIC HEALTH	2800-113	2013-12-18	2013-12-19	REI LEXISNEXIS CANADA	92.14	CAD	92.14	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	7399	Business Services - Not Elsewhere Classi	BOOK - PROFESSIONAL RESOURCES
PUBLIC HEALTH	2801-128	2013-12-18	2013-12-20	INDIGO ONLINE	16.45	CAD	16.45	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROFESSIONAL RESOURCES
PUBLIC HEALTH	2804-138	2013-12-20	2013-12-23	INDIGO ONLINE	32.41	CAD	32.41	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROGRAM RESOURCES
PUBLIC HEALTH	2804-139	2013-12-20	2013-12-23	INDIGO ONLINE	34.86	CAD	34.86	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROFESSIONAL RESOURCES
PUBLIC HEALTH	2804-140	2013-12-20	2013-12-23	INDIGO ONLINE	34.15	CAD	34.15	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROGRAM RESOURCES
PUBLIC HEALTH	2804-141	2013-12-20	2013-12-23	INDIGO ONLINE	19.71	CAD	19.71	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROFESSIONAL RESOURCES
PUBLIC HEALTH	2804-142	2013-12-20	2013-12-23	INDIGO ONLINE	96.02	CAD	96.02	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	PH2088	PUBLIC HEALTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROGRAM RESOURCES
PUBLIC HEALTH	2804-143	2013-12-21	2013-12-23	INDIGO ONLINE	109.55	CAD	109.55	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROFESSIONAL RESOURCES
PUBLIC HEALTH	2804-144	2013-12-22	2013-12-23	INDIGO ONLINE	24.50	CAD	24.50	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROGRAM RESOURCES
PUBLIC HEALTH	2806-59	2013-12-23	2013-12-24	CARSWELL (A THOMSON CO	170.05	CAD	170.05	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	5192	"Books, Periodicals, and Newspapers"	BOOK - PROFESSIONAL RESOURCES
PUBLIC HEALTH	2806-60	2013-12-23	2013-12-24	INDIGO ONLINE	138.15	CAD	138.15	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH4110	COMMUNICABLE DISEASE LIAISON UNIT - 100%	5399	Miscellaneous General Merchandise	BOOK - PROGRAM RESOURCES
PUBLIC HEALTH	2808-99	2013-12-24	2013-12-27	INDIGO ONLINE	13.91	CAD	13.91	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROGRAM RESOURCES
PUBLIC HEALTH	2808-100	2013-12-24	2013-12-27	INDIGO ONLINE	34.86	CAD	34.86	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROFESSIONAL RESOURCES
PUBLIC HEALTH	2810-85	2013-12-28	2013-12-30	AMAZON.CA	15.23	CAD	15.23	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	4816	Computer Network/Information Services	BOOK - PROGRAM RESOURCES
PUBLIC HEALTH	2810-86	2013-12-28	2013-12-30	INDIGO ONLINE	170.19	CAD	170.19	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROGRAM RESOURCES
					"2,410.77"	CAD	"2,142.45"	CAD							
							245.00	USD							
ECONOMIC DEVELOPMENT & CULTURE	2804-145	2013-12-20	2013-12-23	ARCADIA ANTIQUES	107.35	CAD	107.35	CAD	3330	ARTIFACTS & ART OBJECTS	AH0059	HS-MH-COLLECTION REGISTRATN-98 ATLANTIC	5932	"Antique Shops - Sales, Repairs, and Rest"	3 ANTIQUE HURRICANE OIL LAMPS
ECONOMIC DEVELOPMENT & CULTURE	2804-146	2013-12-20	2013-12-23	1698 QUEEN ANTIQUES	124.30	CAD	124.30	CAD	3330	ARTIFACTS & ART OBJECTS	AH0059	HS-MH-COLLECTION REGISTRATN-98 ATLANTIC	5712	"Equipment, Furniture, and Home Furnishin"	4 ANTIQUE HURRICANE OIL LAMPS
					231.65	CAD	231.65	CAD							
"SHELTER, SUPPORT & HOUSING ADMINISTRATION"	2801-129	2013-12-18	2013-12-20	METRO #63	"5,000.00"	CAD	"5,000.00"	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	F01322	ROBERTSON HOUSE-DIETARY SERV	5411	"Grocery Stores, Supermarkets"	METRO FOOD VOUCHERS FOR CLIENT USE
					"5,000.00"	CAD	"5,000.00"	CAD							
SOLID WASTE MANAGEMENT	2801-130	2013-12-18	2013-12-20	INVESTMENTS HARDWARE L	440.84	CAD	440.84	CAD	2130	PARTS - MOBILE EQUIPMENT	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5046	Commercial Equipment Not Elsewhere Class	W/O-301252
					440.84	CAD	440.84	CAD							
ECONOMIC DEVELOPMENT & CULTURE	2773-224	2013-11-28	2013-12-02	DESERRES	50.84	CAD	50.84	CAD	2090	GRAPHIC DESIGN SUPPLIES	AH0083	HS-MH-EXHIBITIONS-METRO HALL	5970	"Artist Supply Stores, Craft Shops"	ART EASEL
ECONOMIC DEVELOPMENT & CULTURE	2800-114	2013-12-17	2013-12-19	MONDEGRO	435.05	CAD	435.05	CAD	4085	PROF & TECH-MGMT	AH0083	HS-MH-EXHIBITIONS-METRO HALL	7311	Advertising Services	DESIGN/PRODUCE HIGH PARK PANEL
					485.89	CAD	485.89	CAD							
"PARKS, FORESTRY & RECREATION"	2773-225	2013-11-29	2013-12-02	THE HOME DEPOT #7012	42.79	CAD	42.79	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12155	FACILITY OPERATIONS - EAST YORK CC	5200	Home Supply Warehouse	**MORE**  SDS BIT
"PARKS, FORESTRY & RECREATION"	2773-226	2013-11-29	2013-12-02	YOUR DOLLAR STORE WITH	7.91	CAD	7.91	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06286	EARL BEATTY-ARTS-VISL/PERF	5999	Miscellaneous and Specialty Retail Store	PROGRAM SUPPLIES
"PARKS, FORESTRY & RECREATION"	2776-127	2013-12-02	2013-12-04	CDN TIRE STORE #00030	141.20	CAD	141.20	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12158	DIEPPE COMP MULTIPURP CTRS-PRGM SUP	5200	Home Supply Warehouse	"HELMETS, LYSOL"
"PARKS, FORESTRY & RECREATION"	2780-124	2013-12-04	2013-12-05	MARCHANT'S SCHOOL SPOR	138.84	CAD	138.84	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04882	EARL BEATTY-SUMMER CAMPS	5941	Sporting Goods Stores	SET OF 6 ALL AROUND BALLS
"PARKS, FORESTRY & RECREATION"	2781-150	2013-12-04	2013-12-06	THE HOME DEPOT #7012	133.41	CAD	133.41	CAD	2710	GENERAL HARDWARE	P12155	FACILITY OPERATIONS - EAST YORK CC	5200	Home Supply Warehouse	**MORE**  TRAFFIC CONE
"PARKS, FORESTRY & RECREATION"	2785-216	2013-12-07	2013-12-09	THE HOME DEPOT #7012	7.46	CAD	7.46	CAD	2710	GENERAL HARDWARE	P12158	DIEPPE COMP MULTIPURP CTRS-PRGM SUP	5200	Home Supply Warehouse	"5/16"" PR"
"PARKS, FORESTRY & RECREATION"	2785-217	2013-12-07	2013-12-09	YOUR DOLLAR STORE WITH	9.04	CAD	9.04	CAD	2710	GENERAL HARDWARE	P12158	DIEPPE COMP MULTIPURP CTRS-PRGM SUP	5999	Miscellaneous and Specialty Retail Store	HARDWARE
"PARKS, FORESTRY & RECREATION"	2785-218	2013-12-08	2013-12-09	RCSS 1077	111.54	CAD	111.54	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12158	DIEPPE COMP MULTIPURP CTRS-PRGM SUP	5411	"Grocery Stores, Supermarkets"	"MILK, HOTDOGS, HAM"
"PARKS, FORESTRY & RECREATION"	2795-225	2013-12-12	2013-12-16	THE HOME DEPOT #7080	99.84	CAD	99.84	CAD	2710	GENERAL HARDWARE	P12155	FACILITY OPERATIONS - EAST YORK CC	5200	Home Supply Warehouse	**MORE**  80' OUTDOOR
"PARKS, FORESTRY & RECREATION"	2801-131	2013-12-18	2013-12-20	CDN TIRE STORE #00030	50.83	CAD	50.83	CAD	2710	GENERAL HARDWARE	P12155	FACILITY OPERATIONS - EAST YORK CC	5200	Home Supply Warehouse	BUILDING SUPPLIES
"PARKS, FORESTRY & RECREATION"	2801-132	2013-12-18	2013-12-20	WAL-MART #3159	66.67	CAD	66.67	CAD	3050	M & E - KITCHEN	P12158	DIEPPE COMP MULTIPURP CTRS-PRGM SUP	5411	"Grocery Stores, Supermarkets"	MICROWAVE
					809.53	CAD	809.53	CAD							
"PARKS, FORESTRY & RECREATION"	2774-92	2013-12-02	2013-12-03	LOBLAWS #1021	33.02	CAD	33.02	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07690	LAMOREAUX-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	
"PARKS, FORESTRY & RECREATION"	2781-151	2013-12-05	2013-12-06	LOBLAWS #1021	34.64	CAD	34.64	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"FRUIT PLATTER, CHIPS"
"PARKS, FORESTRY & RECREATION"	2787-95	2013-12-09	2013-12-10	LOBLAWS #1021	11.32	CAD	11.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"BROWN SUGAR, LARGE EGGS, BUTTER"
					78.98	CAD	78.98	CAD							
"PARKS, FORESTRY & RECREATION"	2773-227	2013-11-28	2013-12-02	YOUR DOLLAR STORE WITH	9.04	CAD	9.04	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5999	Miscellaneous and Specialty Retail Store	SUPPLIES FOR FACILITY
"PARKS, FORESTRY & RECREATION"	2773-228	2013-11-29	2013-12-02	STAPLES #32	45.15	CAD	45.15	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5943	"Office, School Supply, and Stationery St"	KEY BOX FOR FACILITY
"PARKS, FORESTRY & RECREATION"	2795-226	2013-12-12	2013-12-16	HOULT HELLEWELL	148.71	CAD	148.71	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11226	DON MONTGOMERY CRC-SPORTS	5999	Miscellaneous and Specialty Retail Store	"3 VOLLEYBALL INSERTS,MEDALS,RIBBONS,TROPHIES"
"PARKS, FORESTRY & RECREATION"	2795-227	2013-12-13	2013-12-16	MARCHANT'S SCHOOL SPOR	27.69	CAD	27.69	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11226	DON MONTGOMERY CRC-SPORTS	5941	Sporting Goods Stores	"WHISTLES, GLOVES"
"PARKS, FORESTRY & RECREATION"	2795-228	2013-12-13	2013-12-16	PEOPLE POWER PRESS	42.71	CAD	42.71	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11226	DON MONTGOMERY CRC-SPORTS	5945	"Game, Toy, and Hobby Shops"	PINBACK BUTTON PARTS FOR BASKETBALL TOURNAMENT
"PARKS, FORESTRY & RECREATION"	2795-229	2013-12-13	2013-12-16	CURRY'S - MARKHAM	86.04	CAD	86.04	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11226	DON MONTGOMERY CRC-SPORTS	5970	"Artist Supply Stores, Craft Shops"	"LIQUID PAINT,CANVAS,WOOD FRAMES,BLACK CARBON"
"PARKS, FORESTRY & RECREATION"	2795-230	2013-12-13	2013-12-16	CURRY'S - MARKHAM	95.60	CAD	95.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11226	DON MONTGOMERY CRC-SPORTS	5970	"Artist Supply Stores, Craft Shops"	"LIQUID PAINT,CANVAS,WOOD FRAMES,BLACK CARBON"
"PARKS, FORESTRY & RECREATION"	2795-231	2013-12-13	2013-12-16	YOUR DOLLAR STORE WITH	35.03	CAD	35.03	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11226	DON MONTGOMERY CRC-SPORTS	5999	Miscellaneous and Specialty Retail Store	"BALLOONS, STREAMS, AIR PUMP"
"PARKS, FORESTRY & RECREATION"	2795-232	2013-12-13	2013-12-16	CURRY'S - MARKHAM	-95.60	CAD	-95.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11226	DON MONTGOMERY CRC-SPORTS	5970	"Artist Supply Stores, Craft Shops"	REFUND
"PARKS, FORESTRY & RECREATION"	2798-132	2013-12-17	2013-12-18	HOULT HELLEWELL	324.25	CAD	324.25	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11226	DON MONTGOMERY CRC-SPORTS	5999	Miscellaneous and Specialty Retail Store	"TROPHIES, GOLD PLATES, SILVER MEDALS,RIBBONS"
"PARKS, FORESTRY & RECREATION"	2801-133	2013-12-18	2013-12-20	YOUR DOLLAR STORE WITH	11.30	CAD	11.30	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11226	DON MONTGOMERY CRC-SPORTS	5999	Miscellaneous and Specialty Retail Store	10 PURPLE PLASTIC TABLE CLOTHES
					729.92	CAD	729.92	CAD							
"PARKS, FORESTRY & RECREATION"	2808-101	2013-12-23	2013-12-27	THE HOME DEPOT #7012	134.72	CAD	134.72	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	P00264	E-CENTRAL2-TURF&HORT	5200	Home Supply Warehouse	**MORE**  KEROSENE
"PARKS, FORESTRY & RECREATION"	2808-102	2013-12-23	2013-12-27	THE HOME DEPOT #7001	33.89	CAD	33.89	CAD	2540	HEATING & AIR CONDITIONING SUPPLIES	P00264	E-CENTRAL2-TURF&HORT	5200	Home Supply Warehouse	HEATER
					168.61	CAD	168.61	CAD							
"PARKS, FORESTRY & RECREATION"	2780-125	2013-12-03	2013-12-05	PARTY CITY #2027	67.58	CAD	67.58	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13215	SPECIAL EVENTS - ELLESMERE CC	5947	"Card, Gift, Novelty, and Souvenir Shops"	BREAKFAST WITH SANTA SUPPLIES
"PARKS, FORESTRY & RECREATION"	2780-126	2013-12-04	2013-12-05	MICHAELS #3982	57.91	CAD	57.91	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13215	SPECIAL EVENTS - ELLESMERE CC	5945	"Game, Toy, and Hobby Shops"	BREAKFAST WITH SANTA SUPPLIES
"PARKS, FORESTRY & RECREATION"	2785-219	2013-12-05	2013-12-09	METRO #475	17.29	CAD	17.29	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01342	ELLESMERE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	FOOD FOR PROGRAM
"PARKS, FORESTRY & RECREATION"	2789-145	2013-12-10	2013-12-11	STAPLES 266	71.04	CAD	71.04	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13215	SPECIAL EVENTS - ELLESMERE CC	5943	"Office, School Supply, and Stationery St"	BREAKFAST WITH SANTA SUPPLIES
"PARKS, FORESTRY & RECREATION"	2791-115	2013-12-11	2013-12-12	STAPLES 266	51.02	CAD	51.02	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13215	SPECIAL EVENTS - ELLESMERE CC	5943	"Office, School Supply, and Stationery St"	BREAKFAST WITH SANTA SUPPLIES
"PARKS, FORESTRY & RECREATION"	2793-120	2013-12-11	2013-12-13	THE HOME DEPOT #7001	14.10	CAD	14.10	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13215	SPECIAL EVENTS - ELLESMERE CC	5200	Home Supply Warehouse	"8""SONOTUBE"
"PARKS, FORESTRY & RECREATION"	2793-121	2013-12-11	2013-12-13	WAL-MART #3159	89.41	CAD	89.41	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13215	SPECIAL EVENTS - ELLESMERE CC	5411	"Grocery Stores, Supermarkets"	BREAKFAST WITH SANTA SUPPLIES
"PARKS, FORESTRY & RECREATION"	2795-233	2013-12-12	2013-12-16	THE HOME DEPOT #7001	22.46	CAD	22.46	CAD	2575	ELECTRICAL SUPPLIES	P13215	SPECIAL EVENTS - ELLESMERE CC	5200	Home Supply Warehouse	CORD
"PARKS, FORESTRY & RECREATION"	2795-234	2013-12-12	2013-12-16	PARTY CITY #2007	27.59	CAD	27.59	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13215	SPECIAL EVENTS - ELLESMERE CC	5947	"Card, Gift, Novelty, and Souvenir Shops"	BREAKFAST WITH SANTA SUPPLIES
"PARKS, FORESTRY & RECREATION"	2798-133	2013-12-14	2013-12-18	METRO #35	5.79	CAD	5.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13215	SPECIAL EVENTS - ELLESMERE CC	5411	"Grocery Stores, Supermarkets"	BREAKFAST WITH SANTA SUPPLIES
					424.19	CAD	424.19	CAD							
EMERGENCY MEDICAL SERVICES	2773-229	2013-11-28	2013-12-02	TORONTO PARKING AUTHOR	15.00	CAD	15.00	CAD	4770	PARKING EXPENSES (INTOWN)	B22060	PROGRAM MANAGEMENT & ADMINISTRATION	9399	Government Services - Not Elsewhere Clas	PARKING - MTG AT CITY HALL
					15.00	CAD	15.00	CAD							
"PARKS, FORESTRY & RECREATION"	2791-116	2013-12-10	2013-12-12	CDN TIRE STORE #00242	225.94	CAD	225.94	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12634	ETOBICOKE CIVIC CTR-SKATING-PRGM SUPP	5200	Home Supply Warehouse	SKATE TRAINERS
"PARKS, FORESTRY & RECREATION"	2791-117	2013-12-10	2013-12-12	CDN TIRE STORE #00294	232.71	CAD	232.71	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12634	ETOBICOKE CIVIC CTR-SKATING-PRGM SUPP	5200	Home Supply Warehouse	SKATE TRAINERS & TAPE
					458.65	CAD	458.65	CAD							
"PARKS, FORESTRY & RECREATION"	2781-152	2013-12-05	2013-12-06	NOFRILLS VINCE'S #3930	60.72	CAD	60.72	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11563	DRIFTWOOD-SPORTS	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR REC PROGRAM
"PARKS, FORESTRY & RECREATION"	2785-220	2013-12-06	2013-12-09	NOFRILLS VINCE'S #3930	19.86	CAD	19.86	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11563	DRIFTWOOD-SPORTS	5411	"Grocery Stores, Supermarkets"	"GIRLS EVENT-FRUIT JUICE, HONEY"
"PARKS, FORESTRY & RECREATION"	2789-146	2013-12-10	2013-12-11	PARTY CITY #2801	-6.77	CAD	-6.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06049	DRIFTWOOD-SOCIAL PRGM	5999	Miscellaneous and Specialty Retail Store	REFUND
"PARKS, FORESTRY & RECREATION"	2791-118	2013-12-10	2013-12-12	WAL-MART # 3145	56.44	CAD	56.44	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06049	DRIFTWOOD-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	COSTUMES FOR CHILDRENS HOLIDAY EVENT
"PARKS, FORESTRY & RECREATION"	2791-119	2013-12-10	2013-12-12	PARTY CITY #2801	51.96	CAD	51.96	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06049	DRIFTWOOD-SOCIAL PRGM	5999	Miscellaneous and Specialty Retail Store	COSTUMES FOR CHILDRENS HOLIDAY EVENT
"PARKS, FORESTRY & RECREATION"	2801-134	2013-12-18	2013-12-20	THE HOME DEPOT #7078	272.15	CAD	272.15	CAD	3080	M & E - HAND TOOLS	P06684	DRIFTWOOD CC-OPERATIONS	5200	Home Supply Warehouse	**MORE**  42PCSHOCK
"PARKS, FORESTRY & RECREATION"	2801-135	2013-12-19	2013-12-20	PRICE CHOPPER #7964QPS	97.70	CAD	97.70	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11563	DRIFTWOOD-SPORTS	5411	"Grocery Stores, Supermarkets"	"FRUIT SNACKS, MUFFINS, APPLES"
"PARKS, FORESTRY & RECREATION"	2808-103	2013-12-24	2013-12-27	WAL-MART # 3145	147.70	CAD	147.70	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	NP3230	2013 ICE STORM	5411	"Grocery Stores, Supermarkets"	"WARMING CENTRE SUPPLIES-BREAD,COOKIES,APPLES"
"PARKS, FORESTRY & RECREATION"	2808-104	2013-12-24	2013-12-27	WAL-MART # 3145	127.66	CAD	127.66	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	NP3230	2013 ICE STORM	5411	"Grocery Stores, Supermarkets"	"WARMING CENTRE SUPPLIES-JUICE,CHEESE,FOAM CUPS"
"PARKS, FORESTRY & RECREATION"	2808-105	2013-12-24	2013-12-27	WAL-MART # 3145	14.94	CAD	14.94	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	NP3230	2013 ICE STORM	5411	"Grocery Stores, Supermarkets"	"WARMING CENTRE SUPPLIES-- MUFFINS, COFFEE"
					842.36	CAD	842.36	CAD							
EMERGENCY MEDICAL SERVICES	2785-221	2013-12-05	2013-12-09	TORONTO PARKING AUTHOR	15.00	CAD	15.00	CAD	4770	PARKING EXPENSES (INTOWN)	B43300	EQUIPMENT RETRIEVAL	9399	Government Services - Not Elsewhere Clas	PARKING - ARBITRATION LEARNING
EMERGENCY MEDICAL SERVICES	2789-147	2013-12-08	2013-12-11	RONA # 55040	9.03	CAD	9.03	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	B25000	MATERIALS MGMT (STORES)	5251	Hardware Stores	ADHESIVE
EMERGENCY MEDICAL SERVICES	2804-147	2013-12-21	2013-12-23	SHOPPERS DRUG MART #09	99.97	CAD	99.97	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	B46700	ALS OPERATIONS	5912	"Drug Stores, Pharmacies"	BEVERAGE FOR X-MAS PARTY
					124.00	CAD	124.00	CAD							
ECONOMIC DEVELOPMENT & CULTURE	2795-235	2013-12-13	2013-12-16	PAYPAL *BLACKWELLBO	678.00	CAD	678.00	CAD	4085	PROF & TECH-MGMT	SE0004	CAVALCADE OF LIGHTS	8999	Professional Services - Not Elsewhere Cl	ENGINEERING REVIEW FOR CAVALCADE
ECONOMIC DEVELOPMENT & CULTURE	2795-236	2013-12-13	2013-12-16	FESTIVAL AND EVENTS ON	791.00	CAD	791.00	CAD	4760	MEMBERSHIP FEES	SE0011	GENERAL ADMIN	7311	Advertising Services	MEMBERSHIP RENEWAL
ECONOMIC DEVELOPMENT & CULTURE	2810-87	2013-12-27	2013-12-30	CDN ASSOC OF EXPOSITIO	480.25	CAD	480.25	CAD	4760	MEMBERSHIP FEES	SE0011	GENERAL ADMIN	8699	"Organizations, Membership - Not Elsewher"	MEMBERSHIP RENEWAL
					"1,949.25"	CAD	"1,949.25"	CAD							
FIRE SERVICES	2785-222	2013-12-06	2013-12-09	ONT ASSOC OF FIRECHIEF	463.30	CAD	463.30	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	FR0012	ADMIN-HEADQUARTERS	8699	"Organizations, Membership - Not Elsewher"	LABOUR RELATIONS SEMINAR FEE
					463.30	CAD	463.30	CAD							
ECONOMIC DEVELOPMENT & CULTURE	2785-223	2013-12-05	2013-12-09	AROMA - BAY AND DUNDAS	7.58	CAD	7.58	CAD	4823	MEALS-OUTSIDE LOC'S	ED0128	"FASHION, APPAREL & TEXTILE SERVICES"	5814	Quick Payment Service - Fast-Food Restau	BUSINESS MEETING W/ EXTERNAL CLIENTS
ECONOMIC DEVELOPMENT & CULTURE	2787-96	2013-12-09	2013-12-10	BANNOCK	42.88	CAD	42.88	CAD	4823	MEALS-OUTSIDE LOC'S	ED0128	"FASHION, APPAREL & TEXTILE SERVICES"	5814	Quick Payment Service - Fast-Food Restau	BUSINESS MEETING W/ EXTERNAL CLIENTS
