Division,Batch-Transaction ID,Transaction Date,Card Posting Dt,Merchant Name,Transaction Amt.,Trx.Currency,Original Amount,Original Currency,G/L Account,Exp Type Desc,Cost Center / WBS Element / Order,Cost Center / WBS Element / Order Description,Merchant Type,Merchant Type Description,Purpose
"PARKS, FORESTRY & RECREATION",5746-132,2021-03-04,2021-03-04,"PLAYPOWER LT CANADA, I",-56.49,CAD,-56.49,CAD,2601,DUR REC & EDUC SUPP,P00898,KIPLING YD-PARKS CONSTR,5046,Commercial Equipment Not Elsewhere Class,47021396-EXCHANGE REFUND
"PARKS, FORESTRY & RECREATION",5750-98,2021-03-08,2021-03-09,BOLTS PLUS,289.56,CAD,289.56,CAD,2710,GENERAL HARDWARE,P00898,KIPLING YD-PARKS CONSTR,5251,Hardware Stores,"BOLS, HARDWARE"
"PARKS, FORESTRY & RECREATION",5754-174,2021-03-11,2021-03-15,THE HOME DEPOT #7078,185.93,CAD,185.93,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,P00898,KIPLING YD-PARKS CONSTR,5200,Home Supply Warehouse,**MORE**  MASK
"PARKS, FORESTRY & RECREATION",5757-137,2021-03-17,2021-03-18,BOLTS PLUS,93.59,CAD,93.59,CAD,2710,GENERAL HARDWARE,P00898,KIPLING YD-PARKS CONSTR,5251,Hardware Stores,HARDWARE
"PARKS, FORESTRY & RECREATION",5762-112,2021-03-24,2021-03-25,ROADSIDE PAVING,"1,130.00",CAD,"1,130.00",CAD,4416,"TRANSFER, HAULAGE AND STORAGE",P00898,KIPLING YD-PARKS CONSTR,1799,"Contractors, Special Trade - Not Elsewhe",CONCRETE DUMP FEE
"PARKS, FORESTRY & RECREATION",5762-113,2021-03-24,2021-03-25,KSL DESIGN,"6,667.00",CAD,"6,667.00",CAD,2601,DUR REC & EDUC SUPP,P00898,KIPLING YD-PARKS CONSTR,7999,Recreation Services (Not Elsewhere Class,47021397-PLAYGROUND EQUIPMENT
,,,,,"14,586.45",CAD,"14,586.45",CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5743-186,2021-02-28,2021-03-01,FACEBK KLLV92KW52,805.36,CAD,805.36,CAD,4414,ADVERTISING & PROMOTION,P00898,KIPLING YD-PARKS CONSTR,7311,Advertising Services,FACEBOOK ADS
"PARKS, FORESTRY & RECREATION",5754-175,2021-03-12,2021-03-15,FACEBK ZYRUVYSW52,"1,000.00",CAD,"1,000.00",CAD,4414,ADVERTISING & PROMOTION,CPR117-49-06,MASTER PLANNING PF&R FY2019-FY2020,7311,Advertising Services,FACEBOOK ADS
"PARKS, FORESTRY & RECREATION",5759-216,2021-03-19,2021-03-22,FACEBK 45TWWZ6W52,"1,000.00",CAD,"1,000.00",CAD,4414,ADVERTISING & PROMOTION,CPR117-49-06,MASTER PLANNING PF&R FY2019-FY2020,7311,Advertising Services,FACEBOOK ADS
"PARKS, FORESTRY & RECREATION",5762-114,2021-03-25,2021-03-25,FACEBK LHCJWY2X52,"1,000.00",CAD,"1,000.00",CAD,4414,ADVERTISING & PROMOTION,CPR119-49-02,PLAY EQUIPMENT PROGRAM FY2019-2020,7311,Advertising Services,FACEBOOK ADS
"PARKS, FORESTRY & RECREATION",5765-85,2021-03-29,2021-03-30,FACEBK GLTGJZEW52,"1,000.00",CAD,"1,000.00",CAD,4414,ADVERTISING & PROMOTION,CPR117-49-06,MASTER PLANNING PF&R FY2019-FY2020,7311,Advertising Services,FACEBOOK ADS
"PARKS, FORESTRY & RECREATION",5766-102,2021-03-30,2021-03-31,THE CANADIAN PRESS,49.88,CAD,49.88,CAD,4310,TRAINING & DEVELOPMENT - EXTERNAL,EA0099,PROGRAM SUPPORT-PARKS-HEAD OFFICE,5942,Book Stores,TRAINING
,,,,,"4,855.24",CAD,"4,855.24",CAD,,,,,,,
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5743-187,2021-02-26,2021-03-01,THE HOME DEPOT CANADA,360.15,CAD,360.15,CAD,2575,ELECTRICAL SUPPLIES,F01323,ROBERTSON HOUSE-PROPERTY SERV,5200,Home Supply Warehouse,PURCHASED 6 BRIGHT WHITE PAR30S LED LIGHT BULB(4-PACK) FOR RH
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5754-176,2021-03-11,2021-03-15,THE HOME DEPOT #7080,801.56,CAD,801.56,CAD,2710,GENERAL HARDWARE,F01123,SEATON HOUSE-PROPERTY SERV,5200,Home Supply Warehouse,**MORE**  MONO SILICON
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5757-138,2021-03-17,2021-03-18,TWEED INC.,101.88,CAD,101.88,CAD,2824,PRESCRIPTION DRUGS,F01124,SEATON HOUSE-HEALTH SERVICES,5912,"Drug Stores, Pharmacies",PURCHASE OF PRESCRIPTION MEDS FOR AN ANNEX PROGRAM CLIENT AT SEATON HOUSE FOR MARCH (CLIENT REIMBURSES SEATON HOUSE)
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5758-107,2021-03-16,2021-03-19,SPARKLE SOLUTIONS CORP,"2,241.92",CAD,"2,241.92",CAD,3360,M & E - WASHING,F01123,SEATON HOUSE-PROPERTY SERV,5200,Home Supply Warehouse,"PURCHASE OF A HUEBSCH ELECTRIC DRYER AND A HUEBSCH TOP LOAD WASHER, PLUS THE DELIVERY FEES FOR SEATON HOUSE"
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5766-103,2021-03-30,2021-03-31,MISTER CHEMICAL LTD.,788.53,CAD,788.53,CAD,2570,JANITORIAL SUPPLIES,F01122,SEATON HOUSE-DIETARY SERV,5169,Chemicals and Allied Products Not Elsewh,PURCHASE 1 CASES OF  LAUNDRY DETERGENT AND 2 CASES OF MOP HEADS FOR DIETARY DAILY MAINTANCE AT SEATON HOUSE
,,,,,"4,294.04",CAD,"4,294.04",CAD,,,,,,,
FACILITIES MANAGEMENT,5745-117,2021-03-02,2021-03-03,THE MASTER GROUP REXDA,325.53,CAD,325.53,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61662248,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5074,Plumbing and Heating Equipment,PARTS
FACILITIES MANAGEMENT,5748-103,2021-03-03,2021-03-05,BILL'S ELECTRIC SALES,271.20,CAD,271.20,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61662248,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5251,Hardware Stores,PARTS
FACILITIES MANAGEMENT,5749-158,2021-03-05,2021-03-08,NOBLE 1003,167.44,CAD,167.44,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61666073,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5251,Hardware Stores,PARTS
FACILITIES MANAGEMENT,5751-132,2021-03-08,2021-03-10,BILL'S ELECTRIC SALES,489.97,CAD,489.97,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61662248,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5251,Hardware Stores,PARTS
FACILITIES MANAGEMENT,5753-118,2021-03-10,2021-03-12,BILL'S ELECTRIC SALES,281.14,CAD,281.14,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61662248,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5251,Hardware Stores,PARTS
,,,,,"1,535.28",CAD,"1,535.28",CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5755-79,2021-03-15,2021-03-16,BERNARDI BUILDING SUPP,351.36,CAD,351.36,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,P00364,N-EAST-PARKS MAINT/RPRS,5211,"Building Materials, Lumber Stores",SONOTUBE
"PARKS, FORESTRY & RECREATION",5755-80,2021-03-15,2021-03-16,RONA # 55030,737.42,CAD,737.42,CAD,2780,CONCRETE,P00364,N-EAST-PARKS MAINT/RPRS,5251,Hardware Stores,PREMIX CONCRETE
"PARKS, FORESTRY & RECREATION",5757-139,2021-03-17,2021-03-18,DNM SYSTEMS LTD,"2,593.35",CAD,"2,593.35",CAD,2780,CONCRETE,P00430,N-EAST-WINTER MAINT,1771,Concrete Work Contractors,CONCRETE TERRA BLOCKS
"PARKS, FORESTRY & RECREATION",5757-140,2021-03-16,2021-03-18,NAPA WOODBRIDGE #759,15.80,CAD,15.80,CAD,2130,PARTS - MOBILE EQUIPMENT,P00427,PRN - CENTRALIZED PARKS CONSTRUCTION OPS,5533,"Automotive Parts, Accessories Stores",WIPER BLADES
"PARKS, FORESTRY & RECREATION",5758-108,2021-03-18,2021-03-19,GROENEVELD,"1,696.53",CAD,"1,696.53",CAD,2130,PARTS - MOBILE EQUIPMENT,P00427,PRN - CENTRALIZED PARKS CONSTRUCTION OPS,5533,"Automotive Parts, Accessories Stores",CASE LOADER LUBRICATION
"PARKS, FORESTRY & RECREATION",5761-124,2021-03-22,2021-03-24,WURTH CANADA - WEB,189.28,CAD,189.28,CAD,2710,GENERAL HARDWARE,P00427,PRN - CENTRALIZED PARKS CONSTRUCTION OPS,5085,Industrial Supplies Not Elsewhere Classi,CUT OFF DISKS
"PARKS, FORESTRY & RECREATION",5761-125,2021-03-23,2021-03-24,BOLTS PLUS,"1,299.50",CAD,"1,299.50",CAD,2710,GENERAL HARDWARE,P00364,N-EAST-PARKS MAINT/RPRS,5251,Hardware Stores,STAINLESS SECURITY SCREWS
"PARKS, FORESTRY & RECREATION",5763-110,2021-03-25,2021-03-26,ARMTEC,"1,585.84",CAD,"1,585.84",CAD,2532,STEEL,P00430,N-EAST-WINTER MAINT,5051,Metal Service Centers and Offices,STEEL CULVERT
"PARKS, FORESTRY & RECREATION",5763-111,2021-03-25,2021-03-26,SPEELMAN'S GARDEN CENT,228.26,CAD,228.26,CAD,2770,GRAVEL,P00427,PRN - CENTRALIZED PARKS CONSTRUCTION OPS,5261,Lawn and Garden Supply Stores,"SAND, SCREENINGS"
,,,,,"8,697.34",CAD,"8,697.34",CAD,,,,,,,
OFFICE OF EMERGENCY MANAGEMENT,5744-88,2021-03-01,2021-03-02,AMAZON.CA FY6SO4143,61.00,CAD,61.00,CAD,2099,OTHER OFFICE MATERIAL &MINOR FURNISHING,DB100X,OEM EMERGENCY EVENT RESPONSE,4816,Computer Network/Information Services,IMMUNIZATION EFFORTS - QUARTET ECONOMY CORK BULLETIN BOARD
OFFICE OF EMERGENCY MANAGEMENT,5744-89,2021-03-01,2021-03-02,AMAZON.CA HQ7518PC3,61.00,CAD,61.00,CAD,2099,OTHER OFFICE MATERIAL &MINOR FURNISHING,DB100X,OEM EMERGENCY EVENT RESPONSE,4816,Computer Network/Information Services,IMMUNIZATION EFFORTS - QUARTET ECONOMY CORK BULLETIN BOARD
OFFICE OF EMERGENCY MANAGEMENT,5744-90,2021-03-01,2021-03-02,AMAZON.CA 153U00F03,61.00,CAD,61.00,CAD,2099,OTHER OFFICE MATERIAL &MINOR FURNISHING,DB100X,OEM EMERGENCY EVENT RESPONSE,4816,Computer Network/Information Services,IMMUNIZATION EFFORTS - QUARTET ECONOMY CORK BULLETIN BOARD
OFFICE OF EMERGENCY MANAGEMENT,5744-91,2021-03-01,2021-03-02,AMAZON.CA 1Y26M1XP3,61.00,CAD,61.00,CAD,2099,OTHER OFFICE MATERIAL &MINOR FURNISHING,DB100X,OEM EMERGENCY EVENT RESPONSE,4816,Computer Network/Information Services,IMMUNIZATION EFFORTS - QUARTET ECONOMY CORK BULLETIN BOARD
OFFICE OF EMERGENCY MANAGEMENT,5744-92,2021-03-01,2021-03-02,AMAZON.CA 1N4U26X83,61.00,CAD,61.00,CAD,2099,OTHER OFFICE MATERIAL &MINOR FURNISHING,DB100X,OEM EMERGENCY EVENT RESPONSE,4816,Computer Network/Information Services,IMMUNIZATION EFFORTS - QUARTET ECONOMY CORK BULLETIN BOARD
OFFICE OF EMERGENCY MANAGEMENT,5744-93,2021-03-01,2021-03-02,AMAZON.CA 1M4BA6243,61.00,CAD,61.00,CAD,2099,OTHER OFFICE MATERIAL &MINOR FURNISHING,DB100X,OEM EMERGENCY EVENT RESPONSE,4816,Computer Network/Information Services,IMMUNIZATION EFFORTS - QUARTET ECONOMY CORK BULLETIN BOARD
OFFICE OF EMERGENCY MANAGEMENT,5744-94,2021-03-01,2021-03-02,AMAZON.CA GI3IU6KT3,61.00,CAD,61.00,CAD,2099,OTHER OFFICE MATERIAL &MINOR FURNISHING,DB100X,OEM EMERGENCY EVENT RESPONSE,4816,Computer Network/Information Services,IMMUNIZATION EFFORTS - QUARTET ECONOMY CORK BULLETIN BOARD
OFFICE OF EMERGENCY MANAGEMENT,5744-95,2021-03-01,2021-03-02,AMAZON.CA 2L9KF9D93,61.00,CAD,61.00,CAD,2099,OTHER OFFICE MATERIAL &MINOR FURNISHING,DB100X,OEM EMERGENCY EVENT RESPONSE,4816,Computer Network/Information Services,IMMUNIZATION EFFORTS - QUARTET ECONOMY CORK BULLETIN BOARD
OFFICE OF EMERGENCY MANAGEMENT,5744-96,2021-03-01,2021-03-02,AMAZON.CA NI7TB0CD3,61.00,CAD,61.00,CAD,2099,OTHER OFFICE MATERIAL &MINOR FURNISHING,DB100X,OEM EMERGENCY EVENT RESPONSE,4816,Computer Network/Information Services,IMMUNIZATION EFFORTS - QUARTET ECONOMY CORK BULLETIN BOARD
OFFICE OF EMERGENCY MANAGEMENT,5744-97,2021-03-02,2021-03-02,AMZN MKTP CA 1180M4023,169.38,CAD,169.38,CAD,2099,OTHER OFFICE MATERIAL &MINOR FURNISHING,DB100X,OEM EMERGENCY EVENT RESPONSE,4816,Computer Network/Information Services,IMMUNIZATION EFFORTS - JOINT HEALTH AND SAFETY (JHSC) BOARD TEMPLATE
OFFICE OF EMERGENCY MANAGEMENT,5746-133,2021-03-02,2021-03-04,WWW.CANADIANTIRE.CA,-9.92,CAD,-9.92,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,DB100X,OEM EMERGENCY EVENT RESPONSE,5200,Home Supply Warehouse,RETURN - CRAYOLA SIDEWALK CHALK
OFFICE OF EMERGENCY MANAGEMENT,5746-134,2021-03-02,2021-03-04,WWW.CANADIANTIRE.CA,-27.10,CAD,-27.10,CAD,2665,PROTECTIVE CLOTHING,DB100X,OEM EMERGENCY EVENT RESPONSE,5200,Home Supply Warehouse,RETURN OF HARD HAT - WHITE
,,,,,681.36,CAD,681.36,CAD,,,,,,,
FIRE SERVICES,5759-217,2021-03-20,2021-03-22,AMZN MKTP CA NT16N7RM3,197.12,CAD,197.12,CAD,2080,PHOTOGRAPHIC AND VIDEO SUPPLIES,FR0018,ADMIN-PUBLIC INFORMATION,4816,Computer Network/Information Services,SANDISK MICROSD 64GB AND USB CARDREADER
FIRE SERVICES,5764-196,2021-03-29,2021-03-29,AMAZON.CA KH1QI3V93,52.92,CAD,52.92,CAD,2080,PHOTOGRAPHIC AND VIDEO SUPPLIES,FR0018,ADMIN-PUBLIC INFORMATION,4816,Computer Network/Information Services,AMAZON PURCHASE MADE IN ERROR
,,,,,250.04,CAD,250.04,CAD,,,,,,,
LEGAL SERVICES,5746-135,2021-03-04,2021-03-04,TORONTO AND REGION CON,325.00,CAD,325.00,CAD,4827,ONLINE SERVICES FEES,LL5606,FACILITIES AND REAL ESTATE,7999,Recreation Services (Not Elsewhere Class,100 QUEENS QUAY 
,,,,,325.00,CAD,325.00,CAD,,,,,,,
PUBLIC HEALTH,5743-188,2021-02-28,2021-03-01,ISTOCK.COM,292.67,CAD,292.67,CAD,4760,MEMBERSHIP FEES,PH2081,HEALTH COMMUNICATION,7333,"Commercial Art, Graphics, Photography",MEMBERSHIP FEES
PUBLIC HEALTH,5746-136,2021-03-03,2021-03-04,LA TIMES SUBSCRIPTION,20.82,CAD,16.00,USD,2020,BOOK & MAGAZINE SUBSCRIPTIONS,PH2081,HEALTH COMMUNICATION,5994,News Dealers and Newsstands,BOOK & MAGAZINE SUBSCRIPTIONS
PUBLIC HEALTH,5751-133,2021-03-08,2021-03-10,TORONTO SUN - CIRCULAT,25.20,CAD,25.20,CAD,2020,BOOK & MAGAZINE SUBSCRIPTIONS,PH2081,HEALTH COMMUNICATION,5192,"Books, Periodicals, and Newspapers",BOOK & MAGAZINE SUBSCRIPTIONS
PUBLIC HEALTH,5754-177,2021-03-13,2021-03-15,STAR METROLAND SBSCRP,22.59,CAD,22.59,CAD,2020,BOOK & MAGAZINE SUBSCRIPTIONS,PH2081,HEALTH COMMUNICATION,5192,"Books, Periodicals, and Newspapers",BOOK & MAGAZINE SUBSCRIPTIONS
PUBLIC HEALTH,5758-109,2021-03-18,2021-03-19,HOO HOOTSUITE INC,30.37,CAD,23.72,USD,2020,BOOK & MAGAZINE SUBSCRIPTIONS,PH2081,HEALTH COMMUNICATION,7399,Business Services - Not Elsewhere Classi,BOOK & MAGAZINE SUBSCRIPTIONS
PUBLIC HEALTH,5759-218,2021-03-19,2021-03-22,ROGERS  CBL30275438503,114.10,CAD,114.10,CAD,3020,M & E - COMMUNICATIONS,PH2081,HEALTH COMMUNICATION,4899,Cable and Other Pay Television Services,M & E - COMMUNICATIONS
PUBLIC HEALTH,5759-219,2021-03-20,2021-03-22,GLOBE AND MAIL DIGITAL,8.99,CAD,8.99,CAD,2020,BOOK & MAGAZINE SUBSCRIPTIONS,PH2081,HEALTH COMMUNICATION,5192,"Books, Periodicals, and Newspapers",BOOK & MAGAZINE SUBSCRIPTIONS
PUBLIC HEALTH,5765-86,2021-03-30,2021-03-30,ISTOCK.COM,292.67,CAD,292.67,CAD,4760,MEMBERSHIP FEES,PH2081,HEALTH COMMUNICATION,7333,"Commercial Art, Graphics, Photography",MEMBERSHIP FEES
,,,,,807.41,CAD,756.22,CAD,,,,,,,
,,,,,,,39.72,USD,,,,,,,
TORONTO PARAMEDIC SERVICES,5744-98,2021-02-27,2021-03-02,CDN TIRE GASBAR #01552,100.00,CAD,100.00,CAD,2260,GASOLINE,B41100,MAINTENANCE OF FLEET,5542,"Fuel Dispenser, Automated",FUEL 83.403L@$1.199/L
,,,,,100.00,CAD,100.00,CAD,,,,,,,
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5765-87,2021-03-29,2021-03-30,SHOPPERS DRUG MART #08,12.23,CAD,12.23,CAD,4805,POSTAGE,F01121,SEATON HOUSE-SITE MANAGEMENT,9402,Postal Services - Government Only,REGISTERED MAIL SENT TO A SEATON HOUSE STAFF
,,,,,12.23,CAD,12.23,CAD,,,,,,,
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5744-99,2021-03-01,2021-03-02,DOLLARAMA # 640,25.20,CAD,25.20,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,HS100X,SSHA EMERGENCY EVENT RESPONSE,5310,Discount Stores,ST PATRICK DAY DECORATIONS
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5744-100,2021-03-01,2021-03-02,DOLLARAMA # 359,59.66,CAD,59.66,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,HS100X,SSHA EMERGENCY EVENT RESPONSE,5310,Discount Stores,ST PATRICK DAY DECORATIONS
,,,,,84.86,CAD,84.86,CAD,,,,,,,
"SOCIAL DEVELOPMENT, FINANICE & ADMINISTRATION",5743-189,2021-02-26,2021-03-01,INDIGO ONLINE,40.00,CAD,40.00,CAD,4995,OTHER EXPENSES,G27401,YOUTH DEVELOPMENT,5399,Miscellaneous General Merchandise,YDU WELLNESS GIFT CARD- INDIGO
"SOCIAL DEVELOPMENT, FINANICE & ADMINISTRATION",5743-190,2021-02-26,2021-03-01,LGC  UBER GIFT CARD,25.00,CAD,25.00,CAD,4995,OTHER EXPENSES,G27401,YOUTH DEVELOPMENT,5734,Computer Software Stores,YDU WELLNESS GIFT CARD
"SOCIAL DEVELOPMENT, FINANICE & ADMINISTRATION",5745-118,2021-03-01,2021-03-03,UBER    TRIP,13.27,CAD,13.27,CAD,4995,OTHER EXPENSES,G27415,TOR. YOUTH PARTNERSHIPS & EMPLOYMENT PRO,4121,Limousines and Taxicabs,UBER RIDE FOR YOUTH (TYPE PARTICIPANT)
"SOCIAL DEVELOPMENT, FINANICE & ADMINISTRATION",5746-137,2021-03-03,2021-03-04,LGC  UBER GIFT CARD,25.00,CAD,25.00,CAD,4995,OTHER EXPENSES,G27401,YOUTH DEVELOPMENT,5734,Computer Software Stores,YDU WELLNESS GIFT CARD
"SOCIAL DEVELOPMENT, FINANICE & ADMINISTRATION",5748-104,2021-03-03,2021-03-05,UBER    TRIP,31.83,CAD,31.83,CAD,4690,PUBLIC TRANSIT - CLIENTS,G27415,TOR. YOUTH PARTNERSHIPS & EMPLOYMENT PRO,4121,Limousines and Taxicabs,UBER RIDE FOR CAMH APPT (YOUTH PARTICIPANT)
"SOCIAL DEVELOPMENT, FINANICE & ADMINISTRATION",5751-134,2021-03-09,2021-03-10,ONLINEWHMIS.CA,33.84,CAD,33.84,CAD,4995,OTHER EXPENSES,G27415,TOR. YOUTH PARTNERSHIPS & EMPLOYMENT PRO,8299,Educational Services,CERTIFICATION FOR YOUTH PARTICIPANT
"SOCIAL DEVELOPMENT, FINANICE & ADMINISTRATION",5752-127,2021-03-10,2021-03-11,LGC  UBER GIFT CARD,25.00,CAD,25.00,CAD,4820,BUSINESS MEETING EXPENSES,G27401,YOUTH DEVELOPMENT,5734,Computer Software Stores,YDU WELLNESS - LIVE LUNCH DRAW
"SOCIAL DEVELOPMENT, FINANICE & ADMINISTRATION",5753-119,2021-03-11,2021-03-12,LGC  UBER GIFT CARD,25.00,CAD,25.00,CAD,4995,OTHER EXPENSES,G27401,YOUTH DEVELOPMENT,5734,Computer Software Stores,YDU WELLNESS PURCHASE
"SOCIAL DEVELOPMENT, FINANICE & ADMINISTRATION",5755-81,2021-03-15,2021-03-16,INDIGO ONLINE,40.00,CAD,40.00,CAD,4995,OTHER EXPENSES,G27401,YOUTH DEVELOPMENT,5399,Miscellaneous General Merchandise,YDU WELLNESS PURCHASE
"SOCIAL DEVELOPMENT, FINANICE & ADMINISTRATION",5755-82,2021-03-15,2021-03-16,INDIGO ONLINE,40.00,CAD,40.00,CAD,4995,OTHER EXPENSES,G27401,YOUTH DEVELOPMENT,5399,Miscellaneous General Merchandise,YDU WELLNESS PURCHASE
"SOCIAL DEVELOPMENT, FINANICE & ADMINISTRATION",5758-110,2021-03-18,2021-03-19,LGC  UBER GIFT CARD,25.00,CAD,25.00,CAD,4995,OTHER EXPENSES,G27401,YOUTH DEVELOPMENT,5734,Computer Software Stores,YDU WELLNESS - LIVE LUNCH DRAW
"SOCIAL DEVELOPMENT, FINANICE & ADMINISTRATION",5762-115,2021-03-24,2021-03-25,LGC  UBER GIFT CARD,25.00,CAD,25.00,CAD,4995,OTHER EXPENSES,G27401,YOUTH DEVELOPMENT,5734,Computer Software Stores,YDU WELLNESS - LIVE LUNCH DRAW
"SOCIAL DEVELOPMENT, FINANICE & ADMINISTRATION",5762-116,2021-03-24,2021-03-25,ZOOM.US 888-799-9666,452.00,CAD,452.00,CAD,3420,COMPUTERS - SOFTWARE,G27415,TOR. YOUTH PARTNERSHIPS & EMPLOYMENT PRO,4814,Telecommunication Service Including Loca,YDU ZOOM ACCOUNT
"SOCIAL DEVELOPMENT, FINANICE & ADMINISTRATION",5764-197,2021-03-26,2021-03-29,LGC  UBER GIFT CARD,25.00,CAD,25.00,CAD,4995,OTHER EXPENSES,G27401,YOUTH DEVELOPMENT,5734,Computer Software Stores,YDU WELLNESS PURCHASE
,,,,,825.94,CAD,825.94,CAD,,,,,,,
SENIOR SERVICES AND LONG-TERM CARE ,5766-104,2021-03-31,2021-03-31,AMAZON.CA EZ6JV8B03,51.11,CAD,51.11,CAD,2010,STATIONERY AND OFFICE SUPPLIES,D3B011,CASTLEVIEW WYCHWOOD-PA-OA,4816,Computer Network/Information Services,CASH BOX
,,,,,51.11,CAD,51.11,CAD,,,,,,,
TORONTO WATER,5746-138,2021-03-04,2021-03-04,ENVIRONMENTAL RESOURCE,"1,705.10",CAD,"1,310.00",USD,2499,OTHER CHEMICALS,TW5030,E&A: TW LABORATORIES,5169,Chemicals and Allied Products Not Elsewh,ACCREDIATION SAMPLES FOR LABORATORY LICENCE
,,,,,"1,705.10",CAD,"1,310.00",USD,,,,,,,
ECONOMIC DEVELOPMENT & CULTURE,5745-119,2021-03-03,2021-03-03,AMAZON WEB SERVICES,245.00,CAD,188.23,USD,4995,OTHER EXPENSES,SE0009,AC CE SPECIAL PROJECTS,7399,Business Services - Not Elsewhere Classi,SERVICES FOR NEW ARTWORX TO WEBSITE
,,,,,245.00,CAD,188.23,USD,,,,,,,
ECONOMIC DEVELOPMENT & CULTURE,5749-159,2021-03-06,2021-03-08,ONTARIO ASSOCIATION OF,224.98,CAD,224.98,CAD,4760,MEMBERSHIP FEES,ED0133,BGS BIA  BUSINESS IMPROVEMENT AREAS,8398,"Organizations, Charitable and Social Ser",MEMBERSHIP 
ECONOMIC DEVELOPMENT & CULTURE,5765-88,2021-03-29,2021-03-30,IDA DOWNTOW,"1,559.25",CAD,"1,205.00",USD,4760,MEMBERSHIP FEES,ED0133,BGS BIA  BUSINESS IMPROVEMENT AREAS,8641,"Associations - Civic, Social, and Frater",MEMBERSHIP
,,,,,"1,784.23",CAD,224.98,CAD,,,,,,,
,,,,,,,"1,205.00",USD,,,,,,,
"PARKS, FORESTRY & RECREATION",5759-220,2021-03-21,2021-03-22,DOLLAR TREE #40144,35.60,CAD,35.60,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P07872,AGINCOURT RC-SOCIAL PRGM,5331,Variety Stores,"SPRAY BOTTLES, PRESCHOOL DECOR SHEETS, LETTERS, BORDERS"
"PARKS, FORESTRY & RECREATION",5760-109,2021-03-23,2021-03-23,AMZN MKTP CA QJ7OS00I3,107.47,CAD,107.47,CAD,2010,STATIONERY AND OFFICE SUPPLIES,P07686,AGINCOURT-PRGM SUPPORT,4816,Computer Network/Information Services,"COMMAND STRIPS, HOLDERS"
"PARKS, FORESTRY & RECREATION",5761-126,2021-03-24,2021-03-24,AMZN MKTP CA UY3YE7SN3,190.92,CAD,190.92,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P07686,AGINCOURT-PRGM SUPPORT,4816,Computer Network/Information Services,ARTIST TRIPOD EASEL'S
"PARKS, FORESTRY & RECREATION",5761-127,2021-03-24,2021-03-24,AMAZON.CA S25OJ2GD3,29.36,CAD,29.36,CAD,2010,STATIONERY AND OFFICE SUPPLIES,P07686,AGINCOURT-PRGM SUPPORT,4816,Computer Network/Information Services,STAND UP SIGN HOLDERS
"PARKS, FORESTRY & RECREATION",5761-128,2021-03-23,2021-03-24,DOLLAR TREE #40214,202.55,CAD,202.55,CAD,2010,STATIONERY AND OFFICE SUPPLIES,P07686,AGINCOURT-PRGM SUPPORT,5331,Variety Stores,"BASKETS, BULLETIN BOARD BORDERS, VELCRO, SPRAY BOTTLES"
"PARKS, FORESTRY & RECREATION",5763-112,2021-03-25,2021-03-26,DOLLARAMA # 814,52.83,CAD,52.83,CAD,2010,STATIONERY AND OFFICE SUPPLIES,P07686,AGINCOURT-PRGM SUPPORT,5310,Discount Stores,"SWIMMING NOODLE, STORAGE BOXES, PAPER TRIMMER, PLASTIC CUP"
"PARKS, FORESTRY & RECREATION",5764-198,2021-03-27,2021-03-29,COSTCO WHOLESALE W535,40.66,CAD,40.66,CAD,2010,STATIONERY AND OFFICE SUPPLIES,P07691,MALVERN-PRGM SUPPORT,5300,Wholesale Clubs,HANGING GOOKS COMMAND STRIPS
