Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order #	Cost Centre / WBS Element / Order # Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	3265-175	2014-11-25	2014-11-27	THE HOME DEPOT #7078	134.73	CAD	134.73	CAD	2535	PLUMBING SUPPLIES	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	**MORE**  1/2X6 TUSPI	
					"1,471.48"	CAD	"1,471.48"	CAD								
"PARKS, FORESTRY & RECREATION"	3248-166	2014-11-13	2014-11-14	KOOY BROS LAWN	55.63	CAD	55.63	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5261	Lawn and Garden Supply Stores	CHAINSAW CHAIN	
"PARKS, FORESTRY & RECREATION"	3253-177	2014-11-17	2014-11-19	THE HOME DEPOT #7078	70.26	CAD	70.26	CAD	2710	GENERAL HARDWARE	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5200	Home Supply Warehouse	**MORE**  3/16 RIVET	
"PARKS, FORESTRY & RECREATION"	3265-176	2014-11-25	2014-11-27	TERRAFIX GEOSYNTHETICS	372.50	CAD	372.50	CAD	2545	PLASTICS & RUBBER SUPPLIES	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5085	Industrial Supplies Not Elsewhere Classi	PLASTIC FENCING	
					498.39	CAD	498.39	CAD								
TRANSPORTATION SERVICES 	3240-157	2014-11-06	2014-11-07	LOCKSMITH    SAFEMAN	204.76	CAD	204.76	CAD	2552	BRIDGE MATERIALS	TP0124	"ROADWAY BRIDGE MAINTENANCE-D1,A1"	7393	"Detective Agencies, Protective Agencies,"	HIGHWAY LOCKS	
TRANSPORTATION SERVICES 	3250-246	2014-11-14	2014-11-17	RONA # 55140	17.16	CAD	17.16	CAD	2552	BRIDGE MATERIALS	TP0124	"ROADWAY BRIDGE MAINTENANCE-D1,A1"	5251	Hardware Stores	CONCRETE SCREWS AND ANCHORS	
TRANSPORTATION SERVICES 	3260-247	2014-11-20	2014-11-24	THE HOME DEPOT #7012	72.07	CAD	72.07	CAD	2552	BRIDGE MATERIALS	TP0124	"ROADWAY BRIDGE MAINTENANCE-D1,A1"	5200	Home Supply Warehouse	**MORE**  AVIATION SNI	
TRANSPORTATION SERVICES 	3265-177	2014-11-26	2014-11-27	ACKLANDS-GRAINGER INC	671.08	CAD	671.08	CAD	2552	BRIDGE MATERIALS	TP0124	"ROADWAY BRIDGE MAINTENANCE-D1,A1"	5085	Industrial Supplies Not Elsewhere Classi	WELDING MASK/HELMET	
					965.07	CAD	965.07	CAD								
"PARKS, FORESTRY & RECREATION"	3228-222	2014-10-31	2014-11-03	NOFRILLS VITO'S #3936	95.98	CAD	95.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P09716	NORTHWOODS-INSTRL	5411	"Grocery Stores, Supermarkets"	"CHEDDAR, BUTTER, BACON, LEAN GRND BEEF"	
"PARKS, FORESTRY & RECREATION"	3242-199	2014-11-07	2014-11-10	PRICE CHOPPER 7984QPS	110.67	CAD	110.67	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P09716	NORTHWOODS-INSTRL	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3246-107	2014-11-12	2014-11-13	NOFRILLS VITO'S #3936	1.97	CAD	1.97	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P09716	NORTHWOODS-INSTRL	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3246-108	2014-11-12	2014-11-13	NOFRILLS VITO'S #3936	71.04	CAD	71.04	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P09716	NORTHWOODS-INSTRL	5411	"Grocery Stores, Supermarkets"	GIRLS CLUB- FOOD SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3253-178	2014-11-17	2014-11-19	METRO #401	63.02	CAD	63.02	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P09716	NORTHWOODS-INSTRL	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3256-169	2014-11-19	2014-11-20	NOFRILLS VITO'S #3936	30.91	CAD	30.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P09716	NORTHWOODS-INSTRL	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3257-156	2014-11-20	2014-11-21	STAPLES STORE #15	54.13	CAD	54.13	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P09716	NORTHWOODS-INSTRL	5943	"Office, School Supply, and Stationery St"	OFFICE SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3269-144	2014-11-27	2014-11-28	STAPLES STORE #15	81.16	CAD	81.16	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P09716	NORTHWOODS-INSTRL	5943	"Office, School Supply, and Stationery St"	OFFICE SUPPLIES	
					508.88	CAD	508.88	CAD								
"PARKS, FORESTRY & RECREATION"	3228-223	2014-10-31	2014-11-03	THE HOME DEPOT #7080	175.40	CAD	175.40	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	**MORE**  PL PRM 825ML	
"PARKS, FORESTRY & RECREATION"	3229-65	2014-11-03	2014-11-04	PARLIAMENT BUILDING SU	34.89	CAD	34.89	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5211	"Building Materials, Lumber Stores"	WALL ANCHORS	
"PARKS, FORESTRY & RECREATION"	3237-151	2014-11-04	2014-11-06	THE HOME DEPOT #7080	8.41	CAD	8.41	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	**MORE**  MONO ULTRA	
"PARKS, FORESTRY & RECREATION"	3252-104	2014-11-17	2014-11-18	ROMA FENCE LTD	198.48	CAD	198.48	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5211	"Building Materials, Lumber Stores"	ALUM. TIES & WIRE	
"PARKS, FORESTRY & RECREATION"	3269-145	2014-11-27	2014-11-28	PARLIAMENT BUILDING SU	180.57	CAD	180.57	CAD	2775	ASPHALT	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5211	"Building Materials, Lumber Stores"	ASPHALT COLD PATCH	
					597.75	CAD	597.75	CAD								
"PARKS, FORESTRY & RECREATION"	3265-178	2014-11-26	2014-11-27	PARLIAMENT BUILDING SU	58.35	CAD	58.35	CAD	2780	CONCRETE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5211	"Building Materials, Lumber Stores"	PORTLAND CEMENT	
"PARKS, FORESTRY & RECREATION"	3265-179	2014-11-26	2014-11-27	MARK'S WORK WEARHOUSE	70.02	CAD	70.02	CAD	2665	PROTECTIVE CLOTHING	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5691	Men's and Women's Clothing Stores	ULTRA GRIP GLOVES	
					128.37	CAD	128.37	CAD								
"PARKS, FORESTRY & RECREATION"	3240-158	2014-11-05	2014-11-07	BRAFASCO / ETOBICOKE	55.40	CAD	55.40	CAD	2532	STEEL	P00890	KIPLING YD-FLEET EQUIP	5085	Industrial Supplies Not Elsewhere Classi	RODS	
"PARKS, FORESTRY & RECREATION"	3253-179	2014-11-17	2014-11-19	MR METAL(ETOBICOKE) IN	29.38	CAD	29.38	CAD	2532	STEEL	P00890	KIPLING YD-FLEET EQUIP	5051	Metal Service Centers and Offices	PERF SHEET METAL	
"PARKS, FORESTRY & RECREATION"	3253-180	2014-11-17	2014-11-19	NOBLE 1003	24.11	CAD	24.11	CAD	2532	STEEL	P00673	W-SOUTH2-PRGM SUPPORT	5251	Hardware Stores	METAL	
"PARKS, FORESTRY & RECREATION"	3256-170	2014-11-18	2014-11-20	LINDE CANADA  ETOBICOK	108.90	CAD	108.90	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00890	KIPLING YD-FLEET EQUIP	5072	Hardware Equipment and Supplies	WIRE	
"PARKS, FORESTRY & RECREATION"	3256-171	2014-11-18	2014-11-20	LINDE CANADA  ETOBICOK	215.35	CAD	215.35	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00890	KIPLING YD-FLEET EQUIP	5072	Hardware Equipment and Supplies	"FLINT, NOZZLE, LIGHTER"	
"PARKS, FORESTRY & RECREATION"	3265-180	2014-11-26	2014-11-27	NCH-PARTSMASTER	176.03	CAD	176.03	CAD	2665	PROTECTIVE CLOTHING	P00890	KIPLING YD-FLEET EQUIP	5085	Industrial Supplies Not Elsewhere Classi	"WELDERS HELMET, CLAMPS"	
"PARKS, FORESTRY & RECREATION"	3269-146	2014-11-26	2014-11-28	MR METAL(ETOBICOKE) IN	69.35	CAD	69.35	CAD	2532	STEEL	P00673	W-SOUTH2-PRGM SUPPORT	5051	Metal Service Centers and Offices	HR FLAT	
"PARKS, FORESTRY & RECREATION"	3269-147	2014-11-26	2014-11-28	MR METAL(ETOBICOKE) IN	17.70	CAD	17.70	CAD	2532	STEEL	P00890	KIPLING YD-FLEET EQUIP	5051	Metal Service Centers and Offices	SS ROUND	
					696.22	CAD	696.22	CAD								
"PARKS, FORESTRY & RECREATION"	3257-157	2014-11-19	2014-11-21	SHOPPERSDRUGMART1287	22.59	CAD	22.59	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12158	DIEPPE COMP MULTIPURP CTRS-PRGM SUP	5912	"Drug Stores, Pharmacies"	BATTERIES FOR RINK THERMOSTAT	
"PARKS, FORESTRY & RECREATION"	3260-248	2014-11-21	2014-11-24	YOUR DOLLAR STORE WITH	6.78	CAD	6.78	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06286	EARL BEATTY-ARTS-VISL/PERF	5999	Miscellaneous and Specialty Retail Store	INK BLOTTERS FOR PROGRAM CRAFT	
					29.37	CAD	29.37	CAD								
"PARKS, FORESTRY & RECREATION"	3228-224	2014-10-31	2014-11-03	LOWES #02633*	35.02	CAD	35.02	CAD	2710	GENERAL HARDWARE	P00833	TECH SERV. 3-PARKS CONSTRUCTION	5200	Home Supply Warehouse	BRINKS 50MM COMMERCIAL LAM STEEL	
"PARKS, FORESTRY & RECREATION"	3228-225	2014-10-31	2014-11-03	PRINCESS AUTO #36	60.79	CAD	60.79	CAD	2710	GENERAL HARDWARE	P00833	TECH SERV. 3-PARKS CONSTRUCTION	5085	Industrial Supplies Not Elsewhere Classi	HARDWARE	
"PARKS, FORESTRY & RECREATION"	3236-138	2014-11-03	2014-11-05	THE HOME DEPOT #7027	34.92	CAD	34.92	CAD	2710	GENERAL HARDWARE	P00833	TECH SERV. 3-PARKS CONSTRUCTION	5200	Home Supply Warehouse	**MORE**  2PC BROOM CL	
"PARKS, FORESTRY & RECREATION"	3237-152	2014-11-05	2014-11-06	CONSTRUCTION DISTRIBUT	53.05	CAD	53.05	CAD	2710	GENERAL HARDWARE	P00263	E-CENTRAL1-TURF&HORT	5039	Construction Materials Not Elsewhere Cla	"MIX PADDLE 18"" SHAFT, SIKASET"	
"PARKS, FORESTRY & RECREATION"	3240-159	2014-11-05	2014-11-07	THE HOME DEPOT #7001	39.47	CAD	39.47	CAD	2710	GENERAL HARDWARE	P00833	TECH SERV. 3-PARKS CONSTRUCTION	5200	Home Supply Warehouse	**MORE**  GB-SELF-SEAL	
"PARKS, FORESTRY & RECREATION"	3240-160	2014-11-05	2014-11-07	THE HOME DEPOT #7001	31.05	CAD	31.05	CAD	2710	GENERAL HARDWARE	P00833	TECH SERV. 3-PARKS CONSTRUCTION	5200	Home Supply Warehouse	PAP 3/16X2-1	
"PARKS, FORESTRY & RECREATION"	3242-200	2014-11-07	2014-11-10	LOWES #02633*	27.46	CAD	27.46	CAD	2531	LUMBER	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	4 X 4 X 10 BROWN PT	
"PARKS, FORESTRY & RECREATION"	3242-201	2014-11-07	2014-11-10	LOWES #02633*	11.53	CAD	11.53	CAD	2531	LUMBER	P00833	TECH SERV. 3-PARKS CONSTRUCTION	5200	Home Supply Warehouse	2X4X8 TOP CHOICE TREATED LBR	
"PARKS, FORESTRY & RECREATION"	3243-125	2014-11-10	2014-11-12	PRINCESS AUTO #36	39.52	CAD	39.52	CAD	2710	GENERAL HARDWARE	P00833	TECH SERV. 3-PARKS CONSTRUCTION	5085	Industrial Supplies Not Elsewhere Classi	STORAGE	
"PARKS, FORESTRY & RECREATION"	3248-167	2014-11-12	2014-11-14	NAPA SCARBOROUGH #136	169.49	CAD	169.49	CAD	2199	MISCELLANEOUS PARTS	P00833	TECH SERV. 3-PARKS CONSTRUCTION	5533	"Automotive Parts, Accessories Stores"	100W MODIFIED SINE	
"PARKS, FORESTRY & RECREATION"	3256-172	2014-11-18	2014-11-20	BRAFASCO / SCARBOROUGH	81.31	CAD	81.31	CAD	*****	PROTECTIVE CLOTHING	P00833	TECH SERV. 3-PARKS CONSTRUCTION	5085	Industrial Supplies Not Elsewhere Classi	**MORE**  LOUVERED PANEL RACK	
"PARKS, FORESTRY & RECREATION"	3260-249	2014-11-21	2014-11-24	PRINCESS AUTO #36	33.88	CAD	33.88	CAD	2710	GENERAL HARDWARE	P00833	TECH SERV. 3-PARKS CONSTRUCTION	5085	Industrial Supplies Not Elsewhere Classi	STRAP RATCHET	
"PARKS, FORESTRY & RECREATION"	3262-92	2014-11-24	2014-11-25	LOWES #02494*	20.88	CAD	20.88	CAD	2710	GENERAL HARDWARE	P00833	TECH SERV. 3-PARKS CONSTRUCTION	5200	Home Supply Warehouse	"48"" VARNISHED ASH SHOVEL HANDLE"	
"PARKS, FORESTRY & RECREATION"	3264-144	2014-11-25	2014-11-26	CHAUNCEY BUILDERS SUPP	373.47	CAD	373.47	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00833	TECH SERV. 3-PARKS CONSTRUCTION	5211	"Building Materials, Lumber Stores"	"PRIME PRY TAMPER BAR, CONCRETE PATCH"	
					"1,011.84"	CAD	"1,011.84"	CAD								
"PARKS, FORESTRY & RECREATION"	3240-161	2014-11-06	2014-11-07	PAUL WOLF ELECTRIC   L	54.24	CAD	54.24	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	23 WATT T2	
"PARKS, FORESTRY & RECREATION"	3240-162	2014-11-06	2014-11-07	PAUL WOLF ELECTRIC   L	440.70	CAD	440.70	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	8 WATT PAR 20	
"PARKS, FORESTRY & RECREATION"	3242-202	2014-11-06	2014-11-10	THE HOME DEPOT #7013	69.83	CAD	69.83	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5200	Home Supply Warehouse	LEV SOCKET 2	
"PARKS, FORESTRY & RECREATION"	3242-203	2014-11-07	2014-11-10	THE HOME DEPOT #7013	20.95	CAD	20.95	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5200	Home Supply Warehouse	LEV SOCKET 2	
"PARKS, FORESTRY & RECREATION"	3243-126	2014-11-07	2014-11-12	SPEED FASTENING SYSTEM	19.02	CAD	19.02	CAD	2710	GENERAL HARDWARE	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5712	"Equipment, Furniture, and Home Furnishin"	MACHINE BOLT BIT DRIVER	
					604.74	CAD	604.74	CAD								
"PARKS, FORESTRY & RECREATION"	3237-153	2014-11-04	2014-11-06	THE HOME DEPOT #7129	62.13	CAD	62.13	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07647	HUMBER VALLEY-OPERATIONS	5200	Home Supply Warehouse	20X30 TARP	
					62.13	CAD	62.13	CAD								
"PARKS, FORESTRY & RECREATION"	3229-66	2014-11-03	2014-11-04	METAL SUPERMARKETS (SC	49.61	CAD	49.61	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00263	E-CENTRAL1-TURF&HORT	5051	Metal Service Centers and Offices	REBAR	
"PARKS, FORESTRY & RECREATION"	3236-139	2014-11-03	2014-11-05	THE HOME DEPOT #7001	92.56	CAD	92.56	CAD	2531	LUMBER	P00263	E-CENTRAL1-TURF&HORT	5200	Home Supply Warehouse	**MORE**  SAFE GLASS	
"PARKS, FORESTRY & RECREATION"	3240-163	2014-11-05	2014-11-07	NU FAIR GREEN SOD FARM	20.34	CAD	20.34	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00263	E-CENTRAL1-TURF&HORT	5261	Lawn and Garden Supply Stores	SOD 10 ROLLS	
"PARKS, FORESTRY & RECREATION"	3242-204	2014-11-07	2014-11-10	INTERLINE WHOLESALE HA	146.88	CAD	146.88	CAD	2710	GENERAL HARDWARE	P00833	TECH SERV. 3-PARKS CONSTRUCTION	5072	Hardware Equipment and Supplies	BLADES	
"PARKS, FORESTRY & RECREATION"	3252-105	2014-11-17	2014-11-18	INTERLINE WHOLESALE HA	117.09	CAD	117.09	CAD	2665	PROTECTIVE CLOTHING	P00833	TECH SERV. 3-PARKS CONSTRUCTION	5072	Hardware Equipment and Supplies	MASKS & RESPIRATOR CARTRIDGE	
"PARKS, FORESTRY & RECREATION"	3256-173	2014-11-18	2014-11-20	INTERLINE WHOLESALE HA	78.55	CAD	78.55	CAD	2710	GENERAL HARDWARE	P00833	TECH SERV. 3-PARKS CONSTRUCTION	5072	Hardware Equipment and Supplies	GARANT HD40	
					505.03	CAD	505.03	CAD								
"PARKS, FORESTRY & RECREATION"	3248-168	2014-11-13	2014-11-14	RICHARD LUTES CEDAR PO	971.80	CAD	971.80	CAD	2531	LUMBER	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5211	"Building Materials, Lumber Stores"	CEDAR POSTS	
"PARKS, FORESTRY & RECREATION"	3250-247	2014-11-14	2014-11-17	THE HOME DEPOT #7080	90.37	CAD	90.37	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	**MORE**  4-1/2 BLADE	
					"1,062.17"	CAD	"1,062.17"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3236-140	2014-11-04	2014-11-05	TUCKERS POTTERY SUPPLI	967.73	CAD	967.73	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	5970	"Artist Supply Stores, Craft Shops"	CLAY FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	3242-205	2014-11-07	2014-11-10	ABOVEGROUND ENTERPRISE	706.35	CAD	706.35	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	7333	"Commercial Art, Graphics, Photography"	"BRUSHES, MIRAL PAPER, TEMPERA BLOCKS"	
ECONOMIC DEVELOPMENT & CULTURE	3243-127	2014-11-10	2014-11-12	TUCKERS POTTERY SUPPLI	411.89	CAD	411.89	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	5970	"Artist Supply Stores, Craft Shops"	KILN PARTS AND REPAIRS	
ECONOMIC DEVELOPMENT & CULTURE	3250-248	2014-11-13	2014-11-17	METRO #808	9.03	CAD	9.03	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	5411	"Grocery Stores, Supermarkets"	"APPLES, CUCUMBERS, MUSHROOMS"	
ECONOMIC DEVELOPMENT & CULTURE	3250-249	2014-11-14	2014-11-17	ABOVEGROUND ENTERPRISE	81.00	CAD	81.00	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	7333	"Commercial Art, Graphics, Photography"	"BRISTOL BOARD, KRAFT PAPER ROLLS"	
ECONOMIC DEVELOPMENT & CULTURE	3257-158	2014-11-19	2014-11-21	CDN TIRE STORE #00175	108.46	CAD	108.46	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	5200	Home Supply Warehouse	CERAMIC SPACE HEATERS	
					"2,284.46"	CAD	"2,284.46"	CAD								
"PARKS, FORESTRY & RECREATION"	3242-206	2014-11-07	2014-11-10	SALOMON CANADA SPORTS	35.60	CAD	35.60	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P10913	NY SKI CENTRE-SKI RENTALS	5941	Sporting Goods Stores	SKI BINDING KIT	
"PARKS, FORESTRY & RECREATION"	3264-145	2014-11-25	2014-11-26	MONTANA SPORTS NORTH	510.11	CAD	441.88	USD	2499	OTHER CHEMICALS	P10913	NY SKI CENTRE-SKI RENTALS	5300	Wholesale Clubs	BOOT SPRAY	
"PARKS, FORESTRY & RECREATION"	3264-146	2014-11-25	2014-11-26	CARLETON RESCUE EQUIPM	215.27	CAD	215.27	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10908	NY SKI CENTRE-OPERATIONS	5399	Miscellaneous General Merchandise	LIFT EVACUATION TEE	
"PARKS, FORESTRY & RECREATION"	3269-148	2014-11-27	2014-11-28	FIRST AID DIRECT	234.48	CAD	234.48	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P10908	NY SKI CENTRE-OPERATIONS	5047	Laboratory/Medical/Dental/Ophthalmic Hos	SKI PATROL FIRST AID	
"PARKS, FORESTRY & RECREATION"	3269-149	2014-11-27	2014-11-28	BED BATH   BEYOND #200	169.47	CAD	169.47	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10913	NY SKI CENTRE-SKI RENTALS	5200	Home Supply Warehouse	SCALES	
					"1,164.93"	CAD	654.82	CAD								
							441.88	USD								
"PARKS, FORESTRY & RECREATION"	3236-141	2014-11-04	2014-11-05	OMNIFLEX HOSE   EQUIPM	56.16	CAD	56.16	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07648	SCARLETT WOODS-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	COMPRESSOR COUPLINGS	
"PARKS, FORESTRY & RECREATION"	3250-250	2014-11-10	2014-11-17	JJ DOWNS INDUSTRIAL	33.90	CAD	33.90	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P07648	SCARLETT WOODS-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	REPAIR TO PLASTIC TANK	
"PARKS, FORESTRY & RECREATION"	3250-251	2014-11-13	2014-11-17	NAPA ETOBICOKE #755	17.93	CAD	17.93	CAD	2710	GENERAL HARDWARE	P07648	SCARLETT WOODS-OPERATIONS	5533	"Automotive Parts, Accessories Stores"	WRENCH	
"PARKS, FORESTRY & RECREATION"	3256-174	2014-11-19	2014-11-20	PRINCESS AUTO	129.87	CAD	129.87	CAD	2710	GENERAL HARDWARE	P07648	SCARLETT WOODS-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	SHOP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3262-93	2014-11-21	2014-11-25	CDN TIRE STORE #00182	262.68	CAD	262.68	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07648	SCARLETT WOODS-OPERATIONS	5200	Home Supply Warehouse	COMPRESSOR HOSE	
					500.54	CAD	500.54	CAD								
"PARKS, FORESTRY & RECREATION"	3228-226	2014-10-30	2014-11-03	METRO #712	23.72	CAD	23.72	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05967	ANCASTER-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	HALLOWEEN SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3248-169	2014-11-13	2014-11-14	TUCKERS POTTERY SUPPLI	21.92	CAD	21.92	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08039	EDITHVALE CC-ARTS-VISL/PERF	5970	"Artist Supply Stores, Craft Shops"	GLAZE	
"PARKS, FORESTRY & RECREATION"	3248-170	2014-11-13	2014-11-14	RIPLEYS AQUARIUM	489.53	CAD	489.53	CAD	4118	TICKETS AND ADMISSION FEES	P13340	SPECIAL EVENTS - EDITHVALE CC	7998	"Aquariums, Dolphinariums, Seaquariums"	TRIP TO THE AQUARIUM	
"PARKS, FORESTRY & RECREATION"	3253-181	2014-11-17	2014-11-19	CDN TIRE STORE #00160	203.06	CAD	203.06	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10309	EDITHVALE CC-PRGM SUPPORT	5200	Home Supply Warehouse	BOOT TRAYS	
"PARKS, FORESTRY & RECREATION"	3260-250	2014-11-20	2014-11-24	WAL-MART # 3113	29.31	CAD	29.31	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P09699	EDITHVALE CC-INSTRL	5310	Discount Stores	STOP WATCHES	
"PARKS, FORESTRY & RECREATION"	3265-181	2014-11-26	2014-11-27	NOFRILLS CARLO'S #3925	44.39	CAD	44.39	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08165	EDITHVALE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3269-150	2014-11-26	2014-11-28	CDN TIRE STORE #00126	40.61	CAD	40.61	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08039	EDITHVALE CC-ARTS-VISL/PERF	5200	Home Supply Warehouse	CONTACT LINER	
					852.54	CAD	852.54	CAD								
"PARKS, FORESTRY & RECREATION"	3256-175	2014-11-18	2014-11-20	CDN TIRE STORE #00070	94.00	CAD	94.00	CAD	2710	GENERAL HARDWARE	P02798	ALBION POOL-INSTRL-INDR	5200	Home Supply Warehouse	"STORAGE CONTAINER, BASKETS"	
					94.00	CAD	94.00	CAD								
TORONTO WATER	3228-227	2014-10-31	2014-11-03	STAPLES STORE #1	5.71	CAD	5.71	CAD	2010	STATIONERY AND OFFICE SUPPLIES	TW2045	DIST OPS: OPERATION & MTCE - CENTRAL	5943	"Office, School Supply, and Stationery St"	PROJECT POPPERZ	
					5.71	CAD	5.71	CAD								
"PARKS, FORESTRY & RECREATION"	3236-142	2014-11-03	2014-11-05	THE HOME DEPOT #7080	178.96	CAD	178.96	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	**MORE**  HB-5B BLADES	
"PARKS, FORESTRY & RECREATION"	3240-164	2014-11-05	2014-11-07	THE HOME DEPOT #7080	84.34	CAD	84.34	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	**MORE**  PLUG-TITE 5K	
"PARKS, FORESTRY & RECREATION"	3242-207	2014-11-06	2014-11-10	THE HOME DEPOT #7080	106.67	CAD	106.67	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	**MORE**  SIKAFIX	
