Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Centre / WBS Element / Order #	Cost Centre / WBS Element / Order # Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	2936-183	2014-03-28	2014-03-31	REMENYI HOUSE OF MUSIC	65.69	CAD	65.69	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P06753	MAIN SQ CC-PRGM SUPPORT	5733	"Music Stores - Musical Instruments, Pian"	MUSIC BOOKS	
					216.69	CAD	216.69	CAD								
FIRE SERVICES	2912-109	2014-03-07	2014-03-11	SHELL	135.03	CAD	135.03	CAD	2280	DIESEL - CLEAR	FR0046	HUSAR-FIRE	5541	Service Stations (with or without Ancill	DIESEL FUEL	
					135.03	CAD	135.03	CAD								
"PARKS, FORESTRY & RECREATION"	2905-142	2014-03-04	2014-03-05	BEACHES ANIMAL HOSPITA	218.32	CAD	218.32	CAD	4087	PROFESSIONAL SERVICES -VETERINARIAN FEES	P13448	WATERFOWL MANAGEMENT PROGRAM - TEY	0742	Veterinary Services	VET SERVICES	
"PARKS, FORESTRY & RECREATION"	2907-138	2014-03-05	2014-03-06	ROSENBERG CHIROPRACTIC	69.00	CAD	69.00	CAD	4087	PROFESSIONAL SERVICES -VETERINARIAN FEES	P13448	WATERFOWL MANAGEMENT PROGRAM - TEY	8041	Chiropractors	ANIMAL CHIROPRACTOR SERVICES	
"PARKS, FORESTRY & RECREATION"	2910-229	2014-03-07	2014-03-10	MICHAELS #3942	243.18	CAD	243.18	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P01058	RIVERDALE FARM-ANIMAL DISPLAY	5945	"Game, Toy, and Hobby Shops"	FRAMES FOR PHOTOS	
"PARKS, FORESTRY & RECREATION"	2910-230	2014-03-07	2014-03-10	PET VALU # 2079	225.99	CAD	225.99	CAD	2620	ANIMAL CARE SUPPLIES	P13448	WATERFOWL MANAGEMENT PROGRAM - TEY	5995	Pet Shops - Pet Food and Supplies	ANIMAL SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2917-134	2014-03-13	2014-03-14	BEACHES ANIMAL HOSPITA	66.29	CAD	66.29	CAD	4087	PROFESSIONAL SERVICES -VETERINARIAN FEES	P13448	WATERFOWL MANAGEMENT PROGRAM - TEY	0742	Veterinary Services	VET SERVICES-PRESCRIPTION REFILL	
"PARKS, FORESTRY & RECREATION"	2924-111	2014-03-19	2014-03-20	PET VALU #2096	44.04	CAD	44.04	CAD	2620	ANIMAL CARE SUPPLIES	P13448	WATERFOWL MANAGEMENT PROGRAM - TEY	5995	Pet Shops - Pet Food and Supplies	ANIMAL SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2925-128	2014-03-20	2014-03-21	PET VALU #2339	63.28	CAD	63.28	CAD	2620	ANIMAL CARE SUPPLIES	P13448	WATERFOWL MANAGEMENT PROGRAM - TEY	5995	Pet Shops - Pet Food and Supplies	ANIMAL SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2936-184	2014-03-28	2014-03-31	PET VALU # 2079	218.06	CAD	218.06	CAD	2620	ANIMAL CARE SUPPLIES	P13448	WATERFOWL MANAGEMENT PROGRAM - TEY	5995	Pet Shops - Pet Food and Supplies	ANIMAL SUPPLIES	
					"1,148.16"	CAD	"1,148.16"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2936-185	2014-03-30	2014-03-31	LOBLAWS #1066	65.86	CAD	65.86	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0011	AS-PS-COMMUNITY DEV-ETOBCC	5411	"Grocery Stores, Supermarkets"	"SANDWICHES, FRUIT, VEGGIE TRAY, JUICE"	
					65.86	CAD	65.86	CAD								
FLEET SERVICES	2900-180	2014-02-27	2014-03-03	SERVICEONTARIO - 034	23.00	CAD	23.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT PLATE	
FLEET SERVICES	2901-80	2014-02-28	2014-03-04	SERVICEONTARIO - 034	430.00	CAD	430.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	2901-81	2014-02-28	2014-03-04	SERVICEONTARIO - 034	601.00	CAD	601.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	2901-82	2014-02-28	2014-03-04	SERVICEONTARIO - 034	601.00	CAD	601.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	2901-83	2014-02-28	2014-03-04	SERVICEONTARIO - 034	688.00	CAD	688.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	2901-84	2014-02-28	2014-03-04	SERVICEONTARIO - 034	"1,060.00"	CAD	"1,060.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	2901-85	2014-02-28	2014-03-04	SERVICEONTARIO - 034	197.00	CAD	197.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	2901-86	2014-02-28	2014-03-04	SERVICEONTARIO - 034	26.00	CAD	26.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT PLATE	
FLEET SERVICES	2905-143	2014-03-03	2014-03-05	SERVICEONTARIO - 034	197.00	CAD	197.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	2905-144	2014-03-03	2014-03-05	SERVICEONTARIO - 034	23.00	CAD	23.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT PLATE	
FLEET SERVICES	2905-145	2014-03-03	2014-03-05	SERVICEONTARIO - 034	23.00	CAD	23.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT PLATE	
FLEET SERVICES	2908-117	2014-03-05	2014-03-07	SERVICEONTARIO - 034	69.00	CAD	69.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT PLATES	
FLEET SERVICES	2912-110	2014-03-07	2014-03-11	SERVICEONTARIO - 034	197.00	CAD	197.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	2912-111	2014-03-07	2014-03-11	SERVICEONTARIO - 034	46.00	CAD	46.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT PLATES	
FLEET SERVICES	2916-152	2014-03-11	2014-03-13	SERVICEONTARIO - 034	23.00	CAD	23.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT PLATE	
FLEET SERVICES	2916-153	2014-03-11	2014-03-13	SERVICEONTARIO - 034	23.00	CAD	23.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT PLATE	
FLEET SERVICES	2918-188	2014-03-13	2014-03-17	SERVICEONTARIO - 034	476.00	CAD	476.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	2922-103	2014-03-17	2014-03-19	SERVICEONTARIO - 034	"1,167.00"	CAD	"1,167.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	2922-104	2014-03-17	2014-03-19	SERVICEONTARIO - 034	7.00	CAD	7.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT STICKER	
FLEET SERVICES	2924-112	2014-03-18	2014-03-20	SERVICEONTARIO - 034	73.60	CAD	73.60	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT PLATES AND FINES	
FLEET SERVICES	2927-172	2014-03-19	2014-03-24	SERVICEONTARIO - 034	679.00	CAD	679.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	2927-173	2014-03-20	2014-03-24	SERVICEONTARIO - 034	23.00	CAD	23.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT PLATE	
FLEET SERVICES	2927-174	2014-03-20	2014-03-24	SERVICEONTARIO - 034	482.75	CAD	482.75	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE FINES	
FLEET SERVICES	2928-69	2014-03-21	2014-03-25	SERVICEONTARIO - 034	7.00	CAD	7.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT STICKER	
FLEET SERVICES	2928-70	2014-03-21	2014-03-25	SERVICEONTARIO - 034	7.00	CAD	7.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT STICKER	
FLEET SERVICES	2928-71	2014-03-21	2014-03-25	SERVICEONTARIO - 034	7.00	CAD	7.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT STICKER	
FLEET SERVICES	2932-128	2014-03-24	2014-03-27	SERVICEONTARIO - 034	932.00	CAD	932.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	2932-129	2014-03-24	2014-03-27	SERVICEONTARIO - 034	42.00	CAD	42.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	2932-130	2014-03-25	2014-03-27	SERVICEONTARIO - 034	251.00	CAD	251.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	"VEHICLE LICENSE RENEWAL,REPLACEMENT PLATE&STICKER"	
FLEET SERVICES	2933-103	2014-03-26	2014-03-28	SERVICEONTARIO - 034	"1,607.00"	CAD	"1,607.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	2936-186	2014-03-27	2014-03-31	SERVICEONTARIO - 034	7.00	CAD	7.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT STICKER	
FLEET SERVICES	2936-187	2014-03-27	2014-03-31	SERVICEONTARIO - 034	23.00	CAD	23.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT PLATE	
FLEET SERVICES	2936-188	2014-03-27	2014-03-31	SERVICEONTARIO - 034	10.00	CAD	10.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT OWNERSHIP	
FLEET SERVICES	2936-189	2014-03-27	2014-03-31	SERVICEONTARIO - 034	781.00	CAD	781.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	2936-190	2014-03-27	2014-03-31	SERVICEONTARIO - 034	102.00	CAD	102.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
					"10,911.35"	CAD	"10,911.35"	CAD								
PUBLIC HEALTH	2901-87	2014-02-28	2014-03-04	WHOLESALE MEDICAL NETW	141.25	CAD	141.25	CAD	2823	MEDICAL SUPPLIES	PH4061	NEEDLE EXCHANGE PROGRM	5047	Laboratory/Medical/Dental/Ophthalmic Hos	MEDICAL SUPPLY	
PUBLIC HEALTH	2901-88	2014-03-03	2014-03-04	TAP PHONG TRADING CO.	73.45	CAD	73.45	CAD	2823	MEDICAL SUPPLIES	PH4061	NEEDLE EXCHANGE PROGRM	5046	Commercial Equipment Not Elsewhere Class	MEDICAL SUPPLY	
PUBLIC HEALTH	2910-231	2014-03-03	2014-03-10	JJ DOWNS INDUSTRIAL	307.54	CAD	307.54	CAD	2823	MEDICAL SUPPLIES	PH4061	NEEDLE EXCHANGE PROGRM	5085	Industrial Supplies Not Elsewhere Classi	MEDICAL SUPPLY	
PUBLIC HEALTH	2933-104	2014-03-26	2014-03-28	WHOLESALE MEDICAL NETW	141.25	CAD	141.25	CAD	2823	MEDICAL SUPPLIES	PH4061	NEEDLE EXCHANGE PROGRM	5047	Laboratory/Medical/Dental/Ophthalmic Hos	MEDICAL SUPPLY	
					663.49	CAD	663.49	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2900-181	2014-02-28	2014-03-03	PAYPAL *INT876	"7,196.27"	CAD	"7,196.27"	CAD	4085	PROF & TECH-MGMT	ED0122	SECTORS DEVELOPMENT-MANAGEMENT	8999	Professional Services - Not Elsewhere Cl	DATABASE SERVICES	
ECONOMIC DEVELOPMENT & CULTURE	2908-118	2014-03-05	2014-03-07	TIDY'S FLOWERS	90.34	CAD	90.34	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	SE0016	TOURISM	5992	Florists	FLOWERS	
ECONOMIC DEVELOPMENT & CULTURE	2924-113	2014-03-18	2014-03-20	DIAMOND TAXI CAB DISPA	9.00	CAD	9.00	CAD	4452	TRANSPORTATION-TAXIS-CLIENTS	SE0016	TOURISM	4121	Limousines and Taxicabs	TAXI FOR BUSINESS MEETING	
ECONOMIC DEVELOPMENT & CULTURE	2925-129	2014-03-18	2014-03-21	CO-OP CABS - A213	9.00	CAD	9.00	CAD	4452	TRANSPORTATION-TAXIS-CLIENTS	SE0016	TOURISM	4121	Limousines and Taxicabs	TAXI FOR BUSINESS MEETING	
					"7,304.61"	CAD	"7,304.61"	CAD								
"PARKS, FORESTRY & RECREATION"	2933-105	2014-03-26	2014-03-28	CDN TIRE STORE #00273	84.34	CAD	84.34	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00271	E-SOUTH1-TURF&HORT	5200	Home Supply Warehouse	CLEANING SUPPLIES	
					84.34	CAD	84.34	CAD								
"PARKS, FORESTRY & RECREATION"	2900-182	2014-02-27	2014-03-03	THE HOME DEPOT #7011	46.88	CAD	46.88	CAD	2570	JANITORIAL SUPPLIES	P06771	MT DENNIS-OPERATIONS	5200	Home Supply Warehouse	**MORE**  BAG OF RAGS	
"PARKS, FORESTRY & RECREATION"	2900-183	2014-02-27	2014-03-03	WAL-MART # 3031	29.64	CAD	29.64	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04940	MT DENNIS CC-HOLIDAY CAMPS	5310	Discount Stores	FOOD ITEMS FOR MARCH BREAK	
"PARKS, FORESTRY & RECREATION"	2910-232	2014-03-06	2014-03-10	HANDS ON EXOTICS INC	378.55	CAD	378.55	CAD	4118	TICKETS AND ADMISSION FEES	P04940	MT DENNIS CC-HOLIDAY CAMPS	5995	Pet Shops - Pet Food and Supplies	CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2913-162	2014-03-10	2014-03-12	WAL-MART # 3740	18.62	CAD	18.62	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04940	MT DENNIS CC-HOLIDAY CAMPS	5411	"Grocery Stores, Supermarkets"	"APPLES, CANOLA SPRAY"	
"PARKS, FORESTRY & RECREATION"	2913-163	2014-03-10	2014-03-12	WAL-MART #1004	84.93	CAD	84.93	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04940	MT DENNIS CC-HOLIDAY CAMPS	5411	"Grocery Stores, Supermarkets"	MARCH BREAK SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2916-154	2014-03-12	2014-03-13	TOYS R US #3506	95.43	CAD	95.43	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06784	MT DENNIS-PRGM SUPPORT	5945	"Game, Toy, and Hobby Shops"	LEGOS	
"PARKS, FORESTRY & RECREATION"	2916-155	2014-03-12	2014-03-13	CINEPLEX  7260     QPS	335.50	CAD	335.50	CAD	4118	TICKETS AND ADMISSION FEES	P04940	MT DENNIS CC-HOLIDAY CAMPS	7832	Motion Picture Theaters	ADMISSION - MARCH BREAK TRIP	
"PARKS, FORESTRY & RECREATION"	2918-189	2014-03-13	2014-03-17	WAL-MART #1004	72.16	CAD	72.16	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04940	MT DENNIS CC-HOLIDAY CAMPS	5411	"Grocery Stores, Supermarkets"	"BOOM BOX, PLATES, NAPKINS"	
"PARKS, FORESTRY & RECREATION"	2927-175	2014-03-20	2014-03-24	CDN TIRE STORE #00654	39.93	CAD	39.93	CAD	2570	JANITORIAL SUPPLIES	P06771	MT DENNIS-OPERATIONS	5200	Home Supply Warehouse	FACILITY SUPPLY	
"PARKS, FORESTRY & RECREATION"	2931-101	2014-03-24	2014-03-26	THE HOME DEPOT #7013	37.23	CAD	37.23	CAD	2575	ELECTRICAL SUPPLIES	P06762	DAVID APPLETON SRS -OPERATIONS	5200	Home Supply Warehouse	32W T8 U	
"PARKS, FORESTRY & RECREATION"	2936-191	2014-03-27	2014-03-31	SAYAL ELECTRONICS (MIS	15.71	CAD	15.71	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10918	EGLINTON FLATS TENNIS-PRGM SUPPORT	5732	Electronic Sales	CABLE TIE GUN METAL	
					"1,154.58"	CAD	"1,154.58"	CAD								
"PARKS, FORESTRY & RECREATION"	2900-184	2014-02-27	2014-03-03	METRO #808	169.65	CAD	169.65	CAD	4820	BUSINESS MEETING EXPENSES	P02062	AFTERSCHOOL REC CARE - ADMINISTRATION	5411	"Grocery Stores, Supermarkets"	"FOOD CO-ORDINATORS MTGS,FRUIT,VEGGIE TRAYS,PIZZA"	
"PARKS, FORESTRY & RECREATION"	2932-131	2014-03-25	2014-03-27	METRO #808	111.82	CAD	111.82	CAD	4820	BUSINESS MEETING EXPENSES	P02062	AFTERSCHOOL REC CARE - ADMINISTRATION	5411	"Grocery Stores, Supermarkets"	FOOD FOR CO-ORDINATORS TRAINING	
"PARKS, FORESTRY & RECREATION"	2932-132	2014-03-25	2014-03-27	METRO #808	78.76	CAD	78.76	CAD	4820	BUSINESS MEETING EXPENSES	P02062	AFTERSCHOOL REC CARE - ADMINISTRATION	5411	"Grocery Stores, Supermarkets"	FOOD FOR CO-ORDINATORS TRAINING	
					360.23	CAD	360.23	CAD								
"PARKS, FORESTRY & RECREATION"	2931-102	2014-03-24	2014-03-26	THE HOME DEPOT #7001	741.28	CAD	741.28	CAD	3050	M & E - KITCHEN	P00267	E-NORTH1-TURF&HORT	5200	Home Supply Warehouse	**MORE**  HTS17DBEWW	
"PARKS, FORESTRY & RECREATION"	2932-133	2014-03-26	2014-03-27	STAPLES STORE #175	183.75	CAD	183.75	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P00267	E-NORTH1-TURF&HORT	5943	"Office, School Supply, and Stationery St"	"PENS, MARKERS, CALENDAR, SHREDDER"	
"PARKS, FORESTRY & RECREATION"	2933-106	2014-03-27	2014-03-28	STAPLES STORE #175	125.69	CAD	125.69	CAD	2650	COMPUTER AND PRINTER SUPPLIES	P00267	E-NORTH1-TURF&HORT	5943	"Office, School Supply, and Stationery St"	"DATA DRIVE, ENVELOPES"	
					"1,050.72"	CAD	"1,050.72"	CAD								
TORONTO WATER	2908-119	2014-03-05	2014-03-07	THE HOME DEPOT #7027	110.08	CAD	110.08	CAD	2715	PAINT SUPPLIES	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	**MORE**  SUREGRP GLUE	
TORONTO WATER	2912-112	2014-03-07	2014-03-11	PARTSOURCE STORE # 749	53.06	CAD	53.06	CAD	2570	JANITORIAL SUPPLIES	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5533	"Automotive Parts, Accessories Stores"	"NITRO GLOVES, FEELER GUAGE"	
TORONTO WATER	2917-135	2014-03-11	2014-03-14	WOLSELEY MECHANICAL	241.58	CAD	241.58	CAD	2535	PLUMBING SUPPLIES	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	1711	"Air Conditioning, Heating, and Plumbing"	1/2 BFP FOR PUMPS	
TORONTO WATER	2920-74	2014-03-16	2014-03-18	CDN TIRE STORE #00273	68.25	CAD	68.25	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	GRINDER DISCS	
TORONTO WATER	2922-105	2014-03-17	2014-03-19	CDN TIRE STORE #00654	49.66	CAD	49.66	CAD	3080	M & E - HAND TOOLS	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	VARIPUS TOOLS	
					522.63	CAD	522.63	CAD								
TORONTO WATER	2920-75	2014-03-17	2014-03-18	STAPLES STORE #15	16.87	CAD	16.87	CAD	2010	STATIONERY AND OFFICE SUPPLIES	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5943	"Office, School Supply, and Stationery St"	FASTENERS AND BINDERS	
TORONTO WATER	2931-103	2014-03-21	2014-03-26	AZTEC ELECTRICAL SUPPL	88.14	CAD	88.14	CAD	2575	ELECTRICAL SUPPLIES	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5065	Electrical Parts and Equipment	CLOSED THERMOSTAT	
TORONTO WATER	2931-104	2014-03-24	2014-03-26	FLUKE ELECTRONIC CND L	113.00	CAD	113.00	CAD	2575	ELECTRICAL SUPPLIES	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5732	Electronic Sales	FUSES	
					218.01	CAD	218.01	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2913-164	2014-03-11	2014-03-12	SOBEYS #718        QPS	31.42	CAD	31.42	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0097	HS-MH-PUBLIC/COMMUNITY-TODMORDEN	5411	"Grocery Stores, Supermarkets"	"FLOUR, BUTTER, EGGS, BAGS"	
ECONOMIC DEVELOPMENT & CULTURE	2916-156	2014-03-11	2014-03-13	DESERRES	66.73	CAD	66.73	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0097	HS-MH-PUBLIC/COMMUNITY-TODMORDEN	5970	"Artist Supply Stores, Craft Shops"	SCISSORS	
					98.15	CAD	98.15	CAD								
PUBLIC HEALTH	2922-106	2014-03-18	2014-03-19	PULSUS GROUP INC.	565.00	CAD	565.00	CAD	4414	ADVERTISING & PROMOTION	PH3039	PRESCHOOL SPEECH & LANGUAGE	5968	Direct Marketing - Continuity/Subscripti	ADVERTISING & PROMOTION	
PUBLIC HEALTH	2924-114	2014-03-18	2014-03-20	PHO-OAHPP	254.25	CAD	254.25	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3039	PRESCHOOL SPEECH & LANGUAGE	9399	Government Services - Not Elsewhere Clas	RECREATIONAL & EDUCATIONAL SUPPLIES	
PUBLIC HEALTH	2925-130	2014-03-19	2014-03-21	VOICE FOR HEARING IMPA	75.00	CAD	75.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3101	INFANT HEARING SCREENING	8398	"Organizations, Charitable and Social Ser"	RECREATIONAL & EDUCATIONAL SUPPLIES	
PUBLIC HEALTH	2925-131	2014-03-19	2014-03-21	VOICE FOR HEARING IMPA	75.00	CAD	75.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3101	INFANT HEARING SCREENING	8398	"Organizations, Charitable and Social Ser"	CONFERENCES/SEMINARS - REGISTRATION	
PUBLIC HEALTH	2932-134	2014-03-26	2014-03-27	SOUND ADVICE HEARING C	733.00	CAD	733.00	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	PH3101	INFANT HEARING SCREENING	5975	"Hearing Aids - Sales, Service, Supply St"	RECREATIONAL & EDUCATIONAL SUPPLIES	
PUBLIC HEALTH	2933-107	2014-03-26	2014-03-28	MASTERMIND- BAYVIEW VI	88.64	CAD	88.64	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	PH3101	INFANT HEARING SCREENING	5945	"Game, Toy, and Hobby Shops"	RECREATIONAL & EDUCATIONAL SUPPLIES	
PUBLIC HEALTH	2933-108	2014-03-27	2014-03-28	CHAPTERS 940       QPS	151.29	CAD	151.29	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	PH3101	INFANT HEARING SCREENING	5942	Book Stores	RECREATIONAL & EDUCATIONAL SUPPLIES	
PUBLIC HEALTH	2933-109	2014-03-27	2014-03-28	SONSUH EDUCATIONAL SUP	32.17	CAD	32.17	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	PH3101	INFANT HEARING SCREENING	5199	Nondurable Goods Not Elsewhere Classifie	RECREATIONAL & EDUCATIONAL SUPPLIES	
PUBLIC HEALTH	2933-110	2014-03-27	2014-03-28	TOYS R US #3505	101.50	CAD	101.50	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	PH3101	INFANT HEARING SCREENING	5945	"Game, Toy, and Hobby Shops"	RECREATIONAL & EDUCATIONAL SUPPLIES	
PUBLIC HEALTH	2933-111	2014-03-27	2014-03-28	TOYS R US #3505	340.05	CAD	340.05	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	PH3101	INFANT HEARING SCREENING	5945	"Game, Toy, and Hobby Shops"	RECREATIONAL & EDUCATIONAL SUPPLIES	
PUBLIC HEALTH	2936-192	2014-03-28	2014-03-31	WAL-MART # 5831	46.33	CAD	46.33	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	PH3101	INFANT HEARING SCREENING	5411	"Grocery Stores, Supermarkets"	RECREATIONAL & EDUCATIONAL SUPPLIES	
					"2,462.23"	CAD	"2,462.23"	CAD								
