Division 	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	Cost Centre / WBS Element 	Cost Centre/WBS Element Description 	G/L Account	G/L Account Description	Merchant Type	Merchant Type Description	Purpose
					886.38	CAD	886.38	CAD							
REAL ESTATE SERVICES 	1482-112	2011-05-31	2011-06-01	TERANET EXPRESS	62.00	CAD	62.00	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1482-113	2011-05-31	2011-06-01	TERANET EXPRESS	7.00	CAD	7.00	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1484-125	2011-06-01	2011-06-02	TERANET EXPRESS	79.00	CAD	79.00	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1484-126	2011-06-01	2011-06-02	TERANET EXPRESS	24.00	CAD	24.00	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1484-127	2011-06-01	2011-06-02	TERANET EXPRESS	79.00	CAD	79.00	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1484-128	2011-06-01	2011-06-02	TERANET EXPRESS	66.00	CAD	66.00	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1488-158	2011-06-03	2011-06-06	TERANET EXPRESS	16.00	CAD	16.00	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1488-159	2011-06-03	2011-06-06	TERANET EXPRESS	2.00	CAD	2.00	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1492-98	2011-06-06	2011-06-07	TERANET EXPRESS	8.00	CAD	8.00	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1492-99	2011-06-06	2011-06-07	TERANET EXPRESS	5.50	CAD	5.50	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1497-115	2011-06-08	2011-06-09	TERANET EXPRESS	61.00	CAD	61.00	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1497-116	2011-06-08	2011-06-09	TERANET EXPRESS	17.50	CAD	17.50	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1497-117	2011-06-08	2011-06-09	TERANET EXPRESS	1.50	CAD	1.50	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1497-118	2011-06-08	2011-06-09	TERANET EXPRESS	10.00	CAD	10.00	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1497-119	2011-06-08	2011-06-09	TERANET EXPRESS	1.50	CAD	1.50	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1505-111	2011-06-14	2011-06-15	TERANET EXPRESS	19.00	CAD	19.00	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1505-112	2011-06-14	2011-06-15	TERANET EXPRESS	3.00	CAD	3.00	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1506-110	2011-06-15	2011-06-16	TERANET EXPRESS	9.50	CAD	9.50	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1506-111	2011-06-15	2011-06-16	TERANET EXPRESS	6.50	CAD	6.50	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1509-135	2011-06-16	2011-06-17	TERANET EXPRESS	9.00	CAD	9.00	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1509-136	2011-06-16	2011-06-17	TERANET EXPRESS	9.00	CAD	9.00	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1513-122	2011-06-20	2011-06-21	TERANET EXPRESS	37.00	CAD	37.00	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1513-123	2011-06-20	2011-06-21	TERANET EXPRESS	3.50	CAD	3.50	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1516-116	2011-06-22	2011-06-23	TERANET EXPRESS	18.50	CAD	18.50	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1516-117	2011-06-22	2011-06-23	TERANET EXPRESS	35.50	CAD	35.50	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1519-131	2011-06-23	2011-06-24	TERANET EXPRESS	94.00	CAD	94.00	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1519-132	2011-06-23	2011-06-24	TERANET EXPRESS	15.00	CAD	15.00	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1524-116	2011-06-28	2011-06-29	TERANET EXPRESS	104.00	CAD	104.00	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1524-117	2011-06-28	2011-06-29	TERANET EXPRESS	8.00	CAD	8.00	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1524-118	2011-06-28	2011-06-29	TERANET EXPRESS	5.50	CAD	5.50	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1527-158	2011-06-29	2011-06-30	TERANET EXPRESS	11.00	CAD	11.00	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
REAL ESTATE SERVICES 	1527-159	2011-06-29	2011-06-30	TERANET EXPRESS	1.50	CAD	1.50	CAD	FA0121	AD-APPRAISAL & CONSU	4136	REGISTRAR FEES	9222	Fines	Title Searches
					829.50	CAD	829.50	CAD							
"PARKS, FORESTRY & RECREATION"	1488-160	2011-06-03	2011-06-06	METRO #493	66.60	CAD	66.60	CAD	P09732	ANCASTER-PLAY PGMS	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5411	"Grocery Stores, Supermarkets"	food for cooking program
"PARKS, FORESTRY & RECREATION"	1519-133	2011-06-22	2011-06-24	WAL-MART # 3113	45.00	CAD	45.00	CAD	P04631	ANCASTER-SUMR CAMP	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5310	Discount Stores	camp craft supplies
"PARKS, FORESTRY & RECREATION"	1521-133	2011-06-23	2011-06-27	ABSOLUTE DOLLAR	124.39	CAD	124.39	CAD	P04631	ANCASTER-SUMR CAMP	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5310	Discount Stores	camp special event supplies
"PARKS, FORESTRY & RECREATION"	1521-134	2011-06-24	2011-06-27	MICHAELS #3983	205.73	CAD	205.73	CAD	P04631	ANCASTER-SUMR CAMP	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5945	"Game, Toy, and Hobby Shops"	camp craft supplies
"PARKS, FORESTRY & RECREATION"	1521-135	2011-06-24	2011-06-27	METRO #493	20.95	CAD	20.95	CAD	P04631	ANCASTER-SUMR CAMP	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5411	"Grocery Stores, Supermarkets"	preschool camp snack supplies
"PARKS, FORESTRY & RECREATION"	1521-136	2011-06-25	2011-06-27	WAL-MART # 3105	39.27	CAD	39.27	CAD	P05967	ANCASTER-PGM SUPP	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	5310	Discount Stores	dvd player replace broken
"PARKS, FORESTRY & RECREATION"	1523-131	2011-06-23	2011-06-28	DESERRES	13.25	CAD	13.25	CAD	P04631	ANCASTER-SUMR CAMP	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5970	"Artist Supply Stores, Craft Shops"	camp craft supplies
					515.19	CAD	515.19	CAD							
"PARKS, FORESTRY & RECREATION"	1497-120	2011-06-08	2011-06-09	METRO #720	46.59	CAD	46.59	CAD	P12852	STAFF SUPPORT - SC	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5411	"Grocery Stores, Supermarkets"	snacks for training
"PARKS, FORESTRY & RECREATION"	1519-134	2011-06-22	2011-06-24	WAL-MART #3635	199.35	CAD	199.35	CAD	P12852	STAFF SUPPORT - SC	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5310	Discount Stores	food for recreational programs
"PARKS, FORESTRY & RECREATION"	1521-137	2011-06-24	2011-06-27	PARKS AND RECREATION O	66.67	CAD	66.67	CAD	P12852	STAFF SUPPORT - SC	2792	"BANNERS, FLAGS & SIGNS"	8299	Educational Services	posters
					312.61	CAD	312.61	CAD							
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1515-97	2011-06-21	2011-06-22	HOMELESS LINK	68.20	CAD	42.00	GBP	FH5390	TENANT SUPP & POLICY	2020	BOOK & MAGAZINE SUBSCRIPTIONS	8398	"Organizations, Charitable and Social Ser"	membership renewal for homeless 
					68.20	CAD	42.00	GBP							
TORONTO WATER	1497-121	2011-06-07	2011-06-09	ALL HOUR SIGNS	226.00	CAD	226.00	CAD	PW1000	HARRIS PLANT ADM SUP	2792	"BANNERS, FLAGS & SIGNS"	7338	"Quick Copy, Reproduction, and Blueprinti"	"8.5"" x 11"" stickers"
TORONTO WATER	1506-112	2011-06-14	2011-06-16	PROFESSIONAL ENGINEERS	248.60	CAD	248.60	CAD	PW1042	ISLAND SERVICES WA4	4760	MEMBERSHIP FEES	7299	Other Services (Not Elsewhere Classified	Membership fee 
					474.60	CAD	474.60	CAD							
LEGAL SERVICES	1482-114	2011-05-31	2011-06-01	TERANET EXPRESS	12.00	CAD	12.00	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1482-115	2011-05-31	2011-06-01	TERANET EXPRESS	19.00	CAD	19.00	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1482-116	2011-05-31	2011-06-01	TERANET EXPRESS	0.50	CAD	0.50	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1482-117	2011-05-31	2011-06-01	TERANET EXPRESS	8.00	CAD	8.00	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1482-118	2011-05-31	2011-06-01	TERANET EXPRESS	3.00	CAD	3.00	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1492-100	2011-06-06	2011-06-07	TERANET EXPRESS	9.00	CAD	9.00	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1494-108	2011-06-07	2011-06-08	TERANET EXPRESS	4.00	CAD	4.00	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1497-122	2011-06-08	2011-06-09	TERANET EXPRESS	9.00	CAD	9.00	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1499-135	2011-06-09	2011-06-10	TERANET EXPRESS	16.00	CAD	16.00	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1499-136	2011-06-09	2011-06-10	TERANET EXPRESS	4.50	CAD	4.50	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1499-137	2011-06-09	2011-06-10	TERANET EXPRESS	8.00	CAD	8.00	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1499-138	2011-06-09	2011-06-10	TERANET EXPRESS	1.50	CAD	1.50	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1499-139	2011-06-09	2011-06-10	TERANET EXPRESS	1.50	CAD	1.50	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1499-140	2011-06-09	2011-06-10	TERANET EXPRESS	9.00	CAD	9.00	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1499-141	2011-06-09	2011-06-10	TERANET EXPRESS	20.00	CAD	20.00	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1505-113	2011-06-14	2011-06-15	TERANET EXPRESS	25.00	CAD	25.00	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1506-113	2011-06-15	2011-06-16	TERANET EXPRESS	9.00	CAD	9.00	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1506-114	2011-06-15	2011-06-16	TERANET EXPRESS	4.50	CAD	4.50	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1513-124	2011-06-20	2011-06-21	TERANET EXPRESS	8.00	CAD	8.00	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1513-125	2011-06-20	2011-06-21	TERANET EXPRESS	9.00	CAD	9.00	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1513-126	2011-06-20	2011-06-21	TERANET EXPRESS	1.50	CAD	1.50	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1513-127	2011-06-20	2011-06-21	TERANET EXPRESS	12.00	CAD	12.00	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1513-128	2011-06-20	2011-06-21	TERANET EXPRESS	9.00	CAD	9.00	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1513-129	2011-06-20	2011-06-21	TERANET EXPRESS	0.50	CAD	0.50	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1515-98	2011-06-21	2011-06-22	TERANET EXPRESS	10.00	CAD	10.00	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1515-99	2011-06-21	2011-06-22	TERANET EXPRESS	1.00	CAD	1.00	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1516-118	2011-06-22	2011-06-23	TERANET EXPRESS	9.00	CAD	9.00	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1516-119	2011-06-22	2011-06-23	TERANET EXPRESS	3.50	CAD	3.50	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1521-138	2011-06-24	2011-06-27	TERANET EXPRESS	14.00	CAD	14.00	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1523-132	2011-06-27	2011-06-28	TERANET EXPRESS	8.00	CAD	8.00	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
LEGAL SERVICES	1527-160	2011-06-29	2011-06-30	TERANET EXPRESS	10.50	CAD	10.50	CAD	LL0005	REAL ESTATE-CITY HAL	4827	ONLINE SERVICES FEES	9222	Fines	
					259.50	CAD	259.50	CAD							
"PARKS, FORESTRY & RECREATION"	1484-129	2011-06-01	2011-06-02	SAMKO   MIKO TOY WAREH	52.83	CAD	52.83	CAD	P07746	THISTLETOWN-PGM SUPP	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5942	Book Stores	"camp supplies balls, model magic"
"PARKS, FORESTRY & RECREATION"	1499-142	2011-06-08	2011-06-10	ABSOLUTE DOLLAR	86.45	CAD	86.45	CAD	P05117	THISTLETOWN-SUMR CAM	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5310	Discount Stores	camp supplies for group begs
"PARKS, FORESTRY & RECREATION"	1506-115	2011-06-15	2011-06-16	RCSS MILTON #2810	27.74	CAD	27.74	CAD	P07746	THISTLETOWN-PGM SUPP	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5411	"Grocery Stores, Supermarkets"	picture vg recital/staff
"PARKS, FORESTRY & RECREATION"	1509-137	2011-06-16	2011-06-17	SANDYLION WAREHOUSE OU	105.61	CAD	105.61	CAD	P05117	THISTLETOWN-SUMR CAM	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5945	"Game, Toy, and Hobby Shops"	reward for camp
"PARKS, FORESTRY & RECREATION"	1524-119	2011-06-28	2011-06-29	GREAT TEESHIRTS (1989)	989.88	CAD	989.88	CAD	P05117	THISTLETOWN-SUMR CAM	2670	UNIFORMS	5137	"Mens, Womens, and Childrens Uniforms and"	camp shirts
"PARKS, FORESTRY & RECREATION"	1527-161	2011-06-29	2011-06-30	STAPLES STORE #265	20.03	CAD	20.03	CAD	P07746	THISTLETOWN-PGM SUPP	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5943	"Office, School Supply, and Stationery St"	"pencils, office supplies"
					"1,282.54"	CAD	"1,282.54"	CAD							
"PARKS, FORESTRY & RECREATION"	1516-120	2011-06-21	2011-06-23	WAL-MART # 3113	36.85	CAD	36.85	CAD	P10636	SCAR CIVIC CTR-SPEC	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5310	Discount Stores	anti bacterial soap & wipes
					36.85	CAD	36.85	CAD							
"PARKS, FORESTRY & RECREATION"	1484-130	2011-06-01	2011-06-02	PRECISE PARKLINK INC	12.00	CAD	12.00	CAD	P00404	N-CENTRAL-TURF&HORT	4770	PARKING EXPENSES (INTOWN)	7523	Automobile Parking Lots and Garages	parking in emergency for injured staff member
					12.00	CAD	12.00	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1482-119	2011-05-30	2011-06-01	ROYAL TAXI	20.00	CAD	20.00	CAD	SE0019	CENTRL-NUIT BLANCHE	4770	PARKING EXPENSES (INTOWN)	4121	Limousines and Taxicabs	Taxi - Harbourfront Public Meeting
ECONOMIC DEVELOPMENT & CULTURE	1503-103	2011-06-13	2011-06-14	AIR CAN  0142196465694	393.20	CAD	393.20	CAD	SE0019	CENTRL-NUIT BLANCHE	4995	OTHER EXPENSES	3009	Air Canada	Flight for artist - Nuit Blanche 2011
ECONOMIC DEVELOPMENT & CULTURE	1524-120	2011-06-25	2011-06-29	ARTISANO BAKERY CAFE L	507.05	CAD	507.05	CAD	SE0011	CENTRL-GEN ADMIN-GEN	4116	CATERING SERVICES	5812	"Eating Places, Restaurants"	Catering for IIFA
					920.25	CAD	920.25	CAD							
"PARKS, FORESTRY & RECREATION"	1482-120	2011-05-30	2011-06-01	MONARCH PAINTS (1998)	350.82	CAD	350.82	CAD	P00853	ALNESS YD-TRADES	2715	PAINT SUPPLIES	5198	"Paints, Varnishes, and Supplies"	PAINT
"PARKS, FORESTRY & RECREATION"	1482-121	2011-05-30	2011-06-01	RONA # 55030	70.38	CAD	70.38	CAD	P00853	ALNESS YD-TRADES	2715	PAINT SUPPLIES	5251	Hardware Stores	PAINT AND SUPPLIES
"PARKS, FORESTRY & RECREATION"	1482-122	2011-05-31	2011-06-01	CONSTRUCTION DISTRIBUT	233.12	CAD	233.12	CAD	P00853	ALNESS YD-TRADES	2780	CONCRETE	5039	Construction Materials Not Elsewhere Cla	CEMENT
"PARKS, FORESTRY & RECREATION"	1484-131	2011-05-31	2011-06-02	THE HOME DEPOT #7073	162.47	CAD	162.47	CAD	P00853	ALNESS YD-TRADES	3080	M & E - HAND TOOLS	5200	Home Supply Warehouse	NOR FSTCT DE
"PARKS, FORESTRY & RECREATION"	1492-101	2011-06-06	2011-06-07	LOWES #02640*	122.92	CAD	122.92	CAD	P07726	N TORONTO-OPERATIONS	2780	CONCRETE	5200	Home Supply Warehouse	"MEGA GRIP S/S TROWEL 1/4"" SQ"
"PARKS, FORESTRY & RECREATION"	1499-143	2011-06-07	2011-06-10	MONARCH PAINTS (1998)	161.84	CAD	161.84	CAD	P00853	ALNESS YD-TRADES	2715	PAINT SUPPLIES	5198	"Paints, Varnishes, and Supplies"	paint
"PARKS, FORESTRY & RECREATION"	1499-144	2011-06-07	2011-06-10	MONARCH PAINTS (1998)	167.59	CAD	167.59	CAD	P00853	ALNESS YD-TRADES	2715	PAINT SUPPLIES	5198	"Paints, Varnishes, and Supplies"	paint supplies
"PARKS, FORESTRY & RECREATION"	1499-145	2011-06-07	2011-06-10	MONARCH PAINTS (1998)	346.00	CAD	346.00	CAD	P00853	ALNESS YD-TRADES	2715	PAINT SUPPLIES	5198	"Paints, Varnishes, and Supplies"	paint & supplies
"PARKS, FORESTRY & RECREATION"	1503-104	2011-06-10	2011-06-14	RONA # 55140	12.38	CAD	12.38	CAD	P00853	ALNESS YD-TRADES	2710	GENERAL HARDWARE	5251	Hardware Stores	bits
"PARKS, FORESTRY & RECREATION"	1503-105	2011-06-10	2011-06-14	CDN TIRE STORE #00030	30.35	CAD	30.35	CAD	P00853	ALNESS YD-TRADES	3080	M & E - HAND TOOLS	5200	Home Supply Warehouse	tools
"PARKS, FORESTRY & RECREATION"	1505-114	2011-06-13	2011-06-15	THE HOME DEPOT #7073	112.33	CAD	112.33	CAD	P00853	ALNESS YD-TRADES	2710	GENERAL HARDWARE	5200	Home Supply Warehouse	OLFA L-2/BB
"PARKS, FORESTRY & RECREATION"	1509-138	2011-06-15	2011-06-17	THE HOME DEPOT #7078	83.59	CAD	83.59	CAD	P06689	NWOOD CC-OPERATIONS	2530	BLDG REPAIRS & RENOVATION SUPPLIES	5200	Home Supply Warehouse	4X8X5/8 FIRE
"PARKS, FORESTRY & RECREATION"	1509-139	2011-06-15	2011-06-17	THE HOME DEPOT #7129	91.43	CAD	91.43	CAD	P00853	ALNESS YD-TRADES	3080	M & E - HAND TOOLS	5200	Home Supply Warehouse	FUL 7PC SCRW
"PARKS, FORESTRY & RECREATION"	1511-151	2011-06-16	2011-06-20	MONARCH PAINTS (1998)	803.12	CAD	803.12	CAD	P00853	ALNESS YD-TRADES	2715	PAINT SUPPLIES	5198	"Paints, Varnishes, and Supplies"	paint
"PARKS, FORESTRY & RECREATION"	1515-100	2011-06-20	2011-06-22	MONARCH PAINTS (1998)	86.20	CAD	86.20	CAD	P06689	NWOOD CC-OPERATIONS	2715	PAINT SUPPLIES	5198	"Paints, Varnishes, and Supplies"	paint
"PARKS, FORESTRY & RECREATION"	1515-101	2011-06-20	2011-06-22	MONARCH PAINTS (1998)	333.38	CAD	333.38	CAD	P00853	ALNESS YD-TRADES	2715	PAINT SUPPLIES	5198	"Paints, Varnishes, and Supplies"	paint
"PARKS, FORESTRY & RECREATION"	1516-121	2011-06-21	2011-06-23	RONA # 55030	33.89	CAD	33.89	CAD	P00853	ALNESS YD-TRADES	2780	CONCRETE	5251	Hardware Stores	cement
"PARKS, FORESTRY & RECREATION"	1524-121	2011-06-27	2011-06-29	MONARCH PAINTS (1998)	100.48	CAD	100.48	CAD	P00853	ALNESS YD-TRADES	2715	PAINT SUPPLIES	5198	"Paints, Varnishes, and Supplies"	paint
"PARKS, FORESTRY & RECREATION"	1524-122	2011-06-27	2011-06-29	MONARCH PAINTS (1998)	146.81	CAD	146.81	CAD	P00853	ALNESS YD-TRADES	2715	PAINT SUPPLIES	5198	"Paints, Varnishes, and Supplies"	paint
"PARKS, FORESTRY & RECREATION"	1524-123	2011-06-27	2011-06-29	MONARCH PAINTS (1998)	171.74	CAD	171.74	CAD	P00853	ALNESS YD-TRADES	2715	PAINT SUPPLIES	5198	"Paints, Varnishes, and Supplies"	paint & supplies
					"3,620.84"	CAD	"3,620.84"	CAD							
"PARKS, FORESTRY & RECREATION"	1482-123	2011-05-31	2011-06-01	LASER SALES CUTTERS CH	38.78	CAD	38.78	CAD	P00483	S-WEST 2-PKS EQP MNT	2120	PARTS - MACHINERY & EQUIPMENT	5072	Hardware Equipment and Supplies	STARTER ROPE
"PARKS, FORESTRY & RECREATION"	1485-111	2011-06-01	2011-06-03	MOTION IND ON11	27.93	CAD	27.93	CAD	P00483	S-WEST 2-PKS EQP MNT	2999	MISCELLANEOUS MATERIALS & SUPPLIES	5085	Industrial Supplies Not Elsewhere Classi	AX 37 TRI-POWER  BELT
"PARKS, FORESTRY & RECREATION"	1497-123	2011-06-08	2011-06-09	LASER SALES CUTTERS CH	70.78	CAD	70.78	CAD	P00483	S-WEST 2-PKS EQP MNT	2540	HEATING & AIR CONDITIONING SUPPLIES	5072	Hardware Equipment and Supplies	coil & primer bulp
"PARKS, FORESTRY & RECREATION"	1505-115	2011-06-14	2011-06-15	AIRCON SERVICES	636.02	CAD	636.02	CAD	P00483	S-WEST 2-PKS EQP MNT	2540	HEATING & AIR CONDITIONING SUPPLIES	7623	Air Conditioning and Refrigeration Repai	cooling fan & services
"PARKS, FORESTRY & RECREATION"	1511-152	2011-06-17	2011-06-20	LASER SALES CUTTERS CH	334.38	CAD	334.38	CAD	P00483	S-WEST 2-PKS EQP MNT	2120	PARTS - MACHINERY & EQUIPMENT	5072	Hardware Equipment and Supplies	blades toro 4000d
"PARKS, FORESTRY & RECREATION"	1519-135	2011-06-22	2011-06-24	CDN TIRE STORE #00119	9.02	CAD	9.02	CAD	P00483	S-WEST 2-PKS EQP MNT	2710	GENERAL HARDWARE	5200	Home Supply Warehouse	cutting wheel
"PARKS, FORESTRY & RECREATION"	1519-136	2011-06-22	2011-06-24	CDN TIRE STORE #00654	20.32	CAD	20.32	CAD	P00483	S-WEST 2-PKS EQP MNT	2710	GENERAL HARDWARE	5200	Home Supply Warehouse	jb weld
