Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
TORONTO WATER	1273-114	01-06-2011	01-10-2011	THE HOME DEPOT #7080	44.96	CAD	44.96	CAD	2575	ELECTRICAL SUPPLIES	PW1018	WS CENTRAL WORK AREA	5200	Home Supply Warehouse	METRIC HEX H	
TORONTO WATER	1273-115	01-07-2011	01-10-2011	LOWES #02640*	92.66	CAD	92.66	CAD	2575	ELECTRICAL SUPPLIES	PW1018	WS CENTRAL WORK AREA	5200	Home Supply Warehouse	20A 125V BLACK SPEC OUTLET	
TORONTO WATER	1273-116	01-07-2011	01-10-2011	THE HOME DEPOT #7134	55.37	CAD	55.37	CAD	2575	ELECTRICAL SUPPLIES	PW1018	WS CENTRAL WORK AREA	5200	Home Supply Warehouse	WALL PLATE S	
TORONTO WATER	1275-76	01-07-2011	01-11-2011	WEST MARINE 3903	34.26	CAD	34.26	CAD	2575	ELECTRICAL SUPPLIES	PW1018	WS CENTRAL WORK AREA	4468	"Marinas, Marine Service/Supplies"		
TORONTO WATER	1283-130	01-14-2011	01-17-2011	THE HOME DEPOT #7013	190.82	CAD	190.82	CAD	2575	ELECTRICAL SUPPLIES	PW1018	WS CENTRAL WORK AREA	5200	Home Supply Warehouse	33  TAPE	
TORONTO WATER	1283-131	01-14-2011	01-17-2011	THE HOME DEPOT #7134	145.83	CAD	145.83	CAD	2575	ELECTRICAL SUPPLIES	PW1018	WS CENTRAL WORK AREA	5200	Home Supply Warehouse	RD 18V 3AH B	
TORONTO WATER	1285-92	01-14-2011	01-18-2011	JOMAR ELECTRIC CO LTD	65.69	CAD	65.69	CAD	2575	ELECTRICAL SUPPLIES	PW1018	WS CENTRAL WORK AREA	1731	Electrical Contractors		
TORONTO WATER	1285-93	01-17-2011	01-18-2011	TORBRAM ELECTRIC SUPPL	52.14	CAD	52.14	CAD	2575	ELECTRICAL SUPPLIES	PW1018	WS CENTRAL WORK AREA	5065	Electrical Parts and Equipment		
TORONTO WATER	1290-84	01-19-2011	01-21-2011	THE HOME DEPOT #7080	16.25	CAD	16.25	CAD	2575	ELECTRICAL SUPPLIES	PW1018	WS CENTRAL WORK AREA	5200	Home Supply Warehouse	CORDMATE KIT	
TORONTO WATER	1292-114	01-20-2011	01-24-2011	THE HOME DEPOT #7013	96.97	CAD	96.97	CAD	2575	ELECTRICAL SUPPLIES	PW1018	WS CENTRAL WORK AREA	5200	Home Supply Warehouse	SENSOR-WH	
					880.80	CAD	880.80	CAD								
"PARKS, FORESTRY & RECREATION"	1273-104	01-08-2011	01-10-2011	WINNERS 222	41.82	CAD	41.82	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01321	TRACE MANES COMPLEX-	5651	Family Clothing Stores		
"PARKS, FORESTRY & RECREATION"	1275-61	01-10-2011	01-11-2011	LOBLAWS #1019      QPS	30.60	CAD	30.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01321	TRACE MANES COMPLEX-	5411	"Grocery Stores, Supermarkets"		
"PARKS, FORESTRY & RECREATION"	1288-88	01-18-2011	01-20-2011	CDN TIRE STORE #00237	14.10	CAD	14.10	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01321	TRACE MANES COMPLEX-	5200	Home Supply Warehouse		
"PARKS, FORESTRY & RECREATION"	1292-104	01-20-2011	01-24-2011	CDN TIRE STORE #00459	0.57	CAD	0.57	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01321	TRACE MANES COMPLEX-	5200	Home Supply Warehouse		
					87.09	CAD	87.09	CAD								
"PARKS, FORESTRY & RECREATION"	1279-118	01-11-2011	01-13-2011	WAL-MART SUPERCENTE	50.03	CAD	50.03	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08867	BURROWS HALL-INSTRL	5310	Discount Stores		
					50.03	CAD	50.03	CAD								
"PARKS, FORESTRY & RECREATION"	1277-202	01-09-2011	01-12-2011	DESERRES	440.24	CAD	440.24	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13193	LOCSUP-MAPLELFPK	5970	"Artist Supply Stores, Craft Shops"		
"PARKS, FORESTRY & RECREATION"	1285-109	01-17-2011	01-18-2011	J   J CRAFTS	108.36	CAD	108.36	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01976	SH ARMSTRONG-SOCIAL	5970	"Artist Supply Stores, Craft Shops"		
					548.60	CAD	548.60	CAD								
"PARKS, FORESTRY & RECREATION"	1296-34	01-24-2011	01-26-2011	CDN TIRE STORE #00192	118.63	CAD	118.63	CAD	2575	ELECTRICAL SUPPLIES	P12135	ALNESS YD-FORESTRY-P	5200	Home Supply Warehouse		
"PARKS, FORESTRY & RECREATION"	1297-49	01-26-2011	01-27-2011	STAPLES STORE #3	22.37	CAD	22.37	CAD	4825	PRINTING AND REPRODUCTION - THIRD PARTY	P12135	ALNESS YD-FORESTRY-P	5943	"Office, School Supply, and Stationery St"		
					141.00	CAD	141.00	CAD								
"PARKS, FORESTRY & RECREATION"	1271-59	01-06-2011	01-07-2011	NO FRILLS #728     QPS	7.77	CAD	7.77	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06076	ORIOLE CC-SOC PGM	5411	"Grocery Stores, Supermarkets"		
"PARKS, FORESTRY & RECREATION"	1285-63	01-17-2011	01-18-2011	FOOD BASICS #679   QPS	42.22	CAD	42.22	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06076	ORIOLE CC-SOC PGM	5411	"Grocery Stores, Supermarkets"		
"PARKS, FORESTRY & RECREATION"	1294-51	01-24-2011	01-25-2011	NOFRILLS JACKS 728	52.29	CAD	52.29	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06076	ORIOLE CC-SOC PGM	5411	"Grocery Stores, Supermarkets"		
"PARKS, FORESTRY & RECREATION"	1296-55	01-25-2011	01-26-2011	TDSB-PURCHASING	68.04	CAD	68.04	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06076	ORIOLE CC-SOC PGM	8299	Educational Services		
"PARKS, FORESTRY & RECREATION"	1302-84	01-29-2011	01-31-2011	THE BOOK SALE      QPS	44.77	CAD	44.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06076	ORIOLE CC-SOC PGM	5942	Book Stores		
					215.09	CAD	215.09	CAD								
EMERGENCY MEDICAL SERVICES	1294-3	01-24-2011	01-25-2011	CENTRE FOR ADDICTION A	30.06	CAD	30.06	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	B33118	CACC - TRG. UNIT	8398	"Organizations, Charitable and Social Ser"	INFORMATIONAL BOOKLETS	
					30.06	CAD	30.06	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1277-34	01-10-2011	01-12-2011	THE HOME DEPOT #7073	112.99	CAD	112.99	CAD	2540	HEATING & AIR CONDITIONING SUPPLIES	AH0154	CD-AM-FAC-FORT YORK	5200	Home Supply Warehouse	CONST. HEATE	
ECONOMIC DEVELOPMENT & CULTURE	1279-25	01-12-2011	01-13-2011	ROYAL INDUSTRIAL SUPPL	738.40	CAD	738.40	CAD	2570	JANITORIAL SUPPLIES	AH0154	CD-AM-FAC-FORT YORK	5085	Industrial Supplies Not Elsewhere Classi	"Mats, shovels, clearing liquid, Floor Wax"	
ECONOMIC DEVELOPMENT & CULTURE	1281-31	01-12-2011	01-14-2011	PAUL WOLF ELECTRIC   L	114.63	CAD	114.63	CAD	2575	ELECTRICAL SUPPLIES	AH0023	CD-AM-FAC-TODMORDEN	5065	Electrical Parts and Equipment	light bulbs	
ECONOMIC DEVELOPMENT & CULTURE	1281-32	01-12-2011	01-14-2011	CDN TIRE STORE #00654	25.80	CAD	25.80	CAD	2570	JANITORIAL SUPPLIES	AH0154	CD-AM-FAC-FORT YORK	5200	Home Supply Warehouse	"mouse traps, Steel wool"	
ECONOMIC DEVELOPMENT & CULTURE	1283-39	01-14-2011	01-17-2011	ROYAL INDUSTRIAL SUPPL	516.21	CAD	516.21	CAD	2570	JANITORIAL SUPPLIES	AH0029	CD-AM-FAC-METRO HALL	5085	Industrial Supplies Not Elsewhere Classi	"floor sealer, eye wash, disp gloves"	
ECONOMIC DEVELOPMENT & CULTURE	1292-31	01-21-2011	01-24-2011	THE HOME DEPOT #7013	8.46	CAD	8.46	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0030	CD-AM-PRS-METRO HALL	5200	Home Supply Warehouse	TANK LEVER	
ECONOMIC DEVELOPMENT & CULTURE	1297-26	01-26-2011	01-27-2011	ROYAL INDUSTRIAL SUPPL	403.41	CAD	403.41	CAD	2570	JANITORIAL SUPPLIES	AH0023	CD-AM-FAC-TODMORDEN	5085	Industrial Supplies Not Elsewhere Classi	"floor wax, sealer"	
ECONOMIC DEVELOPMENT & CULTURE	1300-28	01-26-2011	01-28-2011	THE HOME DEPOT #7013	14.68	CAD	14.68	CAD	2540	HEATING & AIR CONDITIONING SUPPLIES	AH0030	CD-AM-PRS-METRO HALL	5200	Home Supply Warehouse	FILTER	
					"1,934.58"	CAD	"1,934.58"	CAD								
"POLICY, PLANNING, FINANCE & ADMINISTRATION"	1302-126	01-28-2011	01-31-2011	INTERNATIONAL ASSOCIAT	204.94	CAD	200.00	USD	4830	PERMIT & LICENSE FEES	DB3000	OFFICE OF EMERGENCY	8699	"Organizations, Membership - Not Elsewher"	License Renewal (5 Years-recertification)	
					204.94	CAD	200.00	USD								
"PARKS, FORESTRY & RECREATION"	1285-43	01-17-2011	01-18-2011	ARDENE #155	33.90	CAD	33.90	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06454	FAIRBANK CC-ARTS-VIS	5631	Women's Accessory and Specialty Stores		
"PARKS, FORESTRY & RECREATION"	1286-57	01-18-2011	01-19-2011	TUCKERS POTTERY SUPPLI	131.20	CAD	131.20	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06454	FAIRBANK CC-ARTS-VIS	5970	"Artist Supply Stores, Craft Shops"		
"PARKS, FORESTRY & RECREATION"	1288-50	01-19-2011	01-20-2011	ARDENE #24	33.90	CAD	33.90	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06454	FAIRBANK CC-ARTS-VIS	5631	Women's Accessory and Specialty Stores		
"PARKS, FORESTRY & RECREATION"	1296-35	01-24-2011	01-26-2011	WAL-MART SUPERCENTE	31.30	CAD	31.30	CAD	2610	KITCHEN SUPPLIES	P10532	FAIRBANK-PGM SUPP	5310	Discount Stores		
					230.30	CAD	230.30	CAD								
"PARKS, FORESTRY & RECREATION"	1275-91	01-10-2011	01-11-2011	G-TECH MANUFACTURING	585.34	CAD	585.34	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P06885	TECH TRADE SERV - 50	5046	Commercial Equipment Not Elsewhere Class		
"PARKS, FORESTRY & RECREATION"	1277-178	01-10-2011	01-12-2011	THE HOME DEPOT #7080	37.28	CAD	37.28	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P06885	TECH TRADE SERV - 50	5200	Home Supply Warehouse	BALLSET	
"PARKS, FORESTRY & RECREATION"	1277-179	01-10-2011	01-12-2011	MOTION IND ON11	290.77	CAD	290.77	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P06885	TECH TRADE SERV - 50	5085	Industrial Supplies Not Elsewhere Classi	C 117 HI-POWER  V BELT	
"PARKS, FORESTRY & RECREATION"	1277-180	01-10-2011	01-12-2011	MOTION IND ON11	11.47	CAD	11.47	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P06885	TECH TRADE SERV - 50	5085	Industrial Supplies Not Elsewhere Classi	6206 2RSJEM (C3) BRG	
"PARKS, FORESTRY & RECREATION"	1283-165	01-13-2011	01-17-2011	CDN TIRE STORE #00654	10.84	CAD	10.84	CAD	2710	GENERAL HARDWARE	P06885	TECH TRADE SERV - 50	5200	Home Supply Warehouse		
"PARKS, FORESTRY & RECREATION"	1283-166	01-16-2011	01-17-2011	G-TECH MANUFACTURING	892.56	CAD	892.56	CAD	2499	OTHER CHEMICALS	P06885	TECH TRADE SERV - 50	5046	Commercial Equipment Not Elsewhere Class		
"PARKS, FORESTRY & RECREATION"	1288-111	01-18-2011	01-20-2011	THE HOME DEPOT #7080	21.21	CAD	21.21	CAD	2710	GENERAL HARDWARE	P06885	TECH TRADE SERV - 50	5200	Home Supply Warehouse	ANCHORS	
"PARKS, FORESTRY & RECREATION"	1292-157	01-20-2011	01-24-2011	THE HOME DEPOT #7080	24.86	CAD	24.86	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P06885	TECH TRADE SERV - 50	5200	Home Supply Warehouse	1/2ADAPTER	
"PARKS, FORESTRY & RECREATION"	1292-158	01-21-2011	01-24-2011	G-TECH MANUFACTURING	892.56	CAD	892.56	CAD	2499	OTHER CHEMICALS	P06885	TECH TRADE SERV - 50	5046	Commercial Equipment Not Elsewhere Class		
"PARKS, FORESTRY & RECREATION"	1296-104	01-25-2011	01-26-2011	G-TECH MANUFACTURING	892.56	CAD	892.56	CAD	2499	OTHER CHEMICALS	P06885	TECH TRADE SERV - 50	5046	Commercial Equipment Not Elsewhere Class		
"PARKS, FORESTRY & RECREATION"	1296-105	01-25-2011	01-26-2011	PRINCESS AUTO	43.38	CAD	43.38	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P06885	TECH TRADE SERV - 50	5085	Industrial Supplies Not Elsewhere Classi		
"PARKS, FORESTRY & RECREATION"	1297-112	01-25-2011	01-27-2011	THE HOME DEPOT #7011	2.80	CAD	2.80	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P06885	TECH TRADE SERV - 50	5200	Home Supply Warehouse	"3""SCREWHOOK"	
					"3,705.63"	CAD	"3,705.63"	CAD								
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1283-122	01-16-2011	01-17-2011	METRO #083         QPS	32.45	CAD	32.45	CAD	2741	FOOD COSTS	F01121	SEATON HSE PGM DELIV	5411	"Grocery Stores, Supermarkets"		
					32.45	CAD	32.45	CAD								
LONG TERM CARE HOMES	1271-84	01-07-2011	01-07-2011	ROGERS *CBL39160326401	43.44	CAD	43.44	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	D3F041	7 OAKS-HK-OA	4899	Cable and Other Pay Television Services		
LONG TERM CARE HOMES	1277-140	01-11-2011	01-12-2011	OAK MISSISSAUGA CARTON	395.50	CAD	395.50	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	D3F041	7 OAKS-HK-OA	5200	Home Supply Warehouse		
LONG TERM CARE HOMES	1279-112	01-11-2011	01-13-2011	BRODI SPECIALTY PRODUC	542.34	CAD	542.34	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	D3F041	7 OAKS-HK-OA	5085	Industrial Supplies Not Elsewhere Classi		
LONG TERM CARE HOMES	1279-113	01-12-2011	01-13-2011	THERMOPATCH	315.24	CAD	315.24	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	D3F041	7 OAKS-HK-OA	5085	Industrial Supplies Not Elsewhere Classi		
LONG TERM CARE HOMES	1302-117	01-29-2011	01-31-2011	ROGERS *CBL39165187000	8.58	CAD	8.58	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	D3F041	7 OAKS-HK-OA	4899	Cable and Other Pay Television Services		
					"1,305.10"	CAD	"1,305.10"	CAD								
FIRE SERVICES	1279-115	01-12-2011	01-13-2011	PRINCESS AUTO	526.52	CAD	526.52	CAD	2710	GENERAL HARDWARE	FR0024	MECH MAINT-EQUIPMENT	5085	Industrial Supplies Not Elsewhere Classi	SHOP SUPPLIES	
FIRE SERVICES	1281-103	01-12-2011	01-14-2011	RUNNALLS PLUMBING IND	292.73	CAD	292.73	CAD	2535	PLUMBING SUPPLIES	FR0024	MECH MAINT-EQUIPMENT	5085	Industrial Supplies Not Elsewhere Classi	PIPE & FITTINGS	
FIRE SERVICES	1290-85	01-20-2011	01-21-2011	MULTI-LINE FASTENER SU	272.85	CAD	272.85	CAD	2710	GENERAL HARDWARE	FR0024	MECH MAINT-EQUIPMENT	5969	Direct Marketing - Other Direct Marketer	FASTENERS	
FIRE SERVICES	1292-116	01-21-2011	01-24-2011	A.J. STONE CO.LTD	183.06	CAD	183.06	CAD	4424	CONTRACTED SERVICES - GENERAL	FR0024	MECH MAINT-EQUIPMENT	5085	Industrial Supplies Not Elsewhere Classi	HANDLES	
FIRE SERVICES	1292-117	01-21-2011	01-24-2011	A.J. STONE CO.LTD	84.75	CAD	84.75	CAD	2120	PARTS - MACHINERY & EQUIPMENT	FR0024	MECH MAINT-EQUIPMENT	5085	Industrial Supplies Not Elsewhere Classi	ADAPTERS	
FIRE SERVICES	1294-78	01-17-2011	01-25-2011	MISSISSAUGA REPAIR CEN	501.72	CAD	501.72	CAD	4424	CONTRACTED SERVICES - GENERAL	FR0024	MECH MAINT-EQUIPMENT	7629	"Appliance Repair Shops, Electrical and S"	EQUIPMENT REPAIR	
FIRE SERVICES	1296-88	01-24-2011	01-26-2011	CDN TIRE STORE #00152	127.42	CAD	127.42	CAD	2710	GENERAL HARDWARE	FR0024	MECH MAINT-EQUIPMENT	5200	Home Supply Warehouse	HARDWARE	
FIRE SERVICES	1302-119	01-28-2011	01-31-2011	A.J. STONE CO.LTD	542.40	CAD	542.40	CAD	2120	PARTS - MACHINERY & EQUIPMENT	FR0024	MECH MAINT-EQUIPMENT	5085	Industrial Supplies Not Elsewhere Classi	ADAPTERS	
FIRE SERVICES	1302-120	01-28-2011	01-31-2011	A.J. STONE CO.LTD	162.72	CAD	162.72	CAD	2120	PARTS - MACHINERY & EQUIPMENT	FR0024	MECH MAINT-EQUIPMENT	5085	Industrial Supplies Not Elsewhere Classi	TURBINES	
					"2,694.17"	CAD	"2,694.17"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1275-77	01-10-2011	01-11-2011	ECONOMIC DEVELOPERS	180.80	CAD	180.80	CAD	4760	MEMBERSHIP FEES	ED0116	BD-RET-CORP-CENTRAL	8699	"Organizations, Membership - Not Elsewher"	2011 membership renewal fee	
					180.80	CAD	180.80	CAD								
"PARKS, FORESTRY & RECREATION"	1273-39	01-06-2011	01-10-2011	CDN TIRE STORE #00459	28.14	CAD	28.14	CAD	2730	HIGH PK-PLANT DISPLA	P00108	HIGH PK-PLANT DISPLA	5200	Home Supply Warehouse		
"PARKS, FORESTRY & RECREATION"	1286-29	01-17-2011	01-19-2011	THE HOME DEPOT #7073	96.21	CAD	96.21	CAD	2570	JANITORIAL SUPPLIES	P00108	HIGH PK-PLANT DISPLA	5200	Home Supply Warehouse	VINYL GLOVES	
"PARKS, FORESTRY & RECREATION"	1292-32	01-20-2011	01-24-2011	THE HOME DEPOT #7073	47.97	CAD	47.97	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00108	HIGH PK-PLANT DISPLA	5200	Home Supply Warehouse	HANGERS	
"PARKS, FORESTRY & RECREATION"	1300-29	01-26-2011	01-28-2011	THE HOME DEPOT #7073	167.48	CAD	167.48	CAD	2570	JANITORIAL SUPPLIES	P00108	HIGH PK-PLANT DISPLA	5200	Home Supply Warehouse	SHINEX MICRO	
					339.80	CAD	339.80	CAD								
LONG TERM CARE HOMES	1273-24	01-06-2011	01-10-2011	NATIONAL SYSTEMS COMPA	187.02	CAD	187.02	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3C144	CUMMR LDGE-NS-NA	7399	Business Services - Not Elsewhere Classi	CHART BINDERS	
LONG TERM CARE HOMES	1294-13	01-18-2011	01-25-2011	MEDIGAS #803	846.15	CAD	846.15	CAD	2823	MEDICAL SUPPLIES	D3C144	CUMMR LDGE-NS-NA	7692	Welding Repair	AIR COMPRESSOR	
					"1,033.17"	CAD	"1,033.17"	CAD								
"PARKS, FORESTRY & RECREATION"	1277-122	01-11-2011	01-12-2011	PRICE CHOPPER #7827QPS	52.62	CAD	52.62	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11551	ANTIBES CC-SPORTS	5411	"Grocery Stores, Supermarkets"		
"PARKS, FORESTRY & RECREATION"	1281-91	01-13-2011	01-14-2011	PRICE CHOPPER #7827QPS	37.90	CAD	37.90	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11551	ANTIBES CC-SPORTS	5411	"Grocery Stores, Supermarkets"		
					90.52	CAD	90.52	CAD								
FIRE SERVICES	1274-1	01-07-2011	01-10-2011	HUSKY INSLEY HUSKY #00	59.15	CAD	59.15	CAD	2260	MISCELLANEOUS MATERIALS & SUPPLIES	FR0025	MECH MAINT-VEH MAINT	5541	Service Stations (with or without Ancill	FUEL FOR VEH 20344	
FIRE SERVICES	1284-1	01-14-2011	01-17-2011	HUSKY INSLEY HUSKY #00	60.71	CAD	60.71	CAD	2260	GASOLINE	FR0025	MECH MAINT-VEH MAINT	5541	Service Stations (with or without Ancill	FUEL FOR VEH 20344	
FIRE SERVICES	1287-1	01-15-2011	01-18-2011	CDN TIRE GASBAR #01019	58.42	CAD	58.42	CAD	2260	MISCELLANEOUS MATERIALS & SUPPLIES	FR0025	MECH MAINT-VEH MAINT	5541	Service Stations (with or without Ancill	FUEL FOR VEH 20344	
FIRE SERVICES	1287-2	01-16-2011	01-18-2011	PETROCAN	62.89	CAD	62.89	CAD	2260	WASHES-LICENSED MOBILE EQUIP.	FR0025	MECH MAINT-VEH MAINT	5542	"Fuel Dispenser, Automated"	FUEL FOR VEH 20344	
FIRE SERVICES	1301-1	01-27-2011	01-28-2011	HUSKY INSLEY HUSKY #00	62.50	CAD	62.50	CAD	2260	MISCELLANEOUS MATERIALS & SUPPLIES	FR0025	MECH MAINT-VEH MAINT	5541	Service Stations (with or without Ancill	FUEL FOR VEH 20344	
					303.67	CAD	303.67	CAD								
EMERGENCY MEDICAL SERVICES	1273-68	01-08-2011	01-10-2011	PREMIER FARNEL00000018	63.31	CAD	63.31	CAD	2199	MISCELLANEOUS PARTS	B31100	COMM SYSTEMS SUPPORT	5065	Electrical Parts and Equipment	POTENTIOMETERS	
EMERGENCY MEDICAL SERVICES	1277-76	01-11-2011	01-12-2011	STAPLES STORE #3	135.33	CAD	135.33	CAD	2199	MISCELLANEOUS PARTS	B31100	COMM SYSTEMS SUPPORT	5943	"Office, School Supply, and Stationery St"	CAT5 PATCH CABLES	
EMERGENCY MEDICAL SERVICES	1281-65	01-13-2011	01-14-2011	LONG   MCQUADE LIMITED	341.26	CAD	341.26	CAD	2650	COMPUTER AND PRINTER SUPPLIES	B31100	COMM SYSTEMS SUPPORT	7399	Business Services - Not Elsewhere Classi	HEADPHONE AMPLIFIERS	
EMERGENCY MEDICAL SERVICES	1283-71	01-14-2011	01-17-2011	PREMIER FARNEL00000018	343.36	CAD	343.36	CAD	2199	MISCELLANEOUS PARTS	B31100	COMM SYSTEMS SUPPORT	5065	Electrical Parts and Equipment	INDICATOR LAMP	
EMERGENCY MEDICAL SERVICES	1288-61	01-17-2011	01-20-2011	MTCC	8.00	CAD	8.00	CAD	4770	PARKING EXPENSES (INTOWN)	B31100	COMM SYSTEMS SUPPORT	7523	Automobile Parking Lots and Garages	PARKING FOR RADIO INSTALLATION	
EMERGENCY MEDICAL SERVICES	1296-42	01-25-2011	01-26-2011	PREMIER FARNEL00000018	664.17	CAD	664.17	CAD	2199	MISCELLANEOUS PARTS	B31100	COMM SYSTEMS SUPPORT	5065	Electrical Parts and Equipment	"CABLES, CONNECTORS, COMPONENTS"	
EMERGENCY MEDICAL SERVICES	1296-43	01-25-2011	01-26-2011	LONG   MCQUADE	28.25	CAD	28.25	CAD	2650	COMPUTER AND PRINTER SUPPLIES	B31100	COMM SYSTEMS SUPPORT	7399	Business Services - Not Elsewhere Classi	HEADPHONE AMPLIFIERS	
EMERGENCY MEDICAL SERVICES	1302-73	01-28-2011	01-31-2011	PREMIER FARNEL00000018	51.30	CAD	51.30	CAD	2199	MISCELLANEOUS PARTS	B31100	COMM SYSTEMS SUPPORT	5065	Electrical Parts and Equipment	POWER SUPPLY	
					"1,634.98"	CAD	"1,634.98"	CAD								
"PARKS, FORESTRY & RECREATION"	1290-151	01-20-2011	01-21-2011	PRICE CHOPPER #7869QPS	32.94	CAD	32.94	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07732	MATTY ECKLER-PGM SUP	5411	"Grocery Stores, Supermarkets"		
"PARKS, FORESTRY & RECREATION"	1296-157	01-24-2011	01-26-2011	ABSOLUTE DOLLAR	7.91	CAD	7.91	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07732	MATTY ECKLER-PGM SUP	5310	Discount Stores		
"PARKS, FORESTRY & RECREATION"	1300-146	01-27-2011	01-28-2011	ABOVEGROUND ENTERPRISE	429.73	CAD	429.73	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07732	MATTY ECKLER-PGM SUP	7333	"Commercial Art, Graphics, Photography"		
"PARKS, FORESTRY & RECREATION"	1300-147	01-27-2011	01-28-2011	FOOD BASICS #875   QPS	36.26	CAD	36.26	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07732	MATTY ECKLER-PGM SUP	5411	"Grocery Stores, Supermarkets"		
					506.84	CAD	506.84	CAD								
"PARKS, FORESTRY & RECREATION"	1271-55	01-06-2011	01-07-2011	NOFRILLS CHRIS 273 QPS	44.80	CAD	44.80	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12047	BLOORDALE-COMM CTR-P	5411	"Grocery Stores, Supermarkets"		
"PARKS, FORESTRY & RECREATION"	1273-75	01-06-2011	01-10-2011	WAL-MART	317.49	CAD	317.49	CAD	2610	KITCHEN SUPPLIES	P12047	BLOORDALE-COMM CTR-P	5310	Discount Stores		
"PARKS, FORESTRY & RECREATION"	1281-74	01-13-2011	01-14-2011	NOFRILLS CHRIS 273 QPS	19.87	CAD	19.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12047	BLOORDALE-COMM CTR-P	5411	"Grocery Stores, Supermarkets"		
"PARKS, FORESTRY & RECREATION"	1283-81	01-15-2011	01-17-2011	NOFRILLS MARCS 758 QPS	18.69	CAD	18.69	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12047	BLOORDALE-COMM CTR-P	5411	"Grocery Stores, Supermarkets"		
"PARKS, FORESTRY & RECREATION"	1286-70	01-17-2011	01-19-2011	WAL-MART	159.12	CAD	159.12	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12047	BLOORDALE-COMM CTR-P	5310	Discount Stores		
"PARKS, FORESTRY & RECREATION"	1296-47	01-24-2011	01-26-2011	PALMER GROUP DISTRIBUT	60.53	CAD	60.53	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12047	BLOORDALE-COMM CTR-P	5199	Nondurable Goods Not Elsewhere Classifie		
"PARKS, FORESTRY & RECREATION"	1300-65	01-27-2011	01-28-2011	NOFRILLS JIM'S 753 QPS	16.04	CAD	16.04	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12047	BLOORDALE-COMM CTR-P	5411	"Grocery Stores, Supermarkets"		
"PARKS, FORESTRY & RECREATION"	1300-66	01-27-2011	01-28-2011	NOFRILLS JIM'S 753 QPS	2.69	CAD	2.69	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12047	BLOORDALE-COMM CTR-P	5411	"Grocery Stores, Supermarkets"		
