Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
LONG TERM CARE HOMES	1850-73	02-06-2012	02-07-2012	RCSS 1077	20.22	CAD	20.22	CAD	2741	FOOD COSTS	D3G031	TRU DAVIDSN A-FN-OA	5411	"Grocery Stores, Supermarkets"	GF CEREALS & LS CHICKEN NOODLE SOUP	
LONG TERM CARE HOMES	1858-136	02-10-2012	02-13-2012	NOFRILLS TOMS 775	15.90	CAD	15.90	CAD	2741	FOOD COSTS	D3G031	TRU DAVIDSN A-FN-OA	5411	"Grocery Stores, Supermarkets"	EGGS FOR RESIDENTS	
LONG TERM CARE HOMES	1878-112	02-24-2012	02-27-2012	NOFRILLS TOMS 775	15.16	CAD	15.16	CAD	2741	FOOD COSTS	D3G031	TRU DAVIDSN A-FN-OA	5411	"Grocery Stores, Supermarkets"	SPRING MIX	
					96.49	CAD	96.49	CAD								
"PARKS, FORESTRY & RECREATION"	1839-84	01-31-2012	02-01-2012	RCSS WESTON 2800	49.47	CAD	49.47	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12550	61 EDGEHILL - OPER	5411	"Grocery Stores, Supermarkets"	PRE SCHOOL SNACK SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1854-74	02-08-2012	02-09-2012	DOLLAR GIANT #40047	5.65	CAD	5.65	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12550	61 EDGEHILL - OPER	5331	Variety Stores	BROOMS	
"PARKS, FORESTRY & RECREATION"	1859-58	02-13-2012	02-14-2012	NOFRILLS ROSS 782	17.84	CAD	17.84	CAD	*****	JANITORIAL SUPPLIES	P12550	61 EDGEHILL - OPER	5411	"Grocery Stores, Supermarkets"	*****	
"PARKS, FORESTRY & RECREATION"	1872-54	02-21-2012	02-22-2012	NOFRILLS ROSS 782	12.11	CAD	12.11	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12637	EDGEHL HOU-PRG SUP	5411	"Grocery Stores, Supermarkets"	CAKE MIX FOR COOKIE/CAKE DECOR. PROGRAM	
"PARKS, FORESTRY & RECREATION"	1878-113	02-24-2012	02-27-2012	THE HOME DEPOT #7013	104.02	CAD	104.02	CAD	2575	ELECTRICAL SUPPLIES	P12550	61 EDGEHILL - OPER	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1880-65	02-27-2012	02-28-2012	NOFRILLS ROSS 782	28.61	CAD	28.61	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12637	EDGEHL HOU-PRG SUP	5411	"Grocery Stores, Supermarkets"	PRESCHOOL PROGRAM SNACKS	
					217.70	CAD	217.70	CAD								
TORONTO WATER	1870-14	02-17-2012	02-21-2012	CDN TIRE STORE #00321	73.44	CAD	73.44	CAD	2590	EMERGENCY SERVICES SUPPLIES	PW1042	ISLAND SERVICES WA4	5200	Home Supply Warehouse	STEP LADDER	
TORONTO WATER	1870-15	02-19-2012	02-21-2012	CDN TIRE STORE #00321	367.19	CAD	367.19	CAD	2590	EMERGENCY SERVICES SUPPLIES	PW1042	ISLAND SERVICES WA4	5200	Home Supply Warehouse	STEP LADDER	
TORONTO WATER	1873-87	02-21-2012	02-23-2012	CDN TIRE STORE #00126	157.88	CAD	157.88	CAD	2570	JANITORIAL SUPPLIES	PW1042	ISLAND SERVICES WA4	5200	Home Supply Warehouse	JANITORIAL SUPPLIES	
					598.51	CAD	598.51	CAD								
"PARKS, FORESTRY & RECREATION"	1839-85	01-27-2012	02-01-2012	WOLSELEY CDA INC-HUDSO	43.03	CAD	43.03	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00853	ALNESS YD-TRADES	1711	"Air Conditioning, Heating, and Plumbing"	SPECIAL DOOR HANDLES	
"PARKS, FORESTRY & RECREATION"	1876-98	02-22-2012	02-24-2012	RONA # 55030	49.88	CAD	49.88	CAD	3080	M & E - HAND TOOLS	P00853	ALNESS YD-TRADES	5251	Hardware Stores	TOOLS & SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1876-99	02-22-2012	02-24-2012	CDN TIRE STORE #00126	79.09	CAD	79.09	CAD	3099	GENERAL EQUIPMENT	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	PLATFORM TRUCK (DOLLY)	
"PARKS, FORESTRY & RECREATION"	1878-114	02-24-2012	02-27-2012	LOWES #02640*	19.14	CAD	19.14	CAD	2710	GENERAL HARDWARE	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	T-STAT GUARD (HNY)	
"PARKS, FORESTRY & RECREATION"	1878-115	02-24-2012	02-27-2012	CENTURY BUILDERS HARDW	531.10	CAD	531.10	CAD	2710	GENERAL HARDWARE	P00853	ALNESS YD-TRADES	5072	Hardware Equipment and Supplies	DOOR CLOSURE	
"PARKS, FORESTRY & RECREATION"	1878-116	02-24-2012	02-27-2012	CENTURY BUILDERS HARDW	50.85	CAD	50.85	CAD	2710	GENERAL HARDWARE	P00853	ALNESS YD-TRADES	5072	Hardware Equipment and Supplies	DOOR CLOSURE	
"PARKS, FORESTRY & RECREATION"	1882-76	02-28-2012	02-29-2012	IMPERIAL HME HDWE 1401	23.70	CAD	23.70	CAD	2710	GENERAL HARDWARE	P00853	ALNESS YD-TRADES	5251	Hardware Stores	THERMOPLASTIC CAULK	
					796.79	CAD	796.79	CAD								
"PARKS, FORESTRY & RECREATION"	1841-89	02-01-2012	02-02-2012	NOFRILLS ROB S  1397	27.45	CAD	27.45	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13186	INSTSPRT-WELLESLEY	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR YOUTH COOKING PROGRAM	
"PARKS, FORESTRY & RECREATION"	1842-102	02-02-2012	02-03-2012	NOFRILLS ROB S  1397	7.90	CAD	7.90	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12838	RS- WELLES-CC-PG SUP	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR YOUTH COOKING PROGRAM	
"PARKS, FORESTRY & RECREATION"	1854-75	02-08-2012	02-09-2012	NOFRILLS COSIMO'S #347	10.65	CAD	10.65	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12838	RS- WELLES-CC-PG SUP	5411	"Grocery Stores, Supermarkets"	YOUTH COOKING PROGRAM	
"PARKS, FORESTRY & RECREATION"	1854-76	02-08-2012	02-09-2012	NOFRILLS ROB S  1397	35.20	CAD	35.20	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13186	INSTSPRT-WELLESLEY	5411	"Grocery Stores, Supermarkets"	YOUTH COOKING PROGRAM	
"PARKS, FORESTRY & RECREATION"	1863-60	02-15-2012	02-16-2012	NOFRILLS ROB S  1397	17.51	CAD	17.51	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13186	INSTSPRT-WELLESLEY	5411	"Grocery Stores, Supermarkets"	YOUTH COOKING PROGRAM	
"PARKS, FORESTRY & RECREATION"	1863-61	02-15-2012	02-16-2012	NOFRILLS ROB S  1397	11.26	CAD	11.26	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13186	INSTSPRT-WELLESLEY	5411	"Grocery Stores, Supermarkets"	YOUTH COOKING PROGRAM	
"PARKS, FORESTRY & RECREATION"	1869-98	02-17-2012	02-20-2012	NOFRILLS ROB S  1397	10.00	CAD	10.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13186	INSTSPRT-WELLESLEY	5411	"Grocery Stores, Supermarkets"	YOUTH COOKING PROGRAM	
"PARKS, FORESTRY & RECREATION"	1873-88	02-22-2012	02-23-2012	NOFRILLS ROB S  1397	5.17	CAD	5.17	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13186	INSTSPRT-WELLESLEY	5411	"Grocery Stores, Supermarkets"	YOUTH COOKING PROGRAM	
"PARKS, FORESTRY & RECREATION"	1878-117	02-24-2012	02-27-2012	NOFRILLS ROB S  1397	6.97	CAD	6.97	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13186	INSTSPRT-WELLESLEY	5411	"Grocery Stores, Supermarkets"	YOUTH COOKING PROGRAM	
					132.11	CAD	132.11	CAD								
PUBLIC HEALTH	1859-59	02-13-2012	02-14-2012	"INDIGO BOOKS   MUSIC,"	32.86	CAD	32.86	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBL HLTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROFESSIONAL RESOURCES	
PUBLIC HEALTH	1859-60	02-13-2012	02-14-2012	"INDIGO BOOKS   MUSIC,"	20.32	CAD	20.32	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBL HLTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROFESSIONAL RESOURCES	
PUBLIC HEALTH	1859-61	02-13-2012	02-14-2012	"INDIGO BOOKS   MUSIC,"	84.79	CAD	84.79	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBL HLTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROFESSIONAL RESOURCES	
PUBLIC HEALTH	1862-101	02-14-2012	02-15-2012	BRODART CANADA COMPANY	-153.02	CAD	-153.02	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBL HLTH LIBRARIES	5942	Book Stores	BOOK - PROGRAM RESOURCES	
PUBLIC HEALTH	1866-100	02-16-2012	02-17-2012	"INDIGO BOOKS   MUSIC,"	237.40	CAD	237.40	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBL HLTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROFESSIONAL RESOURCES	
PUBLIC HEALTH	1869-99	02-16-2012	02-20-2012	"INDIGO BOOKS   MUSIC,"	39.46	CAD	39.46	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBL HLTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROFESSIONAL RESOURCES	
PUBLIC HEALTH	1873-89	02-22-2012	02-23-2012	REI LEXISNEXIS CANADA	83.21	CAD	83.21	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBL HLTH LIBRARIES	7399	Business Services - Not Elsewhere Classi	BOOK - PROFESSIONAL RESOURCES	
PUBLIC HEALTH	1873-90	02-23-2012	02-23-2012	AMAZON.CA	201.56	CAD	201.56	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBL HLTH LIBRARIES	4816	Computer Network/Information Services	BOOK - PROGRAM RESOURCES	
PUBLIC HEALTH	1876-100	02-22-2012	02-24-2012	"INDIGO BOOKS   MUSIC,"	61.51	CAD	61.51	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBL HLTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROGRAM RESOURCES	
PUBLIC HEALTH	1876-101	02-23-2012	02-24-2012	CU NTL DROPOUT PREV. C	54.29	CAD	53.00	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBL HLTH LIBRARIES	8220	"Colleges, Universities, Professional Sch"	BOOK - PROFESSIONAL RESOURCES	
PUBLIC HEALTH	1876-102	02-23-2012	02-24-2012	"INDIGO BOOKS   MUSIC,"	23.05	CAD	23.05	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBL HLTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROFESSIONAL RESOURCES	
PUBLIC HEALTH	1878-118	02-24-2012	02-27-2012	AMAZON *MARKETPLCE CA	86.48	CAD	86.48	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBL HLTH LIBRARIES	4816	Computer Network/Information Services	BOOK - PROFESSIONAL RESOURCES	
PUBLIC HEALTH	1878-119	02-24-2012	02-27-2012	HAR*HARVARD BUSNSS SCH	8.05	CAD	7.86	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBL HLTH LIBRARIES	5964	Direct Marketing - Catalog Merchants	BOOK - PROFESSIONAL RESOURCES	
PUBLIC HEALTH	1878-120	02-26-2012	02-27-2012	AMAZON.CA	114.35	CAD	114.35	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBL HLTH LIBRARIES	4816	Computer Network/Information Services	BOOK - PROFESSIONAL RESOURCES	
PUBLIC HEALTH	1880-66	02-27-2012	02-28-2012	"INDIGO BOOKS   MUSIC,"	40.62	CAD	40.62	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBL HLTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROFESSIONAL RESOURCES	
PUBLIC HEALTH	1880-67	02-27-2012	02-28-2012	"INDIGO BOOKS   MUSIC,"	17.19	CAD	17.19	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBL HLTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROGRAM RESOURCES	
PUBLIC HEALTH	1882-77	02-27-2012	02-29-2012	"INDIGO BOOKS   MUSIC,"	59.42	CAD	59.42	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBL HLTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROFESSIONAL RESOURCES	
PUBLIC HEALTH	1882-78	02-28-2012	02-29-2012	"INDIGO BOOKS   MUSIC,"	27.97	CAD	27.97	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBL HLTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK - PROFESSIONAL RESOURCES	
					"1,039.51"	CAD	977.17	CAD								
							60.86	USD								
"PARKS, FORESTRY & RECREATION"	1848-140	02-03-2012	02-06-2012	NOFRILLS DICKIES 752	65.22	CAD	65.22	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13187	INTGSRV-TEY - DIST	5411	"Grocery Stores, Supermarkets"	FOODM SUPPLIES ACTIVE8 PROGRAM	
"PARKS, FORESTRY & RECREATION"	1848-141	02-03-2012	02-06-2012	NOFRILLS DICKIES 752	19.45	CAD	19.45	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13187	INTGSRV-TEY - DIST	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES POPCAN CLUB PROGRAM	
"PARKS, FORESTRY & RECREATION"	1848-142	02-03-2012	02-06-2012	SHOPPERS HOME HEALTHCA	134.98	CAD	134.98	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P13187	INTGSRV-TEY - DIST	5047	Laboratory/Medical/Dental/Ophthalmic Hos	BATTERIES FOR LIFT TO MOVE PEOPLE W/DISABILITIES	
"PARKS, FORESTRY & RECREATION"	1850-74	02-03-2012	02-07-2012	YOUR DOLLAR STORE WITH	4.52	CAD	4.52	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13187	INTGSRV-TEY - DIST	5999	Miscellaneous and Specialty Retail Store	SUPPLIES FOR ACTIVE 8 PROGRAM	
"PARKS, FORESTRY & RECREATION"	1858-137	02-11-2012	02-13-2012	DAVE AND CHARLOTTE'S N	3.39	CAD	3.39	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13187	INTGSRV-TEY - DIST	5411	"Grocery Stores, Supermarkets"	FOODM SUPPLIES ACTIVE8 PROGRAM	
"PARKS, FORESTRY & RECREATION"	1858-138	02-11-2012	02-13-2012	DAVE AND CHARLOTTE'S N	18.61	CAD	18.61	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13187	INTGSRV-TEY - DIST	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES POPCAN CLUB PROGRAM	
"PARKS, FORESTRY & RECREATION"	1858-139	02-11-2012	02-13-2012	LONG   MCQUADE LIMITED	40.68	CAD	40.68	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13187	INTGSRV-TEY - DIST	7399	Business Services - Not Elsewhere Classi	TEY COMMUNITY ADVISORY EVENT	
"PARKS, FORESTRY & RECREATION"	1858-140	02-11-2012	02-13-2012	PIZZA PIZZA 131	60.15	CAD	60.15	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13187	INTGSRV-TEY - DIST	5814	Quick Payment Service - Fast-Food Restau	FOOD SUPPLIES POPCAN CLUB PROGRAM	
"PARKS, FORESTRY & RECREATION"	1858-141	02-11-2012	02-13-2012	PIZZA PIZZA 131	132.44	CAD	132.44	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13187	INTGSRV-TEY - DIST	5814	Quick Payment Service - Fast-Food Restau	FOOD SUPPLIES POPCAN CLUB PROGRAM	
"PARKS, FORESTRY & RECREATION"	1858-142	02-11-2012	02-13-2012	LONG   MCQUADE LIMITED	-6.78	CAD	-6.78	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13187	INTGSRV-TEY - DIST	7399	Business Services - Not Elsewhere Classi	REFUND	
"PARKS, FORESTRY & RECREATION"	1862-102	02-11-2012	02-15-2012	ABSOLUTE DOLLAR	3.67	CAD	3.67	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13187	INTGSRV-TEY - DIST	5310	Discount Stores	SUPPLIES FOR POPCAN CLUB PROGRAM	
"PARKS, FORESTRY & RECREATION"	1862-103	02-11-2012	02-15-2012	ABSOLUTE DOLLAR	14.13	CAD	14.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13187	INTGSRV-TEY - DIST	5310	Discount Stores	SUPPLIES FOR BULLDOGS SOCIAL CLUB	
"PARKS, FORESTRY & RECREATION"	1862-104	02-11-2012	02-15-2012	ABSOLUTE DOLLAR	42.43	CAD	42.43	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13187	INTGSRV-TEY - DIST	5310	Discount Stores	SUPPLIES FOR ACTIVE 8 PROGRAM	
"PARKS, FORESTRY & RECREATION"	1869-100	02-17-2012	02-20-2012	PRICE CHOPPER #7768QPS	22.25	CAD	22.25	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13187	INTGSRV-TEY - DIST	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES POPCAN CLUB PROGRAM	
"PARKS, FORESTRY & RECREATION"	1872-55	02-21-2012	02-22-2012	NOFRILLS DICKIES 752	39.45	CAD	39.45	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13187	INTGSRV-TEY - DIST	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES ACTIVE8 PROGRAM	
"PARKS, FORESTRY & RECREATION"	1873-91	02-21-2012	02-23-2012	YOUR DOLLAR STORE WITH	13.56	CAD	13.56	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13187	INTGSRV-TEY - DIST	5999	Miscellaneous and Specialty Retail Store	CRAFT ITEMS	
"PARKS, FORESTRY & RECREATION"	1876-103	02-23-2012	02-24-2012	NOFRILLS DICKIES 752	43.00	CAD	43.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13187	INTGSRV-TEY - DIST	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES POPCAN CLUB PROGRAM	
"PARKS, FORESTRY & RECREATION"	1878-121	02-24-2012	02-27-2012	SHOPPERS DRUG MART0823	94.00	CAD	94.00	CAD	4118	TICKETS AND ADMISSION FEES	P13187	INTGSRV-TEY - DIST	5912	"Drug Stores, Pharmacies"	TTC TICKETS FOR PARTICIPANTS	
					745.15	CAD	745.15	CAD								
"PARKS, FORESTRY & RECREATION"	1841-90	02-01-2012	02-02-2012	HH GOODE AND SON 1987	587.00	CAD	587.00	CAD	2620	ANIMAL CARE SUPPLIES	P01058	RIVERDALE FARM-ANIMA	5995	Pet Shops - Pet Food and Supplies	ANIMAL CARE SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1842-103	02-01-2012	02-03-2012	TOWN   COUNTRY ANIMAL	361.12	CAD	361.12	CAD	4087	PROFESSIONAL SERVICES -VETERINARIAN FEES	P01058	RIVERDALE FARM-ANIMA	0742	Veterinary Services	VET SERVICE	
"PARKS, FORESTRY & RECREATION"	1866-101	02-15-2012	02-17-2012	TOWN   COUNTRY ANIMAL	743.92	CAD	743.92	CAD	4087	PROFESSIONAL SERVICES -VETERINARIAN FEES	P01058	RIVERDALE FARM-ANIMA	0742	Veterinary Services	VET. SERVICES	
					"1,692.04"	CAD	"1,692.04"	CAD								
TRANSPORTATION SERVICES 	1839-86	01-30-2012	02-01-2012	CDN TIRE STORE #00264	152.90	CAD	152.90	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TP0219	RW MGMT & OVERHEAD-D	5200	Home Supply Warehouse		
TRANSPORTATION SERVICES 	1841-91	01-31-2012	02-02-2012	CDN TIRE STORE #00030	40.62	CAD	40.62	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TP0219	RW MGMT & OVERHEAD-D	5200	Home Supply Warehouse		
TRANSPORTATION SERVICES 	1851-90	02-03-2012	02-08-2012	ACTION LOCKSMITHS INC.	20.34	CAD	20.34	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TP0219	RW MGMT & OVERHEAD-D	7399	Business Services - Not Elsewhere Classi		
TRANSPORTATION SERVICES 	1854-77	02-06-2012	02-09-2012	STORWELL SELF STORAGE	"1,218.37"	CAD	"1,218.37"	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TP0219	RW MGMT & OVERHEAD-D	4225	"Public Warehousing - Farm Products, Refr"		
					"1,432.23"	CAD	"1,432.23"	CAD								
"PARKS, FORESTRY & RECREATION"	1848-143	02-02-2012	02-06-2012	WAL-MART # 3105	40.54	CAD	40.54	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06069	LAWRENCE HGTS-SOC PG	5310	Discount Stores	SUPPLIES FOR PRESCHOOL PROGRAM	
"PARKS, FORESTRY & RECREATION"	1856-102	02-09-2012	02-10-2012	EMILIANO  ANA'S NO FRI	27.85	CAD	27.85	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06069	LAWRENCE HGTS-SOC PG	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR PRESCHOOL PROGRAM	
"PARKS, FORESTRY & RECREATION"	1862-105	02-14-2012	02-15-2012	EMILIANO  ANA'S NO FRI	5.98	CAD	5.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06069	LAWRENCE HGTS-SOC PG	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES - YOUNG BOYS IN CHARGE PROGRAM	
"PARKS, FORESTRY & RECREATION"	1873-92	02-22-2012	02-23-2012	EMILIANO  ANA'S NO FRI	90.82	CAD	90.82	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06069	LAWRENCE HGTS-SOC PG	5411	"Grocery Stores, Supermarkets"	"FOOD - AFTER SCHOOL PROGRAM, YOUTH CLUBS"	
"PARKS, FORESTRY & RECREATION"	1876-104	02-23-2012	02-24-2012	STAPLES STORE #15	8.46	CAD	8.46	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11269	LAWRENCE HTS-ARTS-VI	5943	"Office, School Supply, and Stationery St"	MARKERS FOR ART & DESIGN PROGRAM	
"PARKS, FORESTRY & RECREATION"	1878-122	02-23-2012	02-27-2012	THE HOME DEPOT #7129	119.61	CAD	119.61	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11269	LAWRENCE HTS-ARTS-VI	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1878-123	02-23-2012	02-27-2012	THE HOME DEPOT #7129	44.95	CAD	44.95	CAD	2715	PAINT SUPPLIES	P04660	LAWRENCE HGTS-SUMR C	5200	Home Supply Warehouse	*****	
					338.21	CAD	338.21	CAD								
"PARKS, FORESTRY & RECREATION"	1858-143	02-10-2012	02-13-2012	LEE VALLEY TOOLS 800-2	583.08	CAD	583.08	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00545	S-CENTRAL1-TURF&HORT	5251	Hardware Stores	"TREE PRUNING KITS, BULB PLANTERS"	
"PARKS, FORESTRY & RECREATION"	1863-62	02-14-2012	02-16-2012	CDN TIRE STORE #00150	45.18	CAD	45.18	CAD	3050	M & E - KITCHEN	P00545	S-CENTRAL1-TURF&HORT	5200	Home Supply Warehouse	KETTLES	
"PARKS, FORESTRY & RECREATION"	1863-63	02-14-2012	02-16-2012	SPEED FASTENING SYSTEM	104.86	CAD	104.86	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00545	S-CENTRAL1-TURF&HORT	5712	"Equipment, Furniture, and Home Furnishin"	DROP-IN ANCHOR	
"PARKS, FORESTRY & RECREATION"	1869-101	02-17-2012	02-20-2012	XS CARGO SCARBOROUGH	50.65	CAD	50.65	CAD	3080	M & E - HAND TOOLS	P00545	S-CENTRAL1-TURF&HORT	5331	Variety Stores	REACHING TOOLS	
"PARKS, FORESTRY & RECREATION"	1869-102	02-17-2012	02-20-2012	THE HOME DEPOT #7001	168.36	CAD	168.36	CAD	2710	GENERAL HARDWARE	P00545	S-CENTRAL1-TURF&HORT	5200	Home Supply Warehouse	*****	
					952.13	CAD	952.13	CAD								
LEGAL SERVICES	1850-75	02-06-2012	02-07-2012	TERANET EXPRESS	16.00	CAD	16.00	CAD	4827	ONLINE SERVICES FEES	LL5606	FAC & REAL ESTATE	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	1850-76	02-06-2012	02-07-2012	TERANET EXPRESS	3.00	CAD	3.00	CAD	4827	ONLINE SERVICES FEES	LL5606	FAC & REAL ESTATE	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	1851-91	02-07-2012	02-08-2012	TERANET EXPRESS	24.00	CAD	24.00	CAD	4827	ONLINE SERVICES FEES	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	1851-92	02-07-2012	02-08-2012	TERANET EXPRESS	19.00	CAD	19.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	1851-93	02-07-2012	02-08-2012	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	1854-78	02-08-2012	02-09-2012	TERANET EXPRESS	20.00	CAD	20.00	CAD	4827	ONLINE SERVICES FEES	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	1854-79	02-08-2012	02-09-2012	TERANET EXPRESS	2.50	CAD	2.50	CAD	4827	ONLINE SERVICES FEES	LL5403	MUNICIPAL LICENSING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	1856-103	02-09-2012	02-10-2012	TERANET EXPRESS	22.00	CAD	22.00	CAD	4827	ONLINE SERVICES FEES	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	1856-104	02-09-2012	02-10-2012	TERANET EXPRESS	12.00	CAD	12.00	CAD	4827	ONLINE SERVICES FEES	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	1856-105	02-09-2012	02-10-2012	TERANET EXPRESS	18.00	CAD	18.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	9222	Fines	TITLE SEARCHES	
