Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose		
"PARKS, FORESTRY & RECREATION"	4097-1	2016-06-23	2016-06-27	NOFRILLS VINCE'S #3930	-29.20	CAD	-29.20	CAD	4233	PCARD RECOVERIES	P04637	BLACKSMITH PS-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	DISPUTE RESOLUTION		
"PARKS, FORESTRY & RECREATION"	4097-3	2016-06-23	2016-06-24	NOFRILLS VINCE'S #3930	29.20	CAD	29.20	CAD	4233	PCARD RECOVERIES	P04637	BLACKSMITH PS-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	DISPUTED		
					"2,479.36"	CAD	"2,479.36"	CAD									
TORONTO PARAMEDIC SERVICES	4097-4	2016-06-02	2016-06-15	MICROSOFT   *STORE	"-1,205.71"	CAD	"-1,205.71"	CAD	3420	COMPUTERS - SOFTWARE	B31100	COMMUNICATIONS SYSTEMS SUPPORT	5734	Computer Software Stores	CREDIT AN ITEM FROM MICROSOFT		
					"-1,205.71"	CAD	"-1,205.71"	CAD									
"PARKS, FORESTRY & RECREATION"	4090-214	2016-06-29	2016-06-30	LAURENTIAN ATHLETICS I	511.89	CAD	511.89	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10959	LAMPORT STADIUM-PRGM SUPPORT	5941	Sporting Goods Stores	SOCCER NETS		
					511.89	CAD	511.89	CAD									
LONG TERM CARE HOMES & SERVICES	4084-296	2016-06-24	2016-06-27	METRO #37	19.90	CAD	19.90	CAD	2741	FOOD COSTS	D3G032	TRUE DAVIDSON ACRES-FN-RF	5411	"Grocery Stores, Supermarkets"	HAMBURGER BUNS AND HOT DOG BUNS FOR FLAG RAISING		
LONG TERM CARE HOMES & SERVICES	4086-160	2016-06-27	2016-06-28	FOOD BASICS #653	12.10	CAD	12.10	CAD	2741	FOOD COSTS	D3G032	TRUE DAVIDSON ACRES-FN-RF	5411	"Grocery Stores, Supermarkets"	FRESH FRUITS FOR PRIDE CATERING		
					32.00	CAD	32.00	CAD									
ECONOMIC DEVELOPMENT & CULTURE	4051-279	2016-06-03	2016-06-06	BECK TAXI	15.00	CAD	15.00	CAD	4452	TRANSPORTATION-TAXIS-CLIENTS	ED0054	EDUCATION SERVICES DEVELOPMENT	4121	Limousines and Taxicabs	TAXIFARE		
ECONOMIC DEVELOPMENT & CULTURE	4054-166	2016-06-07	2016-06-08	EB WORLD FUTURE CITIE	619.75	CAD	619.75	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	ED0054	EDUCATION SERVICES DEVELOPMENT	7399	Business Services - Not Elsewhere Classi	REGISTRATION FEE		
					634.75	CAD	634.75	CAD									
"PARKS, FORESTRY & RECREATION"	4097-2	2016-06-23	2016-06-27	NOFRILLS VINCE'S #3930	29.20	CAD	29.20	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04637	BLACKSMITH PS-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	FOOD FORREC PRGM		
					29.20	CAD	29.20	CAD									
ECONOMIC DEVELOPMENT & CULTURE	4051-280	2016-06-03	2016-06-06	MELGOR	140.01	CAD	140.01	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5941	Sporting Goods Stores	2 GLASS WITH LOGO		
ECONOMIC DEVELOPMENT & CULTURE	4064-291	2016-06-10	2016-06-13	NO FRILLS MARIO   SELI	5.76	CAD	5.76	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5411	"Grocery Stores, Supermarkets"	BOTTLED WATER		
ECONOMIC DEVELOPMENT & CULTURE	4066-106	2016-06-13	2016-06-14	UPAKNEE EMAIL	56.50	CAD	56.50	CAD	4414	ADVERTISING & PROMOTION	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	7392	"Consulting, Management, and Public Relat"	EMAIL DISTRIBUTION		
ECONOMIC DEVELOPMENT & CULTURE	4076-122	2016-06-20	2016-06-21	RABBA 177            Q	21.96	CAD	21.96	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5411	"Grocery Stores, Supermarkets"	CREAM AND MILK		
ECONOMIC DEVELOPMENT & CULTURE	4082-193	2016-06-24	2016-06-24	THE WRITERS' UNION OF	79.10	CAD	79.10	CAD	4102	ENTERTAINER AND BAND FEES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	8398	"Organizations, Charitable and Social Ser"	READING FEES		
					303.33	CAD	303.33	CAD									
ECONOMIC DEVELOPMENT & CULTURE	4054-167	2016-06-06	2016-06-08	DIAMOND TAXI CAB DISPA	15.00	CAD	15.00	CAD	4452	TRANSPORTATION-TAXIS-CLIENTS	ED0123	DESIGN & INNOVATION SERVICES	4121	Limousines and Taxicabs	TAXIFARE		
ECONOMIC DEVELOPMENT & CULTURE	4074-245	2016-06-18	2016-06-20	EB SHOW ME THE MONEY	30.63	CAD	30.63	CAD	4118	TICKETS AND ADMISSION FEES	ED0128	"FASHION, APPAREL & TEXTILE SERVICES"	7399	Business Services - Not Elsewhere Classi	TICKET TO EVENT.		
					45.63	CAD	45.63	CAD									
"PARKS, FORESTRY & RECREATION"	4051-281	2016-06-04	2016-06-06	WMT SUPRCTR #1116	23.73	CAD	23.73	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02613	CUMMER-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	TRAINING SUPPLIES		
"PARKS, FORESTRY & RECREATION"	4074-246	2016-06-17	2016-06-20	WMT SUPRCTR #1116	67.39	CAD	67.39	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	*****	"MULTIPLE COST CENTRES, WBS ELEMENTS OR WORK ORDERS"	5411	"Grocery Stores, Supermarkets"	FANS		
"PARKS, FORESTRY & RECREATION"	4076-123	2016-06-17	2016-06-21	CDN TIRE STORE #00192	289.78	CAD	289.78	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	*****	"MULTIPLE COST CENTRES, WBS ELEMENTS OR WORK ORDERS"	5200	Home Supply Warehouse	UMBRELLA STANDS & UMBRELLA		
					380.90	CAD	380.90	CAD									
"PARKS, FORESTRY & RECREATION"	4045-203	2016-05-30	2016-06-01	WAL-MART # 3031	51.57	CAD	51.57	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P12052	HILLTOP-COMM CTR-PRGM SUPPORT	5310	Discount Stores	"GARDEN SOIL, GLOVES - FOR SCIENCE"		
"PARKS, FORESTRY & RECREATION"	4047-200	2016-05-31	2016-06-02	THE HOME DEPOT #7013	29.31	CAD	29.31	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P12052	HILLTOP-COMM CTR-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  CULTIVATOR		
"PARKS, FORESTRY & RECREATION"	4047-201	2016-06-01	2016-06-02	METRO #748	89.49	CAD	89.49	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06456	HILLTOP CS-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - MILK, CHEESE, BREAD"		
"PARKS, FORESTRY & RECREATION"	4047-202	2016-05-31	2016-06-02	THE HOME DEPOT #7013	50.52	CAD	50.52	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P12052	HILLTOP-COMM CTR-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  CULTIVATOR		
"PARKS, FORESTRY & RECREATION"	4049-168	2016-06-02	2016-06-03	METRO #748	48.48	CAD	48.48	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05098	HILLTOP CS-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - JUICE, POPCORN, GRANOLA BARS"		
"PARKS, FORESTRY & RECREATION"	4059-175	2016-06-09	2016-06-10	BEST BUY CANADA #932	514.14	CAD	514.14	CAD	3030	M & E - OFFICE	P05098	HILLTOP CS-SUMMER CAMPS	5732	Electronic Sales	PROJECTOR		
"PARKS, FORESTRY & RECREATION"	4059-176	2016-06-09	2016-06-10	MICHAELS #3933	125.14	CAD	125.14	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05098	HILLTOP CS-SUMMER CAMPS	5945	"Game, Toy, and Hobby Shops"	"ACRYLIC PAINTS, WOOD FRAMES"		
"PARKS, FORESTRY & RECREATION"	4064-292	2016-06-09	2016-06-13	WAL-MART # 3740	171.12	CAD	171.12	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P02119	HILLTOP CS-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"CAKE MIX, SMARTIES, RIBBONS"		
"PARKS, FORESTRY & RECREATION"	4070-196	2016-06-14	2016-06-16	WAL-MART # 3740	138.27	CAD	138.27	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05098	HILLTOP CS-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"KNOBBY FOOTBALLS, BASKETS, BALLS"		
"PARKS, FORESTRY & RECREATION"	4074-247	2016-06-17	2016-06-20	WAL-MART # 5742	56.19	CAD	56.19	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05098	HILLTOP CS-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"JUICE, CHEWY BARS"		
"PARKS, FORESTRY & RECREATION"	4078-174	2016-06-21	2016-06-22	IKEA ETOBICOKE	370.64	CAD	370.64	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P05098	HILLTOP CS-SUMMER CAMPS	5712	"Equipment, Furniture, and Home Furnishin"	DRAWERS FOR STORAGE		
"PARKS, FORESTRY & RECREATION"	4082-194	2016-06-23	2016-06-24	BEST BUY CANADA #938	45.19	CAD	45.19	CAD	2710	GENERAL HARDWARE	P05098	HILLTOP CS-SUMMER CAMPS	5732	Electronic Sales	HDMI CABLE		
"PARKS, FORESTRY & RECREATION"	4082-195	2016-06-23	2016-06-24	MICHAELS #4921	77.17	CAD	77.17	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05098	HILLTOP CS-SUMMER CAMPS	5945	"Game, Toy, and Hobby Shops"	ARTS & CRAFT  SUPPLIES		
					"1,767.23"	CAD	"1,767.23"	CAD									
LONG TERM CARE HOMES & SERVICES	4049-169	2016-06-02	2016-06-03	LOWES #02631*	427.14	CAD	427.14	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3J061	CAREFREE LODGE-MT-OA	5200	Home Supply Warehouse	**MORE**  ECO VEGTRUG 1.5M - RAISED PLANTER		
LONG TERM CARE HOMES & SERVICES	4051-282	2016-06-02	2016-06-06	THE HOME DEPOT #7001	91.85	CAD	91.85	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3Z011	REGIONAL SERVICES-PROGRAM ADMIN	5200	Home Supply Warehouse	**MORE**  MG PM 60.5L		
LONG TERM CARE HOMES & SERVICES	4053-137	2016-06-03	2016-06-07	CDN TIRE STORE #00192	292.24	CAD	292.24	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3Z011	REGIONAL SERVICES-PROGRAM ADMIN	5200	Home Supply Warehouse	GARDEN SUPPLIES		
LONG TERM CARE HOMES & SERVICES	4054-168	2016-06-06	2016-06-08	THE HOME DEPOT #7106	72.82	CAD	72.82	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3J061	CAREFREE LODGE-MT-OA	5200	Home Supply Warehouse	**MORE**  SEALING TAPE		
LONG TERM CARE HOMES & SERVICES	4057-186	2016-06-08	2016-06-09	SEXAUER	405.53	CAD	405.53	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3J061	CAREFREE LODGE-MT-OA	5074	Plumbing and Heating Equipment	BUILDING SUPPLIES		
LONG TERM CARE HOMES & SERVICES	4070-197	2016-06-14	2016-06-16	SEXAUER	67.35	CAD	67.35	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3J061	CAREFREE LODGE-MT-OA	5074	Plumbing and Heating Equipment	BUILDING SUPPLIES		
LONG TERM CARE HOMES & SERVICES	4070-198	2016-06-15	2016-06-16	RONA # 55030	212.87	CAD	212.87	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3J061	CAREFREE LODGE-MT-OA	5251	Hardware Stores	BUILDING SUPPLIES		
LONG TERM CARE HOMES & SERVICES	4082-196	2016-06-23	2016-06-24	RONA # 55030	34.08	CAD	34.08	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3J061	CAREFREE LODGE-MT-OA	5251	Hardware Stores	BUILDING SUPPLIES		
LONG TERM CARE HOMES & SERVICES	4084-297	2016-06-23	2016-06-27	THE HOME DEPOT #7106	32.27	CAD	32.27	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3J061	CAREFREE LODGE-MT-OA	5200	Home Supply Warehouse	HINGE		
					"1,636.15"	CAD	"1,636.15"	CAD									
TORONTO WATER	4072-188	2016-06-15	2016-06-17	MOE-DRINK WAT WASTE CE	175.00	CAD	175.00	CAD	4830	PERMIT & LICENSE FEES	TW7075	WTR TREAT & SUPPLY: SYSTEM CONTROL	9399	Government Services - Not Elsewhere Clas	DW CERTIFICATE		
					175.00	CAD	175.00	CAD									
"PARKS, FORESTRY & RECREATION"	4080-172	2016-06-21	2016-06-23	CDN TIRE STORE #00294	37.96	CAD	37.96	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12444	RW-CA-SUMMER CAMPS-WN1 CLAREVILLE	5200	Home Supply Warehouse	STORAGE BINS FOR CAMP SUPPLIES		
"PARKS, FORESTRY & RECREATION"	4080-173	2016-06-22	2016-06-23	NOFRILLS SHERIFFS 270	15.14	CAD	15.14	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12444	RW-CA-SUMMER CAMPS-WN1 CLAREVILLE	5411	"Grocery Stores, Supermarkets"	"VEGGIE DOGS, WEINER, KETCHUP"		
"PARKS, FORESTRY & RECREATION"	4080-174	2016-06-22	2016-06-23	NOFRILLS SHERIFFS 270	1.46	CAD	1.46	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12444	RW-CA-SUMMER CAMPS-WN1 CLAREVILLE	5411	"Grocery Stores, Supermarkets"	SAFEFY MATCHES		
"PARKS, FORESTRY & RECREATION"	4084-298	2016-06-26	2016-06-27	DOLLAR TREE #40138	43.79	CAD	43.79	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12444	RW-CA-SUMMER CAMPS-WN1 CLAREVILLE	5331	Variety Stores	SLOTED BUCKETS- STAFF TRAINING		
"PARKS, FORESTRY & RECREATION"	4086-161	2016-06-27	2016-06-28	FORTINO'S (QUEEN'S PLA	18.06	CAD	18.06	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12444	RW-CA-SUMMER CAMPS-WN1 CLAREVILLE	5411	"Grocery Stores, Supermarkets"	NN VAN MILK BARS		
"PARKS, FORESTRY & RECREATION"	4088-214	2016-06-28	2016-06-29	FORTINO'S (QUEEN'S PLA	57.00	CAD	57.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12444	RW-CA-SUMMER CAMPS-WN1 CLAREVILLE	5411	"Grocery Stores, Supermarkets"	"WEINERS, KETCHUP, WEINER ROLLS"		
"PARKS, FORESTRY & RECREATION"	4090-215	2016-06-29	2016-06-30	NOFRILLS SHERIFFS 270	132.17	CAD	132.17	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12444	RW-CA-SUMMER CAMPS-WN1 CLAREVILLE	5411	"Grocery Stores, Supermarkets"	"JELLO, SUGAR, SYRUP, GUMMY BEARS"		
"PARKS, FORESTRY & RECREATION"	4090-216	2016-06-29	2016-06-30	DOLLAR TREE #40138	1.41	CAD	1.41	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12444	RW-CA-SUMMER CAMPS-WN1 CLAREVILLE	5331	Variety Stores	STATIONERY		
					306.99	CAD	306.99	CAD									
ECONOMIC DEVELOPMENT & CULTURE	4059-177	2016-06-09	2016-06-10	TORONTO PARKING AUTHOR	2.00	CAD	2.00	CAD	4770	PARKING EXPENSES (INTOWN)	SE0003	DOORS OPEN	7523	Automobile Parking Lots and Garages	PARKING		
ECONOMIC DEVELOPMENT & CULTURE	4074-248	2016-06-17	2016-06-20	PAYPAL *SUPERSCHOOL	377.42	CAD	377.42	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	SE0007	CENTRAL-MEL LASTMAN SQ-COMM EVENTS	8211	"Schools, Elementary and Secondary"	TATTOOS		
ECONOMIC DEVELOPMENT & CULTURE	4076-124	2016-06-20	2016-06-21	PRECISE PARKLINK INC	5.75	CAD	5.75	CAD	4770	PARKING EXPENSES (INTOWN)	SE0003	DOORS OPEN	7523	Automobile Parking Lots and Garages	PARKING		
ECONOMIC DEVELOPMENT & CULTURE	4090-217	2016-06-28	2016-06-30	WAL-MART #3106	215.53	CAD	215.53	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	SE0007	CENTRAL-MEL LASTMAN SQ-COMM EVENTS	5411	"Grocery Stores, Supermarkets"	SNACKS FOR EVENT.		
ECONOMIC DEVELOPMENT & CULTURE	4090-218	2016-06-29	2016-06-30	TORONTO PARKING AUTHOR	11.00	CAD	11.00	CAD	4770	PARKING EXPENSES (INTOWN)	SE0003	DOORS OPEN	7523	Automobile Parking Lots and Garages	PARKING		
					611.70	CAD	611.70	CAD									
"PARKS, FORESTRY & RECREATION"	4045-204	2016-05-31	2016-06-01	FRESHCO 9873	30.62	CAD	30.62	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07895	MCGREGOR PARK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR KIDS IN THE KITCHEN PROGRAM		
"PARKS, FORESTRY & RECREATION"	4054-169	2016-06-07	2016-06-08	FRESHCO 9873	40.17	CAD	40.17	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07895	MCGREGOR PARK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	KIDS IN THE KITCHEN PRGM SUPPLIES		
"PARKS, FORESTRY & RECREATION"	4078-175	2016-06-21	2016-06-22	FOOD BASICS #628	30.47	CAD	30.47	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07895	MCGREGOR PARK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	SUMMER PRESCHOOL PARTY SUPPLIES		
"PARKS, FORESTRY & RECREATION"	4080-175	2016-06-21	2016-06-23	YOUR DOLLAR STORE WITH	58.76	CAD	58.76	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07895	MCGREGOR PARK-SOCIAL PRGM	5999	Miscellaneous and Specialty Retail Store	SUMMER PRESCHOOL PARTY SUPPLIES		
"PARKS, FORESTRY & RECREATION"	4080-176	2016-06-22	2016-06-23	PARTY CITY #2007	6.74	CAD	6.74	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07895	MCGREGOR PARK-SOCIAL PRGM	5947	"Card, Gift, Novelty, and Souvenir Shops"	SUMMER PRESCHOOL PARTY SUPPLIES		
"PARKS, FORESTRY & RECREATION"	4080-177	2016-06-22	2016-06-23	MICHAELS #4918	44.38	CAD	44.38	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07895	MCGREGOR PARK-SOCIAL PRGM	5945	"Game, Toy, and Hobby Shops"	SUMMER PRESCHOOL PARTY SUPPLIES		
"PARKS, FORESTRY & RECREATION"	4084-299	2016-06-24	2016-06-27	THE HOME DEPOT #7001	11.61	CAD	11.61	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07692	MCGREGOR PARK-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  ELECTRICAL		
					222.75	CAD	222.75	CAD									
"PARKS, FORESTRY & RECREATION"	4057-187	2016-06-09	2016-06-09	HTL*HIGHTAIL	60.90	CAD	46.80	USD	4760	MEMBERSHIP FEES	P12594	RC-OW - YOUTH SPORT PROGRAMS	5045	"Computers, Computer Peripheral Equipment"	MEMBERSHIP		
"PARKS, FORESTRY & RECREATION"	4059-178	2016-06-10	2016-06-10	AMAZON *MARKETPLCE CA	7.79	CAD	7.79	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12594	RC-OW - YOUTH SPORT PROGRAMS	4816	Computer Network/Information Services	EAR HEADPHONES		
"PARKS, FORESTRY & RECREATION"	4072-189	2016-06-15	2016-06-17	THE GLOBE AND MAIL	27.07	CAD	27.07	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P12664	GENERAL MANAGERS OFFICE	5192	"Books, Periodicals, and Newspapers"	MONTHLY SUBSCRIPTION		
"PARKS, FORESTRY & RECREATION"	4072-190	2016-06-16	2016-06-17	LOBLAWS 4.2	105.73	CAD	105.73	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12594	RC-OW - YOUTH SPORT PROGRAMS	5411	"Grocery Stores, Supermarkets"	PLANTS & SOIL		
"PARKS, FORESTRY & RECREATION"	4078-176	2016-06-21	2016-06-22	TO BUILDING/PLANNING S	194.24	CAD	194.24	CAD	4995	OTHER EXPENSES	P12594	RC-OW - YOUTH SPORT PROGRAMS	9399	Government Services - Not Elsewhere Clas	BUILDING PERMIT		
"PARKS, FORESTRY & RECREATION"	4090-219	2016-06-28	2016-06-30	USB CANADA CAD EPAY	875.76	CAD	875.76	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P00255	PARKS DIRECTOR'S OFFICE	7299	Other Services (Not Elsewhere Classified	USB STICKS		
					"1,271.49"	CAD	"1,210.59"	CAD									
							46.80	USD									
"PARKS, FORESTRY & RECREATION"	4045-205	2016-05-31	2016-06-01	RCSS WESTON 2800	61.84	CAD	61.84	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5411	"Grocery Stores, Supermarkets"	"VEG PLATTER, POPCORN, WATERMELON"		
"PARKS, FORESTRY & RECREATION"	4051-283	2016-06-02	2016-06-06	WOW WHAT A DEAL	141.49	CAD	141.49	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5310	Discount Stores	CAMP SUPPLIES		
"PARKS, FORESTRY & RECREATION"	4051-284	2016-06-02	2016-06-06	WOW WHAT A DEAL	228.63	CAD	228.63	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5310	Discount Stores	CAMP SUPPLIES		
"PARKS, FORESTRY & RECREATION"	4051-285	2016-06-03	2016-06-06	COSTCO WHOLESALE W1169	213.03	CAD	213.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5300	Wholesale Clubs	"JUICE, GRAN BARS, CRAYOLA TUB"		
"PARKS, FORESTRY & RECREATION"	4051-286	2016-06-03	2016-06-06	WOW WHAT A DEAL	44.05	CAD	44.05	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5310	Discount Stores	CAMP SUPPLIES		
"PARKS, FORESTRY & RECREATION"	4057-188	2016-06-08	2016-06-09	TORONTO STAMP INC	356.74	CAD	356.74	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5943	"Office, School Supply, and Stationery St"	ENGRAVED PLASTIC BADGE		
"PARKS, FORESTRY & RECREATION"	4066-107	2016-06-13	2016-06-14	CANADIAN DOLLAR	31.64	CAD	31.64	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5310	Discount Stores	CAMP SUPPLIES		
"PARKS, FORESTRY & RECREATION"	4068-141	2016-06-13	2016-06-15	SHOPPERSDRUGMART0863	3.29	CAD	3.29	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5912	"Drug Stores, Pharmacies"	FOOD COLORING - ART SUPPLY		
"PARKS, FORESTRY & RECREATION"	4070-199	2016-06-15	2016-06-16	COSTCO WHOLESALE W1169	282.43	CAD	282.43	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5300	Wholesale Clubs	"SUGAR, JUICE, NUTRIGRAIN, CUTLERY"		
"PARKS, FORESTRY & RECREATION"	4076-125	2016-06-20	2016-06-21	BEST BUY #57	248.58	CAD	248.58	CAD	3020	M & E - COMMUNICATIONS	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5732	Electronic Sales	2 WAY RADIOS		
"PARKS, FORESTRY & RECREATION"	4078-177	2016-06-21	2016-06-22	COSTCO WHOLESALE W1169	463.20	CAD	463.20	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5300	Wholesale Clubs	"BURGES, KALE, CHIA, COOKING PANS"		
"PARKS, FORESTRY & RECREATION"	4078-178	2016-06-21	2016-06-22	CANADIAN DOLLAR	9.02	CAD	9.02	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5310	Discount Stores	CAMP SUPPLIES		
"PARKS, FORESTRY & RECREATION"	4078-179	2016-06-21	2016-06-22	4IMPRINT	257.55	CAD	257.55	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5969	Direct Marketing - Other Direct Marketer	**MORE**  POLYPROPYLENE DRAWSTRING S		
"PARKS, FORESTRY & RECREATION"	4080-178	2016-06-21	2016-06-23	CDN TIRE STORE #00119	64.00	CAD	64.00	CAD	2270	PROPANE GAS	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5200	Home Supply Warehouse	PROPANE FOR BBQ		
"PARKS, FORESTRY & RECREATION"	4080-179	2016-06-21	2016-06-23	WMT SUPRCTR #1126	54.04	CAD	54.04	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5411	"Grocery Stores, Supermarkets"	WAIST BAGS		
"PARKS, FORESTRY & RECREATION"	4080-180	2016-06-21	2016-06-23	WMT SUPRCTR #1126	48.52	CAD	48.52	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5411	"Grocery Stores, Supermarkets"	"RELISH, BBQ BRUSH, VEG HOT DOG"		
"PARKS, FORESTRY & RECREATION"	4084-300	2016-06-24	2016-06-27	COSTCO WHOLESALE W1169	536.38	CAD	536.38	CAD	3020	M & E - COMMUNICATIONS	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5300	Wholesale Clubs	2 WAY RADIOS		
"PARKS, FORESTRY & RECREATION"	4088-215	2016-06-27	2016-06-29	WOW WHAT A DEAL	396.74	CAD	396.74	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5310	Discount Stores	CRAFT SUPPLIES		
