Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Centre / WBS Element / Order 	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	3686-120	2015-09-28	2015-09-29	DOLLAR TREE #40209	55.09	CAD	55.09	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07766	CEDARBROOK CC-ARTS-VISL/PERF	5331	Variety Stores	"CRAFTS PROGRAM SUPPLIES-BEADS,HOLE PUNCH,YARN"	
"PARKS, FORESTRY & RECREATION"	3687-147	2015-09-29	2015-09-30	NOFRILLS DAVE'S #3924	25.64	CAD	25.64	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07766	CEDARBROOK CC-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	"COOKING PROGRAM SUPPLIES-COCONUT,NUTELLA,FRUITS"	
					206.25	CAD	206.25	CAD								
"PARKS, FORESTRY & RECREATION"	3653-111	2015-09-02	2015-09-04	CDN TIRE STORE #00030	20.34	CAD	20.34	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	LOPPERS	
					20.34	CAD	20.34	CAD								
"PARKS, FORESTRY & RECREATION"	3651-101	2015-08-31	2015-09-02	THE HOME DEPOT #7073	47.36	CAD	47.36	CAD	2575	ELECTRICAL SUPPLIES	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	**MORE**  CON. STRAP	
"PARKS, FORESTRY & RECREATION"	3653-112	2015-09-03	2015-09-04	LOWES #02640*	16.36	CAD	16.36	CAD	2575	ELECTRICAL SUPPLIES	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	**MORE**  UTILITECH WIRED PUSH BUTTON	
					63.72	CAD	63.72	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3651-102	2015-09-01	2015-09-02	DELYEA PIANOS INC.	137.30	CAD	137.30	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	AH0058	HS-MH-COLLECTION REGISTRATN-MONTGOMERY	5733	"Music Stores - Musical Instruments, Pian"	PIANO TUNING	
ECONOMIC DEVELOPMENT & CULTURE	3663-101	2015-09-10	2015-09-11	NO FRILLS #753	64.04	CAD	64.04	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0115	HS-MH-RETAIL-MONTGOMERY	5411	"Grocery Stores, Supermarkets"	"WEINER ROLLS, WEINERS REGULAR"	
					201.34	CAD	201.34	CAD								
"PARKS, FORESTRY & RECREATION"	3684-260	2015-09-25	2015-09-28	COSTCO WHOLESALE W524	190.53	CAD	190.53	CAD	2610	KITCHEN SUPPLIES	P12052	HILLTOP-COMM CTR-PRGM SUPPORT	5300	Wholesale Clubs	"PROGRAM SUPPLIES-KITCHEN TOWEL,KNIFESET,OVEN MITT"	
"PARKS, FORESTRY & RECREATION"	3684-261	2015-09-25	2015-09-28	WAL-MART # 3031	251.61	CAD	251.61	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06456	HILLTOP CS-ARTS-VISL/PERF	5310	Discount Stores	"PROGRAM SUPPLIES/ACRYLIC PAINTING-CANVAS,BRUSH SET"	
					442.14	CAD	442.14	CAD								
"PARKS, FORESTRY & RECREATION"	3657-137	2015-09-04	2015-09-08	ATLAS MACHINERY SUPPLY	413.52	CAD	413.52	CAD	3099	GENERAL EQUIPMENT	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5251	Hardware Stores	GRINDER AND SHOP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3664-164	2015-09-11	2015-09-14	JOHNSTON INDUSTRIAL PL	"1,160.59"	CAD	"1,160.59"	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5085	Industrial Supplies Not Elsewhere Classi	FRP PLYWOOD	
"PARKS, FORESTRY & RECREATION"	3664-165	2015-09-11	2015-09-14	ATLAS MACHINERY SUPPLY	679.43	CAD	679.43	CAD	3099	GENERAL EQUIPMENT	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5251	Hardware Stores	SKI SAW AND SHOP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3664-166	2015-09-11	2015-09-14	THE HOME DEPOT #7080	13.42	CAD	13.42	CAD	2710	GENERAL HARDWARE	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5200	Home Supply Warehouse	**MORE**  SCREWS	
"PARKS, FORESTRY & RECREATION"	3669-131	2015-09-15	2015-09-16	PPL - HRRH - FINCH	16.00	CAD	16.00	CAD	4770	PARKING EXPENSES (INTOWN)	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	7523	Automobile Parking Lots and Garages	PRKNG-CHEQUE ATTACHED TO LOG TO REIMBURSE CITY	
"PARKS, FORESTRY & RECREATION"	3671-119	2015-09-16	2015-09-17	JOHNSTON INDUSTRIAL PL	"1,160.59"	CAD	"1,160.59"	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5085	Industrial Supplies Not Elsewhere Classi	FRP PLYWOOD	
"PARKS, FORESTRY & RECREATION"	3671-120	2015-09-16	2015-09-17	JOHNSTON INDUSTRIAL PL	"-1,160.59"	CAD	"-1,160.59"	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5085	Industrial Supplies Not Elsewhere Classi	FRP PLYWOOD	
"PARKS, FORESTRY & RECREATION"	3678-110	2015-09-22	2015-09-23	CUSTOM DOOR   LOCK SER	46.27	CAD	46.27	CAD	2730	LOCKS	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5533	"Automotive Parts, Accessories Stores"	KEYS AND TAGS	
"PARKS, FORESTRY & RECREATION"	3682-144	2015-09-24	2015-09-25	METAL SUPERMARKETS (NO	82.49	CAD	82.49	CAD	2532	STEEL	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5051	Metal Service Centers and Offices	METAL CHANNEL AND PLATE	
					"2,411.72"	CAD	"2,411.72"	CAD								
"PARKS, FORESTRY & RECREATION"	3653-113	2015-09-03	2015-09-04	SOLO SMALL MOTORS LIMI	256.74	CAD	256.74	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00405	N-CENTRAL1-TURF&HORT	7299	Other Services (Not Elsewhere Classified	"MAGNUM GATORLINE, AUTOCUT BULK PACK"	
"PARKS, FORESTRY & RECREATION"	3657-138	2015-09-04	2015-09-08	V.I.C.SAFETY INCORPORA	367.25	CAD	367.25	CAD	2665	PROTECTIVE CLOTHING	P00405	N-CENTRAL1-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	HI VIZ T-SHIRT COTTON LINED LIME GREEN	
"PARKS, FORESTRY & RECREATION"	3686-121	2015-09-28	2015-09-29	MONARCH PAINTS	202.68	CAD	202.68	CAD	2715	PAINT SUPPLIES	P00405	N-CENTRAL1-TURF&HORT	5231	"Glass, Paint, Wallpaper Stores"	BEN EXTERIOR SOFT GLOSS BASE-FOR PARK BENCH	
"PARKS, FORESTRY & RECREATION"	3687-148	2015-09-29	2015-09-30	ANGELO'S GARDEN CENTRE	248.60	CAD	248.60	CAD	3010	M & E - AGRICULTURAL & BOTANICAL	P00405	N-CENTRAL1-TURF&HORT	5261	Lawn and Garden Supply Stores	"TRANSPLANTER, SOD STAPLE"	
					"1,075.27"	CAD	"1,075.27"	CAD								
"PARKS, FORESTRY & RECREATION"	3664-167	2015-09-11	2015-09-14	SHERIDAN NURSERIES	238.34	CAD	238.34	CAD	3010	M & E - AGRICULTURAL & BOTANICAL	P00415	N-WEST3-TURF&HORT	5261	Lawn and Garden Supply Stores	TROWELS AND PRUNERS	
"PARKS, FORESTRY & RECREATION"	3676-110	2015-09-21	2015-09-22	SHERIDAN NURSERIES	27.10	CAD	27.10	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00415	N-WEST3-TURF&HORT	5261	Lawn and Garden Supply Stores	ANNUAL GRASS	
					265.44	CAD	265.44	CAD								
"PARKS, FORESTRY & RECREATION"	3664-168	2015-09-10	2015-09-14	CDN TIRE STORE #00192	40.54	CAD	40.54	CAD	2730	LOCKS	P00408	N-EAST-TURF&HORT	5200	Home Supply Warehouse	KEYS	
"PARKS, FORESTRY & RECREATION"	3667-106	2015-09-11	2015-09-15	CDN TIRE STORE #00164	40.66	CAD	40.66	CAD	2775	ASPHALT	P00408	N-EAST-TURF&HORT	5200	Home Supply Warehouse	ASPHALT PATCH	
"PARKS, FORESTRY & RECREATION"	3667-107	2015-09-14	2015-09-15	PRINCESS AUTO #36	158.18	CAD	158.18	CAD	2710	GENERAL HARDWARE	P00408	N-EAST-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	PINTLE HOOK ASSEMBLY	
"PARKS, FORESTRY & RECREATION"	3678-111	2015-09-22	2015-09-23	EAGLE BEAVER SPORTS LT	485.90	CAD	485.90	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P00408	N-EAST-TURF&HORT	5941	Sporting Goods Stores	CORNER FLAGS AND PLATES	
"PARKS, FORESTRY & RECREATION"	3682-145	2015-09-23	2015-09-25	CDN TIRE STORE #00192	18.07	CAD	18.07	CAD	2775	ASPHALT	P00408	N-EAST-TURF&HORT	5200	Home Supply Warehouse	LIQUID COLD PATCH	
"PARKS, FORESTRY & RECREATION"	3684-262	2015-09-24	2015-09-28	BRAFASCO / MARKHAM	178.47	CAD	178.47	CAD	2710	GENERAL HARDWARE	P00408	N-EAST-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	"BOLTS, BOLT ORGANIZER"	
"PARKS, FORESTRY & RECREATION"	3684-263	2015-09-24	2015-09-28	THE HOME DEPOT #7073	20.59	CAD	20.59	CAD	2710	GENERAL HARDWARE	P00408	N-EAST-TURF&HORT	5200	Home Supply Warehouse	BOLTS	
"PARKS, FORESTRY & RECREATION"	3684-264	2015-09-24	2015-09-28	CDN TIRE STORE #00192	142.30	CAD	142.30	CAD	2710	GENERAL HARDWARE	P00408	N-EAST-TURF&HORT	5200	Home Supply Warehouse	TARPS	
"PARKS, FORESTRY & RECREATION"	3684-265	2015-09-25	2015-09-28	AGO INDUSTRIES INC.	97.12	CAD	97.12	CAD	2665	PROTECTIVE CLOTHING	P00408	N-EAST-TURF&HORT	5699	Accessory  and Apparel Stores - Miscella	HI VIS CLOTHING - COTTON	
"PARKS, FORESTRY & RECREATION"	3686-122	2015-09-25	2015-09-29	CDN TIRE STORE #00192	40.63	CAD	40.63	CAD	2715	PAINT SUPPLIES	P00408	N-EAST-TURF&HORT	5200	Home Supply Warehouse	PAINT BRUSHES	
"PARKS, FORESTRY & RECREATION"	3686-123	2015-09-28	2015-09-29	FAIRGREEN SOD FARMS	182.24	CAD	182.24	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00408	N-EAST-TURF&HORT	5261	Lawn and Garden Supply Stores	**MORE**  DEPOSIT ON SKID	
					"1,404.70"	CAD	"1,404.70"	CAD								
"PARKS, FORESTRY & RECREATION"	3649-68	2015-08-31	2015-09-01	WOLSELEY CANADA INC	82.72	CAD	82.72	CAD	2535	PLUMBING SUPPLIES	P07702	GRANDRAVINE CC-OPERATIONS	5074	Plumbing and Heating Equipment	"WAX BOWL RING, STRAINER"	
"PARKS, FORESTRY & RECREATION"	3652-91	2015-09-01	2015-09-03	THE HOME DEPOT #7129	214.53	CAD	214.53	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	**MORE**  NYLON TRUCK	
"PARKS, FORESTRY & RECREATION"	3653-114	2015-09-02	2015-09-04	NEXT SUPPLY	169.76	CAD	169.76	CAD	2535	PLUMBING SUPPLIES	P02381	LEASIDE PK OUTDR POOL-L/PBLC-OUTDR	5251	Hardware Stores	TEMPUS METER KIT	
"PARKS, FORESTRY & RECREATION"	3659-66	2015-09-08	2015-09-09	CENTENNIAL PLUMBING SU	172.21	CAD	172.21	CAD	2535	PLUMBING SUPPLIES	P06684	DRIFTWOOD CC-OPERATIONS	1711	"Air Conditioning, Heating, and Plumbing"	FLUSHOMETER	
"PARKS, FORESTRY & RECREATION"	3664-169	2015-09-11	2015-09-14	NEXT SUPPLY	352.71	CAD	352.71	CAD	2535	PLUMBING SUPPLIES	P07696	ANTIBES CC-OPERATIONS	5251	Hardware Stores	PLUMBING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3669-132	2015-09-14	2015-09-16	NEXT SUPPLY	76.32	CAD	76.32	CAD	2535	PLUMBING SUPPLIES	P00853	ALNESS YD-TRADES	5251	Hardware Stores	"2"" PVC TRAPS"	
"PARKS, FORESTRY & RECREATION"	3669-133	2015-09-14	2015-09-16	THE HOME DEPOT #7073	49.71	CAD	49.71	CAD	2535	PLUMBING SUPPLIES	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	UNDERLAYMENT	
"PARKS, FORESTRY & RECREATION"	3671-121	2015-09-15	2015-09-17	NEXT SUPPLY	104.01	CAD	104.01	CAD	2535	PLUMBING SUPPLIES	P00853	ALNESS YD-TRADES	5251	Hardware Stores	"3"" C/O"	
"PARKS, FORESTRY & RECREATION"	3671-122	2015-09-15	2015-09-17	CDN TIRE STORE #00019	233.89	CAD	233.89	CAD	2535	PLUMBING SUPPLIES	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	SUB UTLY PM	
"PARKS, FORESTRY & RECREATION"	3678-112	2015-09-22	2015-09-23	CENTENNIAL PLUMBING SU	90.80	CAD	90.80	CAD	2535	PLUMBING SUPPLIES	P00853	ALNESS YD-TRADES	1711	"Air Conditioning, Heating, and Plumbing"	BUBLER	
"PARKS, FORESTRY & RECREATION"	3678-113	2015-09-22	2015-09-23	INTL POOL AND SPA CENT	44.04	CAD	44.04	CAD	2535	PLUMBING SUPPLIES	P00853	ALNESS YD-TRADES	5996	Swimming Pools - Sales and Supplies	SILICONE	
"PARKS, FORESTRY & RECREATION"	3680-128	2015-09-22	2015-09-24	WOLSELEY CANADA INC	111.52	CAD	111.52	CAD	2535	PLUMBING SUPPLIES	P06680	BANBURY CC-OPERATIONS	5074	Plumbing and Heating Equipment	MOEM FAUCET	
					"1,702.22"	CAD	"1,702.22"	CAD								
"PARKS, FORESTRY & RECREATION"	3649-69	2015-08-31	2015-09-01	BEAVER VALLEY STONE LI	"2,996.76"	CAD	"2,996.76"	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	1740	"Insulation, Masonry, Plastering, Stonewo"	SECNNA LAMP	
"PARKS, FORESTRY & RECREATION"	3649-70	2015-08-31	2015-09-01	WATER AND ICE NORTH AM	"2,467.92"	CAD	"2,467.92"	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5996	Swimming Pools - Sales and Supplies	LADDER STEPS	
"PARKS, FORESTRY & RECREATION"	3652-92	2015-09-01	2015-09-03	FORM   BUILD SUPPLY#5	623.76	CAD	623.76	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5211	"Building Materials, Lumber Stores"	"EXPANSION FOAM, FLOATS"	
"PARKS, FORESTRY & RECREATION"	3657-139	2015-09-03	2015-09-08	CENTRAL CANADA METALS	587.60	CAD	587.60	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices	STEEL RODS	
"PARKS, FORESTRY & RECREATION"	3657-140	2015-09-04	2015-09-08	PARLIAMENT BUILDING SU	920.27	CAD	920.27	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5211	"Building Materials, Lumber Stores"	ASPHALT	
"PARKS, FORESTRY & RECREATION"	3661-86	2015-09-09	2015-09-10	NEW CANADIAN LUMBER	74.56	CAD	74.56	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5251	Hardware Stores	6 MIL POLY	
"PARKS, FORESTRY & RECREATION"	3671-123	2015-09-16	2015-09-17	ROMA FENCE LTD	83.24	CAD	83.24	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5211	"Building Materials, Lumber Stores"	FENCE POST	
"PARKS, FORESTRY & RECREATION"	3676-111	2015-09-18	2015-09-22	CDN TIRE STORE #00182	74.52	CAD	74.52	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	GORILLA TAPE	
"PARKS, FORESTRY & RECREATION"	3676-112	2015-09-19	2015-09-22	CDN TIRE STORE #00182	434.94	CAD	434.94	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	"BITS, SOCKET SET, DRILLS"	
"PARKS, FORESTRY & RECREATION"	3676-113	2015-09-21	2015-09-22	DOWNTOWN LUMBER   BUIL	203.38	CAD	203.38	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5251	Hardware Stores	SONOTUBES	
"PARKS, FORESTRY & RECREATION"	3676-114	2015-09-21	2015-09-22	INVESTMENTS HARDWARE (	813.58	CAD	813.58	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5251	Hardware Stores	DEWALT COMBO SETS	
"PARKS, FORESTRY & RECREATION"	3678-114	2015-09-22	2015-09-23	DOWNTOWN RENTAL   BLDG	259.84	CAD	259.84	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5251	Hardware Stores	CORE BIT	
"PARKS, FORESTRY & RECREATION"	3678-115	2015-09-22	2015-09-23	ISLINGTON NURSERIES LI	207.28	CAD	207.28	CAD	2770	GRAVEL	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5261	Lawn and Garden Supply Stores	"4""TO 6"" RIVER ROCK"	
"PARKS, FORESTRY & RECREATION"	3686-124	2015-09-25	2015-09-29	CDN TIRE STORE #00654	169.49	CAD	169.49	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	2 PK 18 V BATTERIES	
					"9,917.14"	CAD	"9,917.14"	CAD								
"PARKS, FORESTRY & RECREATION"	3659-67	2015-09-08	2015-09-09	DUROX FLOOR ACCESSORIE	259.04	CAD	259.04	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P07697	CUMMER COMPLEX-OPERATIONS	5713	Floor Covering Stores	GROUT	
"PARKS, FORESTRY & RECREATION"	3661-87	2015-09-09	2015-09-10	RONA # 55030	148.14	CAD	148.14	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P07697	CUMMER COMPLEX-OPERATIONS	5251	Hardware Stores	GROUT AND SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3661-88	2015-09-09	2015-09-10	RONA # 55030	160.97	CAD	160.97	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P07697	CUMMER COMPLEX-OPERATIONS	5251	Hardware Stores	GROUT	
"PARKS, FORESTRY & RECREATION"	3663-102	2015-09-10	2015-09-11	MONARCH PAINTS	845.05	CAD	845.05	CAD	2715	PAINT SUPPLIES	P06689	NORTHWOOD CC-OPERATIONS	5231	"Glass, Paint, Wallpaper Stores"	MANOR HALL INTERIOR SEMI GLOSS PASTEL BASE	
"PARKS, FORESTRY & RECREATION"	3664-170	2015-09-11	2015-09-14	DUROX FLOOR ACCESSORIE	295.73	CAD	295.73	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P07659	DOUGLAS SNOW-OPERATIONS	5713	Floor Covering Stores	GROUT	
"PARKS, FORESTRY & RECREATION"	3667-108	2015-09-14	2015-09-15	MONARCH PAINTS	925.15	CAD	925.15	CAD	2715	PAINT SUPPLIES	P06689	NORTHWOOD CC-OPERATIONS	5231	"Glass, Paint, Wallpaper Stores"	"SEMI BRIGHT BASE,ALKYD SEMI GLOSS,GEL STAIN BASE"	
"PARKS, FORESTRY & RECREATION"	3671-124	2015-09-16	2015-09-17	MONARCH PAINTS	551.62	CAD	551.62	CAD	2715	PAINT SUPPLIES	P00853	ALNESS YD-TRADES	5231	"Glass, Paint, Wallpaper Stores"	"ANGLE BRUSH,PLASTIC TRAYS,OVAL BRUSH,MICROFIBER"	
"PARKS, FORESTRY & RECREATION"	3684-266	2015-09-25	2015-09-28	MONARCH PAINTS	290.92	CAD	290.92	CAD	2715	PAINT SUPPLIES	P06689	NORTHWOOD CC-OPERATIONS	5231	"Glass, Paint, Wallpaper Stores"	"SPPEDHIDE LATEX WALL SEALER, CEILING PAINT WHITE"	
"PARKS, FORESTRY & RECREATION"	3687-149	2015-09-29	2015-09-30	MONARCH PAINTS	246.10	CAD	246.10	CAD	2715	PAINT SUPPLIES	P00853	ALNESS YD-TRADES	5231	"Glass, Paint, Wallpaper Stores"	"MICROPRO REFILL/FRAME,ANGLE BRUSHES,DISP.COVERALL"	
					"3,722.72"	CAD	"3,722.72"	CAD								
"PARKS, FORESTRY & RECREATION"	3669-134	2015-09-15	2015-09-16	PAUL WOLF ELECTRIC   L	989.45	CAD	989.45	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	MH LAMPS 150-70 WATT	
					989.45	CAD	989.45	CAD								
"PARKS, FORESTRY & RECREATION"	3653-115	2015-09-02	2015-09-04	THE HOME DEPOT #7001	27.04	CAD	27.04	CAD	2710	GENERAL HARDWARE	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	**MORE**  KEY CAPS	
"PARKS, FORESTRY & RECREATION"	3667-109	2015-09-14	2015-09-15	CENTURA TORONTO	79.51	CAD	79.51	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P07659	DOUGLAS SNOW-OPERATIONS	5713	Floor Covering Stores	SUPER FLEX MORTAR	
"PARKS, FORESTRY & RECREATION"	3669-135	2015-09-15	2015-09-16	RONA # 55030	73.44	CAD	73.44	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P07659	DOUGLAS SNOW-OPERATIONS	5251	Hardware Stores	CEMENT VERSAFIX	
"PARKS, FORESTRY & RECREATION"	3673-127	2015-09-17	2015-09-18	RONA # 55030	148.00	CAD	148.00	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P07659	DOUGLAS SNOW-OPERATIONS	5251	Hardware Stores	TILE SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3684-267	2015-09-25	2015-09-28	RONA # 55030	35.60	CAD	35.60	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00853	ALNESS YD-TRADES	5251	Hardware Stores	MARKING STAKES	
					363.59	CAD	363.59	CAD								
"PARKS, FORESTRY & RECREATION"	3652-93	2015-09-02	2015-09-03	JOHNSTON INDUSTRIAL PL	280.10	CAD	280.10	CAD	2545	PLASTICS & RUBBER SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5085	Industrial Supplies Not Elsewhere Classi	HDPE PLASTIC	
"PARKS, FORESTRY & RECREATION"	3657-141	2015-09-04	2015-09-08	THE HOME DEPOT #7080	28.11	CAD	28.11	CAD	2710	GENERAL HARDWARE	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5200	Home Supply Warehouse	4X4 BOLTDOWN	
"PARKS, FORESTRY & RECREATION"	3680-129	2015-09-22	2015-09-24	THE HOME DEPOT #7013	619.68	CAD	619.68	CAD	3080	M & E - HAND TOOLS	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5200	Home Supply Warehouse	**MORE**  EST 20 OZ ST	
"PARKS, FORESTRY & RECREATION"	3687-150	2015-09-29	2015-09-30	JOHNSTON INDUSTRIAL PL	351.23	CAD	351.23	CAD	2535	PLUMBING SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5085	Industrial Supplies Not Elsewhere Classi	FOAM PVC	
					"1,279.12"	CAD	"1,279.12"	CAD								
"PARKS, FORESTRY & RECREATION"	3657-142	2015-09-03	2015-09-08	PLANT WORLD	942.37	CAD	942.37	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00686	JAMES GARDENS-TURF&HORT	5261	Lawn and Garden Supply Stores	PLANTS	
"PARKS, FORESTRY & RECREATION"	3671-125	2015-09-15	2015-09-17	PLANT WORLD	547.42	CAD	547.42	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00670	W-NORTH3-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	PLANTS	
					"1,489.79"	CAD	"1,489.79"	CAD								
"PARKS, FORESTRY & RECREATION"	3680-130	2015-09-22	2015-09-24	THE HOME DEPOT #7001	155.06	CAD	155.06	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00179	PLAN & NAT ENVIR - CITYWIDE	5200	Home Supply Warehouse	ULTRA 20 X 2	
					155.06	CAD	155.06	CAD								
"PARKS, FORESTRY & RECREATION"	3651-103	2015-09-01	2015-09-02	D G VACUUM REPAIR SERV	220.70	CAD	220.70	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P03028	BAYVIEW-OPERATIONS	7699	Miscellaneous Repair Shops and Related S	EQUIPMENT REPAIR	
"PARKS, FORESTRY & RECREATION"	3651-104	2015-09-01	2015-09-02	D G VACUUM REPAIR SERV	148.03	CAD	148.03	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P03028	BAYVIEW-OPERATIONS	7699	Miscellaneous Repair Shops and Related S	EQUIPMENT REPAIR	
"PARKS, FORESTRY & RECREATION"	3652-94	2015-09-01	2015-09-03	CDN TIRE STORE #00497	39.60	CAD	39.60	CAD	2710	GENERAL HARDWARE	P03028	BAYVIEW-OPERATIONS	5200	Home Supply Warehouse	SCRAPERS	
"PARKS, FORESTRY & RECREATION"	3657-143	2015-09-03	2015-09-08	THE HOME DEPOT #7129	45.13	CAD	45.13	CAD	2710	GENERAL HARDWARE	P03028	BAYVIEW-OPERATIONS	5200	Home Supply Warehouse	90 HAL 2PK	
"PARKS, FORESTRY & RECREATION"	3657-144	2015-09-03	2015-09-08	CDN TIRE STORE #00126	262.25	CAD	262.25	CAD	2715	PAINT SUPPLIES	P03028	BAYVIEW-OPERATIONS	5200	Home Supply Warehouse	PAINT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3657-145	2015-09-04	2015-09-08	MONARCH PAINTS	564.48	CAD	564.48	CAD	2715	PAINT SUPPLIES	P03028	BAYVIEW-OPERATIONS	5231	"Glass, Paint, Wallpaper Stores"	PAINT SUPPLIES	
					"1,280.19"	CAD	"1,280.19"	CAD								
"PARKS, FORESTRY & RECREATION"	3651-105	2015-08-31	2015-09-02	PLANT WORLD	264.31	CAD	264.31	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00115	CLOUD FOREST GDNS-PLANT PRODUCTION	5261	Lawn and Garden Supply Stores	PLANTS FOR CLOUD GARDENS CONSERVATORY	
"PARKS, FORESTRY & RECREATION"	3663-103	2015-09-10	2015-09-11	WOLSELEY CANADA INC	13.27	CAD	13.27	CAD	2535	PLUMBING SUPPLIES	P00113	ALLAN GDNS CONS-PLANT PRODUCTION	5074	Plumbing and Heating Equipment	"BLACK HEX BUSHING, TEFLON TAPE, MASTER 3/4 MALE"	
